 	Nucl_A_5pUTR	Nucl_T_5pUTR	Nucl_G_5pUTR	Nucl_C_5pUTR
MSMEG_1734	NA	NA	NA	NA
MSMEG_1735	NA	NA	NA	NA
MSMEG_1736	NA	NA	NA	NA
MSMEG_1737	NA	NA	NA	NA
MSMEG_1738	0.2265	0.1768	0.2818	0.3149
MSMEG_1739	NA	NA	NA	NA
MSMEG_1740	NA	NA	NA	NA
MSMEG_1741	1.0	0	0	0
MSMEG_1742	NA	NA	NA	NA
MSMEG_1743	NA	NA	NA	NA
MSMEG_1744	0.3333	0	0.4444	0.2222
MSMEG_1745	NA	NA	NA	NA
MSMEG_1746	NA	NA	NA	NA
MSMEG_1747	NA	NA	NA	NA
MSMEG_1748	NA	NA	NA	NA
MSMEG_1749	NA	NA	NA	NA
MSMEG_1750	NA	NA	NA	NA
MSMEG_1751	1.0	0	0	0
MSMEG_1752	NA	NA	NA	NA
MSMEG_1753	NA	NA	NA	NA
MSMEG_1754	NA	NA	NA	NA
MSMEG_1755	NA	NA	NA	NA
MSMEG_1756	NA	NA	NA	NA
MSMEG_1757	NA	NA	NA	NA
MSMEG_1758	NA	NA	NA	NA
MSMEG_1759	NA	NA	NA	NA
MSMEG_1760	NA	NA	NA	NA
MSMEG_1761	NA	NA	NA	NA
MSMEG_1762	NA	NA	NA	NA
MSMEG_1763	NA	NA	NA	NA
MSMEG_1764	NA	NA	NA	NA
MSMEG_1765	NA	NA	NA	NA
MSMEG_1766	NA	NA	NA	NA
MSMEG_1767	NA	NA	NA	NA
MSMEG_1768	NA	NA	NA	NA
MSMEG_1769	NA	NA	NA	NA
MSMEG_1770	0.3393	0.1071	0.25	0.3036
MSMEG_1771	NA	NA	NA	NA
MSMEG_1772	NA	NA	NA	NA
MSMEG_1773	0.2402	0.1508	0.2626	0.3464
MSMEG_1774	NA	NA	NA	NA
MSMEG_1775	NA	NA	NA	NA
MSMEG_1776	NA	NA	NA	NA
MSMEG_1777	NA	NA	NA	NA
MSMEG_1778	0.1604	0.1754	0.306	0.3582
MSMEG_1779	NA	NA	NA	NA
MSMEG_1780	NA	NA	NA	NA
MSMEG_1781	NA	NA	NA	NA
MSMEG_1782	0.2217	0.1085	0.3443	0.3255
MSMEG_1783	NA	NA	NA	NA
MSMEG_1784	NA	NA	NA	NA
MSMEG_1785	NA	NA	NA	NA
MSMEG_1786	0.2164	0.2015	0.3134	0.2687
MSMEG_1787	NA	NA	NA	NA
MSMEG_1788	NA	NA	NA	NA
MSMEG_1789	NA	NA	NA	NA
MSMEG_1790	NA	NA	NA	NA
MSMEG_1791	0.2619	0.0476	0.4048	0.2857
MSMEG_1792	NA	NA	NA	NA
MSMEG_1793	NA	NA	NA	NA
MSMEG_1794	NA	NA	NA	NA
MSMEG_1795	NA	NA	NA	NA
MSMEG_1796	NA	NA	NA	NA
MSMEG_1797	NA	NA	NA	NA
MSMEG_1798	NA	NA	NA	NA
MSMEG_1799	0.2453	0.2453	0.3396	0.1698
MSMEG_1800	NA	NA	NA	NA
MSMEG_1801	0.1868	0.1592	0.3482	0.3057
MSMEG_1802	0.3148	0.1111	0.3889	0.1852
MSMEG_1803	0.3333	0.1667	0.2778	0.2222
MSMEG_1804	0.2015	0.1716	0.3507	0.2761
MSMEG_1805	0.2045	0.1487	0.3309	0.316
MSMEG_1806	NA	NA	NA	NA
MSMEG_1807	0.3043	0.2391	0.2609	0.1957
MSMEG_1808	NA	NA	NA	NA
MSMEG_1809	NA	NA	NA	NA
MSMEG_1810	NA	NA	NA	NA
MSMEG_1811	NA	NA	NA	NA
MSMEG_1812	0.2047	0.1404	0.3099	0.345
MSMEG_1813	NA	NA	NA	NA
MSMEG_1814	NA	NA	NA	NA
MSMEG_1815	NA	NA	NA	NA
MSMEG_1817	NA	NA	NA	NA
MSMEG_1818	NA	NA	NA	NA
MSMEG_1819	NA	NA	NA	NA
MSMEG_1820	NA	NA	NA	NA
MSMEG_1821	0.3158	0.0526	0.4211	0.2105
MSMEG_1822	0.192	0.168	0.328	0.312
MSMEG_1823	NA	NA	NA	NA
MSMEG_1824	NA	NA	NA	NA
MSMEG_1825	NA	NA	NA	NA
MSMEG_1826	NA	NA	NA	NA
MSMEG_1827	NA	NA	NA	NA
MSMEG_1829	NA	NA	NA	NA
MSMEG_1830	NA	NA	NA	NA
MSMEG_1831	0.2164	0.2388	0.3358	0.209
MSMEG_1832	NA	NA	NA	NA
MSMEG_1833	NA	NA	NA	NA
MSMEG_1834	0.2692	0.2692	0.1923	0.2692
MSMEG_1835	NA	NA	NA	NA
MSMEG_1836	0.1898	0.2044	0.3358	0.2701
MSMEG_1837	NA	NA	NA	NA
MSMEG_1838	0.3438	0.0625	0.375	0.2188
MSMEG_1839	0.2857	0.2	0.3143	0.2
MSMEG_1840	NA	NA	NA	NA
MSMEG_1841	NA	NA	NA	NA
MSMEG_1842	NA	NA	NA	NA
MSMEG_1844	NA	NA	NA	NA
MSMEG_1845	NA	NA	NA	NA
MSMEG_1846	NA	NA	NA	NA
MSMEG_1847	NA	NA	NA	NA
MSMEG_1849	NA	NA	NA	NA
MSMEG_1850	NA	NA	NA	NA
MSMEG_1852	NA	NA	NA	NA
MSMEG_1854	0.2727	0.0909	0.5455	0.0909
MSMEG_1855	NA	NA	NA	NA
MSMEG_1856	NA	NA	NA	NA
MSMEG_1857	NA	NA	NA	NA
MSMEG_1858	NA	NA	NA	NA
MSMEG_1859	NA	NA	NA	NA
MSMEG_1860	NA	NA	NA	NA
MSMEG_1861	0.2953	0.1088	0.2176	0.3782
MSMEG_1862	0.2342	0.1139	0.3101	0.3418
MSMEG_1863	0.2325	0.1754	0.3026	0.2895
MSMEG_1864	NA	NA	NA	NA
MSMEG_1865	NA	NA	NA	NA
MSMEG_1866	NA	NA	NA	NA
MSMEG_1867	NA	NA	NA	NA
MSMEG_1868	0.125	0.375	0.1875	0.3125
MSMEG_1869	0.2368	0.1842	0.1842	0.3947
MSMEG_1870	0.3125	0.2188	0.2812	0.1875
MSMEG_1871	NA	NA	NA	NA
MSMEG_1872	0.1515	0.2121	0.4242	0.2121
MSMEG_1873	NA	NA	NA	NA
MSMEG_1874	NA	NA	NA	NA
MSMEG_1875	0.1728	0.1728	0.3821	0.2724
MSMEG_1876	NA	NA	NA	NA
MSMEG_1877	NA	NA	NA	NA
MSMEG_1878	NA	NA	NA	NA
MSMEG_1879	NA	NA	NA	NA
MSMEG_1880	0.1273	0.2727	0.2182	0.3818
MSMEG_1881	0.3167	0.1167	0.25	0.3167
MSMEG_1882	0.1765	0.1471	0.3824	0.2941
MSMEG_1883	0.3333	0	0	0.6667
MSMEG_1884	NA	NA	NA	NA
MSMEG_1885	NA	NA	NA	NA
MSMEG_1886	0.3125	0.125	0.4375	0.125
MSMEG_1887	0.2308	0.2308	0.3077	0.2308
MSMEG_1888	NA	NA	NA	NA
MSMEG_1889	NA	NA	NA	NA
MSMEG_1890	NA	NA	NA	NA
MSMEG_1891	NA	NA	NA	NA
MSMEG_1892	NA	NA	NA	NA
MSMEG_1893	NA	NA	NA	NA
MSMEG_1894	NA	NA	NA	NA
MSMEG_1895	0.2593	0.4444	0.1481	0.1481
MSMEG_1896	NA	NA	NA	NA
MSMEG_1897	NA	NA	NA	NA
MSMEG_1898	NA	NA	NA	NA
MSMEG_1899	NA	NA	NA	NA
MSMEG_1900	NA	NA	NA	NA
MSMEG_1901	NA	NA	NA	NA
MSMEG_1902	0.2647	0.1471	0.1765	0.4118
MSMEG_1903	NA	NA	NA	NA
MSMEG_1904	NA	NA	NA	NA
MSMEG_1905	0.2727	0.0909	0.3636	0.2727
MSMEG_1906	NA	NA	NA	NA
MSMEG_1907	NA	NA	NA	NA
MSMEG_1908	NA	NA	NA	NA
MSMEG_1909	NA	NA	NA	NA
MSMEG_1910	NA	NA	NA	NA
MSMEG_1911	NA	NA	NA	NA
MSMEG_1912	NA	NA	NA	NA
MSMEG_1913	NA	NA	NA	NA
MSMEG_1914	0.1778	0.2111	0.4111	0.2
MSMEG_1915	NA	NA	NA	NA
MSMEG_1916	0.2759	0.2414	0.2759	0.2069
MSMEG_1917	0.3077	0.0769	0.5	0.1154
MSMEG_1918	0.1773	0.1596	0.3723	0.2908
MSMEG_1919	0.2921	0.2022	0.2584	0.2472
MSMEG_1920	NA	NA	NA	NA
MSMEG_1921	NA	NA	NA	NA
MSMEG_1922	NA	NA	NA	NA
MSMEG_1923	NA	NA	NA	NA
MSMEG_1924	NA	NA	NA	NA
MSMEG_1925	NA	NA	NA	NA
MSMEG_1926	NA	NA	NA	NA
MSMEG_1927	NA	NA	NA	NA
MSMEG_1928	NA	NA	NA	NA
MSMEG_1929	0.1811	0.0968	0.3052	0.4169
MSMEG_1930	0.1928	0.1839	0.3049	0.3184
MSMEG_1931	NA	NA	NA	NA
MSMEG_1932	0.2903	0.129	0.3548	0.2258
MSMEG_1933	0.1311	0.161	0.3446	0.3633
MSMEG_1934	0.3556	0.0667	0.3556	0.2222
MSMEG_1935	0.2931	0.1552	0.2931	0.2586
MSMEG_1936	NA	NA	NA	NA
MSMEG_1937	0.1667	0.2576	0.4242	0.1515
MSMEG_1938	NA	NA	NA	NA
MSMEG_1939	NA	NA	NA	NA
MSMEG_1940	NA	NA	NA	NA
MSMEG_1941	NA	NA	NA	NA
MSMEG_1942	NA	NA	NA	NA
MSMEG_1943	NA	NA	NA	NA
MSMEG_1944	NA	NA	NA	NA
MSMEG_1945	0.1636	0.2	0.3273	0.3091
MSMEG_1946	NA	NA	NA	NA
MSMEG_1947	0.3333	0.3333	0	0.3333
MSMEG_1948	NA	NA	NA	NA
MSMEG_1949	0.1807	0.1446	0.3614	0.3133
MSMEG_1950	NA	NA	NA	NA
MSMEG_1951	NA	NA	NA	NA
MSMEG_1952	NA	NA	NA	NA
MSMEG_1953	0.1986	0.164	0.2933	0.3441
MSMEG_1954	NA	NA	NA	NA
MSMEG_1955	0.2261	0.1391	0.3391	0.2957
MSMEG_1956	NA	NA	NA	NA
MSMEG_1957	NA	NA	NA	NA
MSMEG_1958	NA	NA	NA	NA
MSMEG_1959	NA	NA	NA	NA
MSMEG_1960	0.2006	0.1847	0.3248	0.2898
MSMEG_1961	NA	NA	NA	NA
MSMEG_1962	NA	NA	NA	NA
MSMEG_1963	NA	NA	NA	NA
MSMEG_1964	NA	NA	NA	NA
MSMEG_1966	0.3571	0.1667	0.2619	0.2143
MSMEG_1967	NA	NA	NA	NA
MSMEG_1968	NA	NA	NA	NA
MSMEG_1969	0.2	0.1667	0.3333	0.3
MSMEG_1970	NA	NA	NA	NA
MSMEG_1971	NA	NA	NA	NA
MSMEG_1972	NA	NA	NA	NA
MSMEG_1974	NA	NA	NA	NA
MSMEG_1975	NA	NA	NA	NA
MSMEG_1976	0.2143	0.1357	0.3286	0.3214
MSMEG_1977	NA	NA	NA	NA
MSMEG_1978	NA	NA	NA	NA
MSMEG_1979	NA	NA	NA	NA
MSMEG_1980	NA	NA	NA	NA
MSMEG_1981	0.2963	0.1481	0.2963	0.2593
MSMEG_1982	NA	NA	NA	NA
MSMEG_1983	NA	NA	NA	NA
MSMEG_1984	NA	NA	NA	NA
MSMEG_1985	0.2903	0.129	0.3226	0.2581
MSMEG_1986	0.1707	0.1463	0.439	0.2439
MSMEG_1987	NA	NA	NA	NA
MSMEG_1988	NA	NA	NA	NA
MSMEG_1989	0.1353	0.1815	0.363	0.3201
MSMEG_1990	NA	NA	NA	NA
MSMEG_1991	0.4	0.05	0.4	0.15
MSMEG_1992	NA	NA	NA	NA
MSMEG_1993	NA	NA	NA	NA
MSMEG_1994	NA	NA	NA	NA
MSMEG_1995	NA	NA	NA	NA
MSMEG_1996	0	0	0.75	0.25
MSMEG_1997	NA	NA	NA	NA
MSMEG_1998	NA	NA	NA	NA
MSMEG_1999	0.2857	0.0779	0.3377	0.2987
MSMEG_2000	0.3676	0.1324	0.2059	0.2941
MSMEG_2001	NA	NA	NA	NA
MSMEG_2002	0.2243	0.1869	0.4206	0.1682
MSMEG_2003	NA	NA	NA	NA
MSMEG_2004	NA	NA	NA	NA
MSMEG_2005	NA	NA	NA	NA
MSMEG_2006	NA	NA	NA	NA
MSMEG_2007	0.194	0.1343	0.3134	0.3582
MSMEG_2008	NA	NA	NA	NA
MSMEG_2009	0.1562	0.25	0.4375	0.1562
MSMEG_2010	0.2597	0.1558	0.2857	0.2987
MSMEG_2011	0.2308	0.1538	0.3846	0.2308
MSMEG_2012	NA	NA	NA	NA
MSMEG_2013	NA	NA	NA	NA
MSMEG_2014	NA	NA	NA	NA
MSMEG_2015	NA	NA	NA	NA
MSMEG_2016	NA	NA	NA	NA
MSMEG_2017	0.2	0.24	0.28	0.28
MSMEG_2019	0.2771	0.1928	0.3012	0.2289
MSMEG_2021	0.2093	0.1395	0.2558	0.3953
MSMEG_2022	NA	NA	NA	NA
MSMEG_2023	NA	NA	NA	NA
MSMEG_2024	NA	NA	NA	NA
MSMEG_2025	NA	NA	NA	NA
MSMEG_2026	NA	NA	NA	NA
MSMEG_2027	NA	NA	NA	NA
MSMEG_2028	NA	NA	NA	NA
MSMEG_2029	0.4286	0.0952	0.2857	0.1905
MSMEG_2030	NA	NA	NA	NA
MSMEG_2031	NA	NA	NA	NA
MSMEG_2032	NA	NA	NA	NA
MSMEG_2033	0.3182	0.1364	0.2727	0.2727
MSMEG_2034	NA	NA	NA	NA
MSMEG_2035	NA	NA	NA	NA
MSMEG_2036	NA	NA	NA	NA
MSMEG_2037	NA	NA	NA	NA
MSMEG_2038	NA	NA	NA	NA
MSMEG_2039	0.2632	0.1053	0.4737	0.1579
MSMEG_2040	NA	NA	NA	NA
MSMEG_2042	0.2432	0.2162	0.3784	0.1622
MSMEG_2043	0	0.6667	0.3333	0
MSMEG_2044	0.2045	0.197	0.2727	0.3258
MSMEG_2045	0.1183	0.1834	0.3609	0.3373
MSMEG_2046	NA	NA	NA	NA
MSMEG_2047	NA	NA	NA	NA
MSMEG_2048	NA	NA	NA	NA
MSMEG_2049	0.4737	0.0526	0.2632	0.2105
MSMEG_2050	NA	NA	NA	NA
MSMEG_2051	NA	NA	NA	NA
MSMEG_2052	NA	NA	NA	NA
MSMEG_2053	NA	NA	NA	NA
MSMEG_2054	NA	NA	NA	NA
MSMEG_2055	NA	NA	NA	NA
MSMEG_2056	NA	NA	NA	NA
MSMEG_2057	NA	NA	NA	NA
MSMEG_2058	NA	NA	NA	NA
MSMEG_2059	NA	NA	NA	NA
MSMEG_2060	NA	NA	NA	NA
MSMEG_2061	NA	NA	NA	NA
MSMEG_2062	NA	NA	NA	NA
MSMEG_2063	NA	NA	NA	NA
MSMEG_2064	NA	NA	NA	NA
MSMEG_2065	NA	NA	NA	NA
MSMEG_2066	NA	NA	NA	NA
MSMEG_2067	NA	NA	NA	NA
MSMEG_2068	NA	NA	NA	NA
MSMEG_2069	NA	NA	NA	NA
MSMEG_2070	NA	NA	NA	NA
MSMEG_2071	NA	NA	NA	NA
MSMEG_2072	0.2195	0.0894	0.3252	0.3659
MSMEG_2073	NA	NA	NA	NA
MSMEG_2074	0.1919	0.1279	0.3372	0.343
MSMEG_2075	0.1636	0.2364	0.1818	0.4182
MSMEG_2076	NA	NA	NA	NA
MSMEG_2077	NA	NA	NA	NA
MSMEG_2078	0.2245	0.1701	0.3061	0.2993
MSMEG_2079	NA	NA	NA	NA
MSMEG_2080	0.1702	0.1454	0.344	0.3404
MSMEG_2081	0.2762	0.0952	0.2476	0.381
MSMEG_2082	NA	NA	NA	NA
MSMEG_2083	NA	NA	NA	NA
MSMEG_2084	NA	NA	NA	NA
MSMEG_2086	NA	NA	NA	NA
MSMEG_2087	0.3297	0.1209	0.3077	0.2418
MSMEG_2088	NA	NA	NA	NA
MSMEG_2089	NA	NA	NA	NA
MSMEG_2090	NA	NA	NA	NA
MSMEG_2091	0.2692	0.1923	0.3846	0.1538
MSMEG_2092	0.2286	0.1714	0.4	0.2
MSMEG_2094	NA	NA	NA	NA
MSMEG_2095	NA	NA	NA	NA
MSMEG_2096	NA	NA	NA	NA
MSMEG_2097	NA	NA	NA	NA
MSMEG_2098	NA	NA	NA	NA
MSMEG_2099	NA	NA	NA	NA
MSMEG_2100	NA	NA	NA	NA
MSMEG_2102	NA	NA	NA	NA
MSMEG_2103	0.2027	0.1757	0.3581	0.2635
MSMEG_2104	NA	NA	NA	NA
MSMEG_2105	0.1908	0.2061	0.2824	0.3206
MSMEG_2106	0.24	0.16	0.44	0.16
MSMEG_2107	0.1739	0.1739	0.3261	0.3261
MSMEG_2108	0.2619	0.3095	0.2857	0.1429
MSMEG_2109	NA	NA	NA	NA
MSMEG_2110	NA	NA	NA	NA
MSMEG_2111	0.2471	0.1882	0.3412	0.2235
MSMEG_2112	NA	NA	NA	NA
MSMEG_2113	NA	NA	NA	NA
MSMEG_2114	NA	NA	NA	NA
MSMEG_2115	NA	NA	NA	NA
MSMEG_2116	0.25	0.125	0.3958	0.2292
MSMEG_2117	0.4	0.05	0.3	0.25
MSMEG_2118	NA	NA	NA	NA
MSMEG_2119	NA	NA	NA	NA
MSMEG_2120	NA	NA	NA	NA
MSMEG_2121	NA	NA	NA	NA
MSMEG_2122	NA	NA	NA	NA
MSMEG_2123	NA	NA	NA	NA
MSMEG_2124	0.2152	0.2152	0.2405	0.3291
MSMEG_2125	0.2222	0.1556	0.3778	0.2444
MSMEG_2126	NA	NA	NA	NA
MSMEG_2127	NA	NA	NA	NA
MSMEG_2128	0.6667	0	0	0.3333
MSMEG_2129	NA	NA	NA	NA
MSMEG_2130	NA	NA	NA	NA
MSMEG_2131	NA	NA	NA	NA
MSMEG_2132	NA	NA	NA	NA
MSMEG_2133	NA	NA	NA	NA
MSMEG_2134	NA	NA	NA	NA
MSMEG_2135	NA	NA	NA	NA
MSMEG_2136	NA	NA	NA	NA
MSMEG_2137	NA	NA	NA	NA
MSMEG_2139	NA	NA	NA	NA
MSMEG_2140	NA	NA	NA	NA
MSMEG_2141	NA	NA	NA	NA
MSMEG_2142	0.375	0.0417	0.4167	0.1667
MSMEG_2143	NA	NA	NA	NA
MSMEG_2144	NA	NA	NA	NA
MSMEG_2145	NA	NA	NA	NA
MSMEG_2146	NA	NA	NA	NA
MSMEG_2148	NA	NA	NA	NA
MSMEG_2149	0.0882	0.1765	0.3235	0.4118
MSMEG_2150	NA	NA	NA	NA
MSMEG_2151	NA	NA	NA	NA
MSMEG_2153	NA	NA	NA	NA
MSMEG_2154	NA	NA	NA	NA
MSMEG_2155	NA	NA	NA	NA
MSMEG_2156	NA	NA	NA	NA
MSMEG_2157	0.2295	0.1475	0.4098	0.2131
MSMEG_2158	NA	NA	NA	NA
MSMEG_2159	NA	NA	NA	NA
MSMEG_2160	NA	NA	NA	NA
MSMEG_2162	0.1768	0.189	0.3659	0.2683
MSMEG_2163	NA	NA	NA	NA
MSMEG_2164	0.1795	0.1923	0.4103	0.2179
MSMEG_2165	NA	NA	NA	NA
MSMEG_2166	NA	NA	NA	NA
MSMEG_2167	NA	NA	NA	NA
MSMEG_2168	NA	NA	NA	NA
MSMEG_2169	NA	NA	NA	NA
MSMEG_2170	NA	NA	NA	NA
MSMEG_2171	NA	NA	NA	NA
MSMEG_2172	NA	NA	NA	NA
MSMEG_2173	0.2941	0.1765	0.4706	0.0588
MSMEG_2174	0.2283	0.1522	0.3587	0.2609
MSMEG_2175	NA	NA	NA	NA
MSMEG_2176	NA	NA	NA	NA
MSMEG_2177	NA	NA	NA	NA
MSMEG_2178	NA	NA	NA	NA
MSMEG_2179	0.6667	0	0	0.3333
MSMEG_2180	NA	NA	NA	NA
MSMEG_2181	NA	NA	NA	NA
MSMEG_2182	NA	NA	NA	NA
MSMEG_2183	NA	NA	NA	NA
MSMEG_2184	NA	NA	NA	NA
MSMEG_2185	NA	NA	NA	NA
MSMEG_2186	NA	NA	NA	NA
MSMEG_2187	NA	NA	NA	NA
MSMEG_2188	NA	NA	NA	NA
MSMEG_2189	0.1975	0.1176	0.3403	0.3445
MSMEG_2190	NA	NA	NA	NA
MSMEG_2191	0.24	0.08	0.4	0.28
MSMEG_2192	NA	NA	NA	NA
MSMEG_2193	NA	NA	NA	NA
MSMEG_2194	NA	NA	NA	NA
MSMEG_2195	0.1935	0.2097	0.3226	0.2742
MSMEG_2196	0.1862	0.1655	0.3517	0.2966
MSMEG_2197	0.1468	0.1911	0.3213	0.3407
MSMEG_2198	0.1748	0.165	0.301	0.3592
MSMEG_2199	0.2083	0.1528	0.3194	0.3194
MSMEG_2200	NA	NA	NA	NA
MSMEG_2201	0.1864	0.2034	0.339	0.2712
MSMEG_2202	0.3333	0.0556	0.2778	0.3333
MSMEG_2203	NA	NA	NA	NA
MSMEG_2204	0.2214	0.1298	0.3282	0.3206
MSMEG_2205	0.2895	0.1842	0.2368	0.2895
MSMEG_2206	0.234	0.1277	0.4043	0.234
MSMEG_2207	NA	NA	NA	NA
MSMEG_2208	NA	NA	NA	NA
MSMEG_2209	NA	NA	NA	NA
MSMEG_2211	0.2941	0.1176	0.3529	0.2353
MSMEG_2212	NA	NA	NA	NA
MSMEG_2213	NA	NA	NA	NA
MSMEG_2214	NA	NA	NA	NA
MSMEG_2215	NA	NA	NA	NA
MSMEG_2216	NA	NA	NA	NA
MSMEG_2217	NA	NA	NA	NA
MSMEG_2218	NA	NA	NA	NA
MSMEG_2219	NA	NA	NA	NA
MSMEG_2220	NA	NA	NA	NA
MSMEG_2221	NA	NA	NA	NA
MSMEG_2222	NA	NA	NA	NA
MSMEG_2223	NA	NA	NA	NA
MSMEG_2224	0.3684	0.2632	0.2105	0.1579
MSMEG_2225	0.1613	0.1774	0.3468	0.3145
MSMEG_2226	0.185	0.1803	0.3185	0.3162
MSMEG_2227	0.2195	0.1463	0.3902	0.2439
MSMEG_2228	NA	NA	NA	NA
MSMEG_2229	NA	NA	NA	NA
MSMEG_2230	NA	NA	NA	NA
MSMEG_2231	NA	NA	NA	NA
MSMEG_2232	NA	NA	NA	NA
MSMEG_2233	NA	NA	NA	NA
MSMEG_2234	NA	NA	NA	NA
MSMEG_2235	NA	NA	NA	NA
MSMEG_2236	NA	NA	NA	NA
MSMEG_2237	NA	NA	NA	NA
MSMEG_2238	NA	NA	NA	NA
MSMEG_2239	NA	NA	NA	NA
MSMEG_2240	NA	NA	NA	NA
MSMEG_2241	NA	NA	NA	NA
MSMEG_2242	NA	NA	NA	NA
MSMEG_2243	NA	NA	NA	NA
MSMEG_2244	NA	NA	NA	NA
MSMEG_2245	0.4118	0	0.3529	0.2353
MSMEG_2246	NA	NA	NA	NA
MSMEG_2247	NA	NA	NA	NA
MSMEG_2248	NA	NA	NA	NA
MSMEG_2249	NA	NA	NA	NA
MSMEG_2250	NA	NA	NA	NA
MSMEG_2251	NA	NA	NA	NA
MSMEG_2252	NA	NA	NA	NA
MSMEG_2253	NA	NA	NA	NA
MSMEG_2254	NA	NA	NA	NA
MSMEG_2255	NA	NA	NA	NA
MSMEG_2256	NA	NA	NA	NA
MSMEG_2257	NA	NA	NA	NA
MSMEG_2258	NA	NA	NA	NA
MSMEG_2259	0.3611	0.0556	0.3611	0.2222
MSMEG_2260	NA	NA	NA	NA
MSMEG_2261	0.2414	0.1034	0.4138	0.2414
MSMEG_2262	NA	NA	NA	NA
MSMEG_2263	NA	NA	NA	NA
MSMEG_2264	NA	NA	NA	NA
MSMEG_2265	NA	NA	NA	NA
MSMEG_2266	NA	NA	NA	NA
MSMEG_2267	NA	NA	NA	NA
MSMEG_2268	0.2215	0.1477	0.3087	0.3221
MSMEG_2269	NA	NA	NA	NA
MSMEG_2270	NA	NA	NA	NA
MSMEG_2271	NA	NA	NA	NA
MSMEG_2272	0.2759	0.069	0.3448	0.3103
MSMEG_2273	0.1667	0.0926	0.3704	0.3704
MSMEG_2274	NA	NA	NA	NA
MSMEG_2275	NA	NA	NA	NA
MSMEG_2276	NA	NA	NA	NA
MSMEG_2277	NA	NA	NA	NA
MSMEG_2278	NA	NA	NA	NA
MSMEG_2279	NA	NA	NA	NA
MSMEG_2280	0.1887	0.0566	0.3962	0.3585
MSMEG_2281	NA	NA	NA	NA
MSMEG_2282	0.2243	0.1869	0.4206	0.1682
MSMEG_2283	NA	NA	NA	NA
MSMEG_2284	0.175	0.2	0.375	0.25
MSMEG_2285	NA	NA	NA	NA
MSMEG_2286	NA	NA	NA	NA
MSMEG_2287	0.1818	0.0909	0.4545	0.2727
MSMEG_2288	0.1897	0.2069	0.2931	0.3103
MSMEG_2289	0.3148	0.1296	0.2407	0.3148
MSMEG_2290	NA	NA	NA	NA
MSMEG_2291	NA	NA	NA	NA
MSMEG_2292	0.325	0.175	0.225	0.275
MSMEG_2293	NA	NA	NA	NA
MSMEG_2294	NA	NA	NA	NA
MSMEG_2295	NA	NA	NA	NA
MSMEG_2296	NA	NA	NA	NA
MSMEG_2297	0.2039	0.1505	0.3204	0.3252
MSMEG_2299	NA	NA	NA	NA
MSMEG_2301	NA	NA	NA	NA
MSMEG_2302	NA	NA	NA	NA
MSMEG_2303	0.1705	0.1591	0.3295	0.3409
MSMEG_2304	NA	NA	NA	NA
MSMEG_2305	NA	NA	NA	NA
MSMEG_2306	NA	NA	NA	NA
MSMEG_2307	0.1176	0.2059	0.3382	0.3382
MSMEG_2308	0.3462	0.1154	0.2308	0.3077
MSMEG_2309	NA	NA	NA	NA
MSMEG_2310	0.2698	0.1111	0.2698	0.3492
MSMEG_2311	NA	NA	NA	NA
MSMEG_2312	NA	NA	NA	NA
MSMEG_2313	0.2545	0.1273	0.3636	0.2545
MSMEG_2314	0	0	1.0	0
MSMEG_2315	NA	NA	NA	NA
MSMEG_2317	0.2126	0.1969	0.315	0.2756
MSMEG_2318	NA	NA	NA	NA
MSMEG_2319	NA	NA	NA	NA
MSMEG_2321	NA	NA	NA	NA
MSMEG_2322	NA	NA	NA	NA
MSMEG_2323	NA	NA	NA	NA
MSMEG_2324	NA	NA	NA	NA
MSMEG_2325	NA	NA	NA	NA
MSMEG_2326	NA	NA	NA	NA
MSMEG_2327	NA	NA	NA	NA
MSMEG_2328	NA	NA	NA	NA
MSMEG_2329	NA	NA	NA	NA
MSMEG_2330	NA	NA	NA	NA
MSMEG_2331	0.1538	0.1731	0.4231	0.25
MSMEG_2332	0.3478	0.1739	0.2826	0.1957
MSMEG_2333	0.2667	0.1778	0.2	0.3556
MSMEG_2334	NA	NA	NA	NA
MSMEG_2335	NA	NA	NA	NA
MSMEG_2337	NA	NA	NA	NA
MSMEG_2338	0.1923	0.1923	0.4231	0.1923
MSMEG_2339	NA	NA	NA	NA
MSMEG_2340	NA	NA	NA	NA
MSMEG_2341	NA	NA	NA	NA
MSMEG_2342	NA	NA	NA	NA
MSMEG_2343	NA	NA	NA	NA
MSMEG_2344	NA	NA	NA	NA
MSMEG_2346	NA	NA	NA	NA
MSMEG_2347	NA	NA	NA	NA
MSMEG_2349	0.1632	0.154	0.3172	0.3655
MSMEG_2350	NA	NA	NA	NA
MSMEG_2351	0.2255	0.1667	0.3333	0.2745
MSMEG_2352	0.3056	0.1528	0.2222	0.3194
MSMEG_2353	NA	NA	NA	NA
MSMEG_2354	NA	NA	NA	NA
MSMEG_2355	NA	NA	NA	NA
MSMEG_2356	NA	NA	NA	NA
MSMEG_2357	0	0.6667	0.3333	0
MSMEG_2358	NA	NA	NA	NA
MSMEG_2359	NA	NA	NA	NA
MSMEG_2360	NA	NA	NA	NA
MSMEG_2361	NA	NA	NA	NA
MSMEG_2362	NA	NA	NA	NA
MSMEG_2363	NA	NA	NA	NA
MSMEG_2364	NA	NA	NA	NA
MSMEG_2365	NA	NA	NA	NA
MSMEG_2367	NA	NA	NA	NA
MSMEG_2368	NA	NA	NA	NA
MSMEG_2369	NA	NA	NA	NA
