 	GC_5pUTR
MSMEG_3505	0.6462
MSMEG_3507	0.68
MSMEG_3511	0.7097
MSMEG_3519	0.5818
MSMEG_3520	0.5667
MSMEG_3531	0.7053
MSMEG_3534	0.5789
MSMEG_3538	0.5686
MSMEG_3540	0.6667
MSMEG_3545	0.6723
MSMEG_3564	0.5686
MSMEG_3566	0.6286
MSMEG_3570	0.654
MSMEG_3578	0.6
MSMEG_3580	0.5205
MSMEG_3583	0.7273
MSMEG_3589	0.6429
MSMEG_3594	0.5
MSMEG_3605	0.59
MSMEG_3612	0.5714
MSMEG_3614	0.5333
MSMEG_3615	0.6397
MSMEG_3616	0.6901
MSMEG_3619	0.6327
MSMEG_3621	0.5
MSMEG_3630	0.4375
MSMEG_3632	0.4
MSMEG_3633	0.7259
MSMEG_3636	0.5
MSMEG_3639	0.7047
MSMEG_3641	0.5429
MSMEG_3642	0.6783
MSMEG_3644	0.6579
MSMEG_3645	0.6579
MSMEG_3647	0.675
MSMEG_3648	0.5806
MSMEG_3649	0.5977
MSMEG_3650	0.6608
MSMEG_3660	0.5
MSMEG_3666	1.0
MSMEG_3667	0.58
MSMEG_3668	0.6299
MSMEG_3671	0.0
MSMEG_3674	0.5909
MSMEG_3675	0.7037
MSMEG_3678	0.6667
MSMEG_3680	0.549
MSMEG_3683	0.6667
MSMEG_3685	0.7037
MSMEG_3686	0.75
MSMEG_3687	0.6364
MSMEG_3689	0.4138
MSMEG_3692	0.6591
MSMEG_3693	0.5686
MSMEG_3694	0.5789
MSMEG_3696	0.5888
MSMEG_3706	0.619
MSMEG_3718	0.5769
MSMEG_3725	0.6687
MSMEG_3727	0.5581
MSMEG_3730	0.5312
MSMEG_3733	0.5526
MSMEG_3736	0.5957
MSMEG_3737	0.6383
MSMEG_3741	0.6146
MSMEG_3743	0.642
MSMEG_3744	0.6929
MSMEG_3746	0.6066
MSMEG_3750	0.7313
MSMEG_3752	0.6667
MSMEG_3754	0.6028
MSMEG_3759	1.0
MSMEG_3765	0.6881
MSMEG_3766	0.6948
MSMEG_3767	0.5952
MSMEG_3768	1.0
MSMEG_3774	0.7048
MSMEG_3775	0.6322
MSMEG_3784	0.6857
MSMEG_3785	0.6
MSMEG_3786	0.4925
MSMEG_3791	0.5469
MSMEG_3792	0.5484
MSMEG_3794	0.6719
MSMEG_3795	0.6757
MSMEG_3796	0.7219
MSMEG_3800	0.6712
MSMEG_3802	0.6849
MSMEG_3803	0.6744
MSMEG_3808	0.6301
MSMEG_3811	0.6
MSMEG_3831	0.6513
MSMEG_3833	0.5484
MSMEG_3835	0.6946
MSMEG_3836	0.6296
MSMEG_3854	0.6357
MSMEG_3855	0.652
MSMEG_3856	0.6552
MSMEG_3858	0.5469
MSMEG_3861	0.6931
MSMEG_3869	0.661
MSMEG_3874	0.5652
MSMEG_3877	0.6519
MSMEG_3880	1.0
MSMEG_3887	0.4762
MSMEG_3896	0.6735
MSMEG_3901	0.4655
MSMEG_3902	0.6053
MSMEG_3903	0.52
MSMEG_3904	0.6957
MSMEG_3916	0.5156
MSMEG_3919	0.6375
MSMEG_3927	1.0
MSMEG_3930	0.6693
MSMEG_3950	0.6296
MSMEG_3958	0.6029
MSMEG_3959	0.54
MSMEG_3960	0.6417
MSMEG_3962	0.5545
MSMEG_3965	0.6318
MSMEG_3968	0.6562
MSMEG_3975	0.5263
MSMEG_3976	0.5
MSMEG_3977	0.5686
MSMEG_3980	0.5789
MSMEG_3988	0.4444
MSMEG_4022	0.65
MSMEG_4024	0.8
MSMEG_4029	0.5455
MSMEG_4030	0.5397
MSMEG_4037	0.5986
MSMEG_4038	0.549
MSMEG_4041	0.6102
MSMEG_4042	0.5943
MSMEG_4044	0.5385
MSMEG_4052	0.6063
MSMEG_4053	0.6232
MSMEG_4055	0.7351
MSMEG_4057	0.5797
MSMEG_4067	0.5741
MSMEG_4068	0.5798
MSMEG_4071	0.6476
MSMEG_4079	0.6721
MSMEG_4081	0.6294
MSMEG_4085	0.6606
MSMEG_4087	0.6014
MSMEG_4088	0.6408
MSMEG_4090	0.6234
MSMEG_4108	0.6391
MSMEG_4109	0.6258
MSMEG_4113	0.6822
MSMEG_4116	0.6376
MSMEG_4120	0.6176
MSMEG_4121	0.6818
MSMEG_4123	0.6154
MSMEG_4125	0.5
MSMEG_4126	0.5385
MSMEG_4128	0.6829
MSMEG_4130	0.7778
MSMEG_4132	0.5724
MSMEG_4133	0.6519
MSMEG_4142	1.0
MSMEG_4143	0.5926
MSMEG_4145	0.5882
MSMEG_4151	0.6377
MSMEG_4153	0.5312
MSMEG_4155	0.5753
MSMEG_4159	0.6667
MSMEG_4160	0.6169
MSMEG_4161	0.6096
MSMEG_4163	0.7018
MSMEG_4165	0.6691
MSMEG_4166	0.6247
MSMEG_4174	0.3226
MSMEG_4179	0.7391
MSMEG_4180	0.6617
MSMEG_4185	0.6593
MSMEG_4192	1.0
MSMEG_4196	0.6531
MSMEG_4197	0.6643
MSMEG_4199	0.5532
MSMEG_4215	0.6389
MSMEG_4218	0.6042
MSMEG_4219	0.5441
MSMEG_4222	0.57
MSMEG_4225	0.7111
MSMEG_4226	0.7436
MSMEG_4228	0.6844
MSMEG_4230	0.6885
MSMEG_4232	0.6869
MSMEG_4235	0.6282
MSMEG_4236	0.6842
MSMEG_4237	0.5804
MSMEG_4238	0.593
MSMEG_4240	0.6552
MSMEG_4245	0.6774
MSMEG_4246	0.6693
MSMEG_4248	0.7143
MSMEG_4249	0.6742
MSMEG_4251	0.7037
MSMEG_4252	1.0
MSMEG_4253	0.6
MSMEG_4256	0.5841
MSMEG_4257	0.5405
MSMEG_4261	0.6114
MSMEG_4264	0.5988
MSMEG_4268	0.5882
MSMEG_4270	0.6113
MSMEG_4271	0.6667
MSMEG_4272	0.625
MSMEG_4274	0.6695
MSMEG_4280	0.6333
MSMEG_4282	0.7241
MSMEG_4283	0.5591
MSMEG_4284	0.6913
MSMEG_4290	0.4615
MSMEG_4298	0.6087
MSMEG_4302	0.6579
MSMEG_4307	0.7
MSMEG_4313	0.5278
MSMEG_4314	0.5833
MSMEG_4320	0.6769
MSMEG_4321	0.5946
MSMEG_4323	0.5085
MSMEG_4326	0.6517
MSMEG_4336	0.5889
MSMEG_4337	0.56
MSMEG_4347	0.6809
MSMEG_4349	0.7143
MSMEG_4351	0.6176
MSMEG_4359	0.6549
MSMEG_4360	0.6949
MSMEG_4361	0.587
MSMEG_4365	0.6727
MSMEG_4366	0.7534
MSMEG_4367	0.6926
MSMEG_4368	0.5455
MSMEG_4371	0.6933
MSMEG_4379	0.5
MSMEG_4383	0.5667
MSMEG_4385	0.6667
MSMEG_4392	0.6731
MSMEG_4395	0.5111
MSMEG_4396	0.6098
MSMEG_4399	0.6193
MSMEG_4401	0.6364
MSMEG_4402	0.5888
MSMEG_4410	0.6667
MSMEG_4430	0.5845
MSMEG_4431	0.6429
MSMEG_4449	0.449
MSMEG_4450	0.5143
MSMEG_4453	0.6303
MSMEG_4458	0.5806
MSMEG_4460	0.7011
MSMEG_4461	0.6111
MSMEG_4476	0.6308
MSMEG_4479	0.5385
MSMEG_4480	0.6936
MSMEG_4481	0.728
MSMEG_4483	1.0
MSMEG_4486	0.2632
MSMEG_4497	0.5965
MSMEG_4499	0.4375
MSMEG_4504	0.6205
MSMEG_4507	0.717
MSMEG_4518	0.6667
MSMEG_4527	0.6136
MSMEG_4533	0.6087
MSMEG_4536	0.5924
MSMEG_4537	0.6765
MSMEG_4550	0.6042
MSMEG_4555	0.6265
MSMEG_4556	0.5556
MSMEG_4559	0.6656
MSMEG_4561	0.6619
MSMEG_4564	0.5952
MSMEG_4565	0.6484
MSMEG_4571	0.5857
MSMEG_4580	0.6282
MSMEG_4595	0.6882
MSMEG_4598	0.6845
MSMEG_4599	0.6834
MSMEG_4604	0.6026
MSMEG_4609	0.25
MSMEG_4614	0.6422
MSMEG_4617	1.0
MSMEG_4618	0.5
MSMEG_4620	1.0
MSMEG_4625	0.7273
MSMEG_4626	0.6822
MSMEG_4628	0.6901
MSMEG_4631	0.5128
MSMEG_4634	0.6667
MSMEG_4640	0.5729
MSMEG_4643	0.6489
MSMEG_4645	0.6389
MSMEG_4646	0.6186
MSMEG_4647	0.5778
MSMEG_4654	0.4667
MSMEG_4655	0.5517
MSMEG_4657	0.6415
MSMEG_4658	0.6716
MSMEG_4659	0.6522
MSMEG_4661	0.7049
MSMEG_4671	0.6087
MSMEG_4673	0.5
MSMEG_4678	0.7778
MSMEG_4679	0.6568
MSMEG_4688	0.6061
MSMEG_4689	0.5532
MSMEG_4694	0.6667
MSMEG_4698	0.633
MSMEG_4699	0.6346
MSMEG_4700	0.6494
MSMEG_4705	0.7027
MSMEG_4712	0.6774
MSMEG_4717	0.4839
MSMEG_4718	0.561
MSMEG_4720	0.4
MSMEG_4723	0.6393
MSMEG_4727	0.52
MSMEG_4735	1.0
MSMEG_4737	0.609
MSMEG_4738	0.6039
MSMEG_4740	0.7358
MSMEG_4741	0.6129
MSMEG_4742	0.4746
MSMEG_4743	0.569
MSMEG_4748	0.5949
MSMEG_4751	0.5161
MSMEG_4752	0.6053
MSMEG_4753	0.6596
MSMEG_4763	0.6476
MSMEG_4767	0.5556
MSMEG_4771	0.547
MSMEG_4773	0.45
MSMEG_4775	0.4286
MSMEG_4776	0.5429
MSMEG_4779	0.7
MSMEG_4784	0.5778
MSMEG_4791	0.5888
MSMEG_4797	0.6452
MSMEG_4800	0.5312
MSMEG_4804	0.5333
MSMEG_4807	0.697
MSMEG_4829	0.5686
MSMEG_4831	0.5714
MSMEG_4835	0.6381
MSMEG_4839	0.5584
MSMEG_4847	0.6
MSMEG_4849	0.5517
MSMEG_4868	0.5676
MSMEG_4880	0.6031
MSMEG_4887	0.5
MSMEG_4891	0.4038
MSMEG_4893	0.6364
MSMEG_4904	0.6712
MSMEG_4906	0.4737
MSMEG_4907	0.7265
MSMEG_4916	0.6471
MSMEG_4917	0.6521
MSMEG_4920	0.5556
MSMEG_4922	0.5
MSMEG_4924	0.3333
MSMEG_4926	0.6105
MSMEG_4927	0.5888
MSMEG_4933	0.6879
MSMEG_4935	0.5882
MSMEG_4938	0.5948
MSMEG_4939	0.6734
MSMEG_4941	0.5628
MSMEG_4943	0.5974
MSMEG_4945	0.6168
MSMEG_4946	0.6074
MSMEG_4951	0.6324
MSMEG_4953	0.7234
MSMEG_4954	0.6161
MSMEG_4956	0.6808
MSMEG_4958	0.7273
MSMEG_4961	0.7115
MSMEG_4971	0.654
MSMEG_4973	1.0
MSMEG_4977	0.6111
MSMEG_4979	0.4444
MSMEG_4989	0.6522
MSMEG_4991	0.625
MSMEG_4993	0.6545
MSMEG_4995	0.6471
MSMEG_4998	1.0
MSMEG_5000	0.6159
MSMEG_5004	0.6667
MSMEG_5012	0.5652
MSMEG_5013	0.6452
MSMEG_5016	0.6019
MSMEG_5039	0.5357
MSMEG_5042	1.0
MSMEG_5048	0.7018
MSMEG_5049	0.5979
MSMEG_5050	0.5217
MSMEG_5051	0.6154
MSMEG_5053	0.5
MSMEG_5054	0.7037
MSMEG_5056	0.6154
MSMEG_5057	0.6805
MSMEG_5059	0.6111
MSMEG_5060	0.6396
MSMEG_5061	0.7619
MSMEG_5062	0.6372
MSMEG_5067	0.5106
MSMEG_5070	0.5789
MSMEG_5072	0.541
MSMEG_5073	0.5669
MSMEG_5080	0.5889
MSMEG_5081	0.703
MSMEG_5086	0.6571
MSMEG_5089	0.7586
MSMEG_5090	0.5458
MSMEG_5091	0.5908
MSMEG_5100	0.5385
MSMEG_5101	0.6538
MSMEG_5102	0.6364
MSMEG_5109	0.7083
MSMEG_5111	0.6596
MSMEG_5119	0.6716
MSMEG_5122	0.6393
MSMEG_5124	0.7692
MSMEG_5126	0.48
MSMEG_5127	0.5532
MSMEG_5128	0.5769
MSMEG_5129	1.0
MSMEG_5131	0.5
MSMEG_5134	0.5663
MSMEG_5144	0.4756
MSMEG_5145	0.6186
MSMEG_5148	1.0
MSMEG_5149	0.7
MSMEG_5154	0.666
MSMEG_5157	0.5294
MSMEG_5159	0.6628
MSMEG_5162	0.6621
MSMEG_5165	0.6571
MSMEG_5171	1.0
MSMEG_5173	0.637
MSMEG_5178	0.5
MSMEG_5184	0.6216
MSMEG_5189	0.6471
MSMEG_5196	0.7009
MSMEG_5199	0.5455
MSMEG_5207	0.6624
MSMEG_5208	0.6542
MSMEG_5209	0.7826
MSMEG_5211	0.6429
MSMEG_5216	0.814
MSMEG_5218	0.6296
MSMEG_5219	0.6
MSMEG_5220	0.6372
MSMEG_5229	0.652
MSMEG_5231	0.5608
MSMEG_5233	0.6299
MSMEG_5236	0.717
MSMEG_5237	0.8125
MSMEG_5241	0.6961
MSMEG_5257	0.5455
MSMEG_5261	0.6095
MSMEG_5263	0.5874
MSMEG_5264	1.0
MSMEG_5265	0.3333
MSMEG_5268	0.6438
MSMEG_5271	0.4889
MSMEG_5273	0.5455
MSMEG_5274	1.0
MSMEG_5275	0.5
MSMEG_5278	0.6841
MSMEG_5280	0.5625
MSMEG_5282	0.4643
MSMEG_5287	0.7317
MSMEG_5288	0.5981
MSMEG_5292	0.5882
MSMEG_5298	0.6471
MSMEG_5301	0.5319
MSMEG_5302	0.5385
MSMEG_5303	0.5143
MSMEG_5308	0.538
MSMEG_5310	0.5294
MSMEG_5318	0.6634
MSMEG_5324	0.6419
MSMEG_5327	0.6047
MSMEG_5328	0.5632
MSMEG_5329	0.6596
MSMEG_5333	0.5833
MSMEG_5338	0.5075
MSMEG_5339	0.5882
MSMEG_5343	0.56
MSMEG_5346	0.593
MSMEG_5347	0.6739
MSMEG_5349	0.5833
MSMEG_5352	0.5789
MSMEG_5354	0.6429
MSMEG_5355	0.5586
MSMEG_5360	0.6705
MSMEG_5368	0.6447
MSMEG_5370	0.6515
MSMEG_5372	0.6833
MSMEG_5375	0.5667
MSMEG_5376	0.6298
MSMEG_5378	0.5515
MSMEG_5379	0.5888
MSMEG_5388	0.5532
MSMEG_5397	0.6316
MSMEG_5401	0.5833
MSMEG_5403	0.5556
MSMEG_5406	0.5789
MSMEG_5409	0.7229
MSMEG_5412	0.5962
MSMEG_5414	0.7069
MSMEG_5415	0.6154
MSMEG_5416	0.6398
MSMEG_5418	0.5789
MSMEG_5420	0.6376
MSMEG_5427	0.5806
MSMEG_5429	0.6577
MSMEG_5431	0.5966
MSMEG_5435	0.625
MSMEG_5438	0.6224
MSMEG_5439	0.6269
MSMEG_5442	0.4118
MSMEG_5444	0.7143
MSMEG_5452	1.0
MSMEG_5460	0.5472
MSMEG_5461	0.5556
MSMEG_5462	0.8
MSMEG_5463	0.625
MSMEG_5468	0.6935
MSMEG_5470	0.6111
MSMEG_5475	0.6667
MSMEG_5480	0.5556
MSMEG_5481	0.6497
MSMEG_5482	0.625
MSMEG_5483	0.6013
MSMEG_5486	0.5604
MSMEG_5489	0.6
MSMEG_5500	0.6594
MSMEG_5502	0.5385
MSMEG_5503	0.6133
MSMEG_5505	1.0
MSMEG_5507	0.5309
MSMEG_5515	0.622
MSMEG_5517	0.66
MSMEG_5518	0.619
MSMEG_5522	0.5
MSMEG_5525	0.6098
MSMEG_5534	0.6667
MSMEG_5536	0.6545
MSMEG_5539	0.6667
MSMEG_5543	0.6385
MSMEG_5549	0.5926
MSMEG_5553	0.7037
MSMEG_5556	0.5455
MSMEG_5557	0.58
MSMEG_5558	0.5741
MSMEG_5559	0.5982
MSMEG_5565	0.5
MSMEG_5568	0.5312
MSMEG_5579	0.6071
MSMEG_5584	0.5294
MSMEG_5587	0.5833
MSMEG_5588	1.0
MSMEG_5589	0.5806
MSMEG_5591	0.5455
MSMEG_5595	0.5926
MSMEG_5597	0.5862
MSMEG_5601	0.5814
MSMEG_5607	0.5778
MSMEG_5610	0.6923
MSMEG_5611	0.65
MSMEG_5612	0.621
MSMEG_5617	0.6129
MSMEG_5634	0.5855
MSMEG_5636	0.5714
MSMEG_5641	0.5818
MSMEG_5646	0.6039
MSMEG_5649	0.5904
MSMEG_5651	0.6053
MSMEG_5656	0.6633
MSMEG_5658	0.68
MSMEG_5660	0.6914
MSMEG_5661	0.6071
MSMEG_5672	0.5714
MSMEG_5680	0.6286
MSMEG_5682	0.5698
MSMEG_5685	0.6364
MSMEG_5690	0.66
MSMEG_5691	0.4
MSMEG_5694	0.7295
MSMEG_5696	0.6571
MSMEG_5697	0.5926
MSMEG_5699	0.625
MSMEG_5700	0.6506
MSMEG_5702	0.5692
MSMEG_5703	0.6492
MSMEG_5704	0.6087
MSMEG_5705	0.3333
MSMEG_5708	0.571
MSMEG_5709	0.5968
MSMEG_5710	0.5314
MSMEG_5713	0.7568
MSMEG_5719	0.4848
MSMEG_5720	0.5
MSMEG_5721	0.5652
MSMEG_5722	0.6556
MSMEG_5727	0.7079
MSMEG_5730	0.5484
MSMEG_5731	0.5
MSMEG_5741	0.5
MSMEG_5749	0.5472
MSMEG_5750	0.5642
MSMEG_5760	0.7273
MSMEG_5764	0.6628
MSMEG_5768	0.5128
MSMEG_5769	0.7105
MSMEG_5770	0.5833
MSMEG_5771	0.6301
MSMEG_5773	0.5294
MSMEG_5775	0.6792
MSMEG_5778	0.4808
MSMEG_5781	0.5714
MSMEG_5782	0.5676
MSMEG_5784	0.581
MSMEG_5786	0.625
MSMEG_5788	0.5924
MSMEG_5797	0.5811
MSMEG_5798	1.0
MSMEG_5800	0.6364
MSMEG_5803	0.6296
MSMEG_5811	0.5962
MSMEG_5812	0.5714
MSMEG_5816	0.7222
MSMEG_5820	1.0
MSMEG_5828	0.637
MSMEG_5831	0.6059
MSMEG_5848	0.7357
MSMEG_5851	0.6688
MSMEG_5853	0.6286
MSMEG_5855	0.6117
MSMEG_5859	0.5682
MSMEG_5866	0.5088
MSMEG_5868	0.5152
MSMEG_5876	0.6111
MSMEG_5878	0.6216
MSMEG_5879	0.5955
MSMEG_5885	0.5625
MSMEG_5886	0.2
MSMEG_5887	0.6047
MSMEG_5889	0.4571
MSMEG_5894	0.676
MSMEG_5902	0.6529
MSMEG_5904	0.7778
MSMEG_5906	0.5833
MSMEG_5912	0.5714
MSMEG_5916	0.5926
MSMEG_5920	0.6183
MSMEG_5925	0.6087
MSMEG_5929	0.6364
MSMEG_5933	0.6271
MSMEG_5934	0.5
MSMEG_5937	0.6292
MSMEG_5939	0.5385
MSMEG_5940	0.6115
MSMEG_5943	0.6692
MSMEG_5944	0.6442
MSMEG_5952	0.6667
MSMEG_5956	0.625
MSMEG_5959	0.6341
MSMEG_5962	0.5889
MSMEG_5967	0.5965
MSMEG_5968	0.7188
MSMEG_5969	0.5759
MSMEG_5970	0.5172
MSMEG_5971	0.5633
MSMEG_5976	0.5641
MSMEG_5981	0.6529
MSMEG_5988	0.6529
MSMEG_5989	0.7
MSMEG_5995	0.5
MSMEG_5997	0.6978
MSMEG_6001	0.5349
MSMEG_6006	0.6519
MSMEG_6010	0.6746
MSMEG_6018	0.68
MSMEG_6019	0.668
MSMEG_6020	0.6188
MSMEG_6021	0.5217
MSMEG_6022	0.5676
MSMEG_6024	0.6425
MSMEG_6027	0.6494
MSMEG_6029	0.5
MSMEG_6031	0.5161
MSMEG_6032	0.5811
MSMEG_6033	0.4722
MSMEG_6038	0.5161
MSMEG_6039	0.4907
MSMEG_6040	0.6364
MSMEG_6042	0.6111
MSMEG_6044	1.0
MSMEG_6064	0.6645
MSMEG_6068	0.5833
MSMEG_6073	0.6515
MSMEG_6076	0.6693
MSMEG_6077	0.6
MSMEG_6078	0.5484
MSMEG_6080	0.64
MSMEG_6083	0.5323
MSMEG_6085	0.5294
MSMEG_6090	0.5417
MSMEG_6091	0.5867
MSMEG_6092	0.5932
MSMEG_6098	0.6364
MSMEG_6104	0.6957
MSMEG_6105	0.64
MSMEG_6112	0.7377
MSMEG_6113	0.6889
MSMEG_6114	0.6571
MSMEG_6131	0.5606
MSMEG_6136	0.6615
MSMEG_6141	0.6364
MSMEG_6145	0.6444
MSMEG_6148	0.5678
MSMEG_6149	0.5888
MSMEG_6153	1.0
MSMEG_6156	0.5888
MSMEG_6157	0.6364
MSMEG_6159	0.5956
MSMEG_6160	0.7391
MSMEG_6162	0.5888
MSMEG_6171	0.6407
MSMEG_6180	0.6618
MSMEG_6182	0.5806
MSMEG_6185	0.6667
MSMEG_6198	0.5652
MSMEG_6199	0.5726
MSMEG_6201	0.6173
MSMEG_6219	0.6429
MSMEG_6221	0.6261
MSMEG_6224	0.7407
MSMEG_6227	0.5128
MSMEG_6229	0.6571
MSMEG_6237	0.6483
MSMEG_6239	0.5476
MSMEG_6240	0.7161
MSMEG_6241	0.6158
MSMEG_6242	0.6829
MSMEG_6243	0.6765
MSMEG_6245	0.6319
MSMEG_6250	0.6905
MSMEG_6254	0.6068
MSMEG_6257	0.5366
MSMEG_6259	0.575
MSMEG_6266	0.5479
MSMEG_6270	0.6667
MSMEG_6271	0.6838
MSMEG_6280	0.6239
MSMEG_6282	0.5915
MSMEG_6284	0.5556
MSMEG_6286	0.7055
MSMEG_6291	0.5091
MSMEG_6300	0.6429
MSMEG_6302	1.0
MSMEG_6303	0.6774
MSMEG_6314	0.6439
MSMEG_6316	0.5957
MSMEG_6334	0.6357
MSMEG_6340	0.587
MSMEG_6344	0.4706
MSMEG_6346	0.5882
MSMEG_6348	0.4773
MSMEG_6352	0.7009
MSMEG_6353	0.5833
MSMEG_6354	0.7008
MSMEG_6356	0.6111
MSMEG_6358	0.5846
MSMEG_6363	0.6698
MSMEG_6365	0.6566
MSMEG_6369	0.6806
MSMEG_6379	0.6941
MSMEG_6380	0.5969
MSMEG_6381	0.6818
MSMEG_6383	0.6207
MSMEG_6385	0.6207
MSMEG_6386	0.6458
MSMEG_6390	0.5263
MSMEG_6391	0.6324
MSMEG_6393	0.6593
MSMEG_6394	0.649
MSMEG_6398	0.589
MSMEG_6399	0.7059
MSMEG_6401	0.5968
MSMEG_6404	1.0
MSMEG_6405	0.5631
MSMEG_6408	0.7329
MSMEG_6410	0.4194
MSMEG_6411	0.6403
MSMEG_6414	0.5833
MSMEG_6416	0.7364
MSMEG_6419	0.6
MSMEG_6426	0.5556
MSMEG_6427	0.5
MSMEG_6428	0.6226
MSMEG_6430	0.6761
MSMEG_6432	0.6429
MSMEG_6433	0.6222
MSMEG_6434	0.6429
MSMEG_6438	0.6774
MSMEG_6446	0.5625
MSMEG_6447	0.5934
MSMEG_6448	0.4545
MSMEG_6451	0.4286
MSMEG_6452	0.5278
MSMEG_6456	0.5789
MSMEG_6457	0.5854
MSMEG_6477	0.52
MSMEG_6480	0.6552
MSMEG_6481	0.658
MSMEG_6484	0.6104
MSMEG_6487	0.625
MSMEG_6497	0.4337
MSMEG_6498	0.4524
MSMEG_6508	0.6176
MSMEG_6511	0.5833
MSMEG_6515	1.0
MSMEG_6518	0.5833
MSMEG_6519	0.713
MSMEG_6524	0.6639
MSMEG_6525	1.0
MSMEG_6528	0.5565
MSMEG_6535	0.7917
MSMEG_6538	0.6755
MSMEG_6540	0.5238
MSMEG_6541	0.6514
MSMEG_6544	0.6486
MSMEG_6552	0.6809
MSMEG_6555	0.5758
MSMEG_6563	0.5962
MSMEG_6566	0.6032
MSMEG_6568	0.6
MSMEG_6577	0.675
MSMEG_6579	0.5769
MSMEG_6581	0.5373
MSMEG_6587	0.5319
MSMEG_6588	0.5714
MSMEG_6590	1.0
MSMEG_6596	0.56
MSMEG_6601	1.0
MSMEG_6603	0.5429
MSMEG_6604	0.7037
MSMEG_6618	0.6667
MSMEG_6630	0.5517
MSMEG_6634	0.7442
MSMEG_6635	0.6087
MSMEG_6636	0.55
MSMEG_6637	0.6154
MSMEG_6638	0.6549
MSMEG_6640	0.6458
MSMEG_6642	0.7107
MSMEG_6649	0.6471
MSMEG_6650	0.65
MSMEG_6654	0.5135
MSMEG_6660	0.5897
MSMEG_6663	0.7321
MSMEG_6678	0.7353
MSMEG_6686	0.6615
MSMEG_6690	0.6979
MSMEG_6698	0.6154
MSMEG_6700	0.6575
MSMEG_6726	0.6381
MSMEG_6727	0.7021
MSMEG_6730	0.6216
MSMEG_6739	0.5213
MSMEG_6740	0.6102
MSMEG_6743	0.4324
MSMEG_6744	0.6696
MSMEG_6747	0.6591
MSMEG_6754	0.5581
MSMEG_6758	0.5741
MSMEG_6759	0.673
MSMEG_6760	0.6647
MSMEG_6761	0.6462
MSMEG_6764	0.5455
MSMEG_6771	0.6168
MSMEG_6772	0.6226
MSMEG_6781	0.6846
MSMEG_6783	0.5217
MSMEG_6786	0.6825
MSMEG_6787	0.6694
MSMEG_6789	0.6364
MSMEG_6800	0.6371
MSMEG_6802	0.6264
MSMEG_6804	0.7955
MSMEG_6808	0.6571
MSMEG_6821	0.6034
MSMEG_6822	0.6034
MSMEG_6826	0.5938
MSMEG_6843	0.6602
MSMEG_6859	0.6087
MSMEG_6861	0.5143
MSMEG_6864	1.0
MSMEG_6865	0.6441
MSMEG_6874	0.5312
MSMEG_6881	0.5135
MSMEG_6884	0.625
MSMEG_6892	0.5779
MSMEG_6896	0.641
MSMEG_6897	0.6129
MSMEG_6900	0.729
MSMEG_6903	0.5795
MSMEG_6911	0.6659
MSMEG_6914	1.0
MSMEG_6919	0.58
MSMEG_6922	0.6842
MSMEG_6925	0.6598
MSMEG_6932	1.0
MSMEG_6933	0.6216
MSMEG_6934	0.6111
MSMEG_6935	0.6667
MSMEG_6936	0.6667
MSMEG_6941	0.6677
MSMEG_6942	0.6724
MSMEG_6946	0.6488
MSMEG_6947	0.5841
