 	adja_AA_5pUTR	adja_AC_5pUTR	adja_AG_5pUTR	adja_AU_5pUTR	adja_CA_5pUTR	adja_CC_5pUTR	adja_CG_5pUTR	adja_CU_5pUTR	adja_GA_5pUTR	adja_GC_5pUTR	adja_GG_5pUTR	adja_GU_5pUTR	adja_UA_5pUTR	adja_UC_5pUTR	adja_UG_5pUTR	adja_UU_5pUTR
MSMEG_0630	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0632	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0634	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0637	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.5
MSMEG_0639	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0640	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0641	0.0403	0.0872	0.0336	0.047	0.0738	0.0872	0.1074	0.0537	0.0738	0.0604	0.0604	0.0738	0.0201	0.094	0.0604	0.0268
MSMEG_0642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0643	0.1562	0.0	0.0625	0.0938	0.125	0.0312	0.0	0.0	0.0625	0.0312	0.2188	0.0312	0.0	0.0938	0.0312	0.0625
MSMEG_0644	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0645	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0646	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0649	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0650	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0655	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0656	0.4	0.2	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MSMEG_0657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0658	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0659	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0660	0.0333	0.1	0.1333	0.0	0.0667	0.0667	0.1667	0.0	0.1333	0.1333	0.1333	0.0333	0.0	0.0	0.0	0.0
MSMEG_0661	0.0676	0.0676	0.0676	0.0541	0.1081	0.0405	0.0541	0.0405	0.0541	0.0541	0.0541	0.0811	0.0405	0.0811	0.0676	0.0676
MSMEG_0662	0.0208	0.0625	0.0365	0.0312	0.0677	0.0938	0.1354	0.0573	0.0625	0.1354	0.0885	0.0469	0.0	0.0573	0.0781	0.026
MSMEG_0663	0.0256	0.0256	0.1795	0.0	0.0769	0.0256	0.0769	0.0256	0.1026	0.1026	0.0769	0.1026	0.0256	0.0513	0.0513	0.0513
MSMEG_0664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0666	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0667	0.0506	0.0886	0.0759	0.0633	0.0759	0.0506	0.1013	0.0253	0.1139	0.0506	0.0886	0.0633	0.038	0.0759	0.038	0.0
MSMEG_0668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0670	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0671	0.0	0.0789	0.0789	0.0789	0.1053	0.0526	0.0789	0.0263	0.1053	0.0789	0.0789	0.0263	0.0263	0.0526	0.0263	0.1053
MSMEG_0672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0673	0.0652	0.0652	0.0652	0.0326	0.0652	0.0543	0.0978	0.0326	0.0761	0.087	0.0543	0.0652	0.0109	0.0543	0.0652	0.1087
MSMEG_0674	0.1707	0.0732	0.0488	0.0732	0.0488	0.0244	0.0732	0.0244	0.0976	0.0732	0.0732	0.0244	0.0488	0.0244	0.0488	0.0732
MSMEG_0675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0676	0.0	0.0455	0.1364	0.0	0.0	0.0	0.0909	0.0	0.1364	0.0	0.0909	0.2273	0.0455	0.0455	0.1364	0.0455
MSMEG_0678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0679	0.0571	0.0571	0.0629	0.0343	0.0571	0.0229	0.1086	0.0457	0.0686	0.1086	0.0914	0.08	0.0229	0.0457	0.0914	0.0457
MSMEG_0680	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0681	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0682	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0683	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0684	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0688	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0689	0.1127	0.0845	0.0986	0.0563	0.0845	0.0704	0.0563	0.0141	0.1408	0.0423	0.0845	0.0282	0.0141	0.0423	0.0423	0.0282
MSMEG_0690	0.0676	0.0946	0.0541	0.0541	0.0811	0.0676	0.0946	0.027	0.0405	0.0811	0.1081	0.0541	0.0946	0.027	0.0135	0.0405
MSMEG_0691	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0692	0.037	0.1481	0.1111	0.0	0.1111	0.0741	0.0741	0.037	0.1481	0.0741	0.0741	0.037	0.0	0.0	0.0741	0.0
MSMEG_0693	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0696	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0698	0.0811	0.0541	0.0541	0.0	0.027	0.0541	0.1081	0.027	0.0541	0.1081	0.1081	0.1081	0.027	0.027	0.0811	0.0811
MSMEG_0699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0700	0.0204	0.0982	0.0532	0.0225	0.0736	0.1145	0.1472	0.0368	0.0879	0.0941	0.0777	0.0532	0.0123	0.0675	0.0327	0.0082
MSMEG_0701	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0703	0.0486	0.0688	0.0567	0.0405	0.0567	0.0445	0.1336	0.0324	0.0891	0.1053	0.1174	0.0567	0.0162	0.0526	0.0607	0.0202
MSMEG_0704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0706	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0707	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0709	0.0364	0.0636	0.1364	0.0455	0.0909	0.0455	0.0455	0.0545	0.1182	0.0727	0.0727	0.0455	0.0364	0.0636	0.0455	0.0273
MSMEG_0710	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0711	0.0588	0.0	0.1765	0.0	0.0588	0.0	0.0588	0.0	0.0588	0.1765	0.1765	0.1176	0.0588	0.0	0.0588	0.0
MSMEG_0712	0.037	0.1481	0.1111	0.0	0.1852	0.0	0.0741	0.0	0.1111	0.0741	0.1481	0.037	0.0	0.037	0.0	0.037
MSMEG_0713	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0715	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0716	0.0314	0.065	0.0381	0.0561	0.0583	0.0942	0.1211	0.0448	0.0717	0.0942	0.0628	0.0695	0.0291	0.0673	0.074	0.0224
MSMEG_0717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0719	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0722	0.0314	0.0881	0.0629	0.0629	0.0755	0.0252	0.1006	0.0377	0.1258	0.0566	0.0692	0.0566	0.0126	0.0692	0.0692	0.0566
MSMEG_0723	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0725	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0726	0.0526	0.0	0.1053	0.0	0.0	0.0526	0.0	0.0526	0.1053	0.0526	0.2632	0.1053	0.0	0.0	0.1579	0.0526
MSMEG_0727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0728	0.0647	0.0588	0.0529	0.0529	0.0471	0.0647	0.1059	0.0471	0.1176	0.0765	0.0882	0.0471	0.0059	0.0647	0.0765	0.0294
MSMEG_0729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0730	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0731	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0732	0.0882	0.0882	0.0882	0.0294	0.0882	0.0294	0.0588	0.0	0.0882	0.0294	0.0882	0.0882	0.0294	0.0588	0.0294	0.1176
MSMEG_0733	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0734	0.25	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MSMEG_0735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0736	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0739	0.0163	0.0707	0.0326	0.019	0.0598	0.0924	0.1549	0.0543	0.0489	0.1467	0.1005	0.0598	0.0136	0.0516	0.0679	0.0109
MSMEG_0740	0.0194	0.0437	0.0485	0.0485	0.0874	0.0922	0.1214	0.034	0.0534	0.1214	0.1019	0.0631	0.0	0.0777	0.068	0.0194
MSMEG_0741	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0742	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0744	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0748	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0749	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0750	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0752	0.0632	0.0632	0.0737	0.0316	0.0526	0.1053	0.0737	0.0526	0.0842	0.0632	0.1053	0.0737	0.0211	0.0632	0.0737	0.0
MSMEG_0753	0.1111	0.1111	0.1111	0.0	0.037	0.037	0.1481	0.0	0.1111	0.0741	0.1852	0.037	0.037	0.0	0.0	0.0
MSMEG_0754	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0755	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0757	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0758	0.0227	0.0455	0.0682	0.0227	0.0606	0.1061	0.0909	0.053	0.053	0.1061	0.0758	0.0758	0.0152	0.0606	0.0758	0.0682
MSMEG_0759	0.0	0.0698	0.1163	0.0233	0.0698	0.0698	0.093	0.0465	0.093	0.1395	0.1395	0.0233	0.0465	0.0233	0.0233	0.0233
MSMEG_0760	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0761	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0
MSMEG_0762	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0764	0.0305	0.0549	0.0732	0.0244	0.0671	0.0305	0.1037	0.0488	0.0671	0.0793	0.1159	0.0976	0.0183	0.0915	0.061	0.0366
MSMEG_0765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0766	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0
MSMEG_0767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0768	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0769	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0770	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0771	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0772	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0773	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0776	0.125	0.125	0.125	0.0	0.1875	0.125	0.0625	0.0	0.125	0.125	0.0	0.0	0.0	0.0	0.0	0.0
MSMEG_0777	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0779	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0780	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0781	0.0787	0.0787	0.0562	0.0449	0.1011	0.0787	0.0787	0.0337	0.0674	0.0337	0.0787	0.0674	0.0225	0.1011	0.0225	0.0562
MSMEG_0782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0787	0.0314	0.0732	0.0649	0.0293	0.069	0.0753	0.1444	0.0481	0.0879	0.1506	0.0628	0.0335	0.0084	0.0377	0.0649	0.0188
MSMEG_0788	0.0784	0.0588	0.1176	0.0196	0.0588	0.0196	0.1373	0.0196	0.1176	0.1176	0.0588	0.0784	0.0196	0.0392	0.0392	0.0196
MSMEG_0789	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0790	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0791	0.0309	0.0722	0.0619	0.0412	0.0722	0.0928	0.0928	0.0412	0.0928	0.0722	0.1649	0.0412	0.0103	0.0619	0.0412	0.0103
MSMEG_0792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0793	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0796	0.019	0.0735	0.045	0.0308	0.0592	0.0664	0.1493	0.045	0.0806	0.1185	0.0924	0.0664	0.0095	0.0616	0.0711	0.0118
MSMEG_0798	0.0	0.05	0.025	0.05	0.025	0.05	0.175	0.025	0.1	0.1	0.075	0.125	0.0	0.075	0.1	0.025
MSMEG_0799	0.0616	0.0479	0.0959	0.0479	0.0548	0.0548	0.0685	0.0479	0.0822	0.0616	0.0479	0.0822	0.0616	0.0616	0.0548	0.0685
MSMEG_0800	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0801	0.0472	0.0283	0.1226	0.0189	0.0283	0.0094	0.0755	0.0566	0.1415	0.0943	0.1226	0.066	0.0094	0.0377	0.0943	0.0472
MSMEG_0802	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0803	0.0	0.6667	0.0	0.0	0.3333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MSMEG_0804	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0806	0.0374	0.0673	0.0549	0.0324	0.0599	0.1122	0.1097	0.0623	0.0798	0.1222	0.0723	0.0374	0.015	0.0449	0.0723	0.02
MSMEG_0807	0.0231	0.1	0.0462	0.0385	0.1	0.1	0.1231	0.0385	0.0769	0.0923	0.1	0.0385	0.0154	0.0692	0.0308	0.0077
MSMEG_0808	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0811	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0814	0.0183	0.0642	0.0826	0.0459	0.0642	0.0917	0.1101	0.055	0.1193	0.1101	0.0642	0.0183	0.0092	0.0642	0.0459	0.0367
MSMEG_0815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0816	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0817	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0818	0.0	0.069	0.1034	0.069	0.069	0.1724	0.069	0.069	0.1379	0.0345	0.0	0.0345	0.0	0.1379	0.0345	0.0
MSMEG_0819	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0821	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0825	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0826	0.0488	0.061	0.061	0.0366	0.0366	0.1159	0.1159	0.0244	0.0976	0.0793	0.0915	0.0732	0.0244	0.0427	0.0671	0.0244
MSMEG_0827	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0828	0.0667	0.08	0.04	0.0133	0.04	0.08	0.1067	0.0667	0.0933	0.08	0.1067	0.0533	0.0	0.0667	0.0667	0.04
MSMEG_0829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0830	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0831	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0833	0.0816	0.0408	0.102	0.0612	0.0816	0.0408	0.0612	0.0204	0.102	0.0408	0.102	0.0816	0.0204	0.0816	0.0408	0.0408
MSMEG_0834	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0836	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0839	0.0143	0.0714	0.0143	0.0429	0.0429	0.1143	0.1714	0.0571	0.0857	0.1286	0.0857	0.0286	0.0	0.0857	0.0429	0.0143
MSMEG_0840	0.0337	0.0562	0.0618	0.0449	0.0674	0.0337	0.1011	0.0562	0.0674	0.1011	0.0787	0.0674	0.0337	0.0674	0.0674	0.0618
MSMEG_0842	0.1739	0.1304	0.1739	0.0	0.0435	0.0435	0.087	0.0	0.2174	0.0	0.0435	0.0435	0.0435	0.0	0.0	0.0
MSMEG_0843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0844	0.0289	0.0611	0.0418	0.0354	0.0579	0.0804	0.1318	0.0482	0.074	0.0997	0.0868	0.074	0.0064	0.0804	0.0707	0.0225
MSMEG_0845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0849	0.0667	0.1111	0.0222	0.0	0.0222	0.0222	0.2	0.0222	0.0889	0.1111	0.1778	0.0667	0.0	0.0222	0.0444	0.0222
MSMEG_0850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
