 	Nucl_A_5pUTR	Nucl_T_5pUTR	Nucl_G_5pUTR	Nucl_C_5pUTR
MSMEG_1633	0.1475	0.1578	0.3689	0.3258
MSMEG_1634	0.1538	0.1795	0.3462	0.3205
MSMEG_1636	0	0	1.0	0
MSMEG_1637	0.1696	0.1607	0.308	0.3616
MSMEG_1638	0.2164	0.1194	0.3209	0.3433
MSMEG_1640	0.1928	0.1867	0.3554	0.2651
MSMEG_1642	0	0	1.0	0
MSMEG_1646	0.1311	0.1639	0.2787	0.4262
MSMEG_1652	0.1562	0.1719	0.3219	0.35
MSMEG_1654	0.3684	0.0789	0.3421	0.2105
MSMEG_1657	0.3333	0	0	0.6667
MSMEG_1659	0.2603	0.0685	0.3288	0.3425
MSMEG_1661	0.1579	0.2105	0.3684	0.2632
MSMEG_1662	0.2079	0.186	0.302	0.3042
MSMEG_1672	0.1905	0.1746	0.3651	0.2698
MSMEG_1673	0.2586	0.2155	0.3103	0.2155
MSMEG_1675	0.2857	0.0952	0.2381	0.381
MSMEG_1680	0.1907	0.1662	0.3351	0.3079
MSMEG_1682	0.3667	0.1667	0.2667	0.2
MSMEG_1683	0.283	0.1132	0.2642	0.3396
MSMEG_1685	0.1637	0.1239	0.3628	0.3496
MSMEG_1689	0.1828	0.1376	0.3265	0.3532
MSMEG_1698	0.2073	0.2561	0.4512	0.0854
MSMEG_1717	0.2	0.2	0.6	0
MSMEG_1719	0.2105	0.1378	0.2682	0.3835
MSMEG_1722	0.1481	0.2222	0.3704	0.2593
MSMEG_1723	0.2	0.1091	0.2545	0.4364
MSMEG_1726	0.2342	0.1139	0.3101	0.3418
MSMEG_1728	0.2079	0.2211	0.3605	0.2105
MSMEG_1729	0.125	0.375	0.5	0
MSMEG_1732	0.1324	0.1765	0.4118	0.2794
MSMEG_1733	0.2064	0.1744	0.2598	0.3594
MSMEG_1738	0.2265	0.1768	0.2818	0.3149
MSMEG_1741	1.0	0	0	0
MSMEG_1744	0.3333	0	0.4444	0.2222
MSMEG_1751	1.0	0	0	0
MSMEG_1770	0.3393	0.1071	0.25	0.3036
MSMEG_1773	0.2402	0.1508	0.2626	0.3464
MSMEG_1778	0.1604	0.1754	0.306	0.3582
MSMEG_1782	0.2217	0.1085	0.3443	0.3255
MSMEG_1786	0.2164	0.2015	0.3134	0.2687
MSMEG_1791	0.2619	0.0476	0.4048	0.2857
MSMEG_1799	0.2453	0.2453	0.3396	0.1698
MSMEG_1801	0.1868	0.1592	0.3482	0.3057
MSMEG_1802	0.3148	0.1111	0.3889	0.1852
MSMEG_1803	0.3333	0.1667	0.2778	0.2222
MSMEG_1804	0.2015	0.1716	0.3507	0.2761
MSMEG_1805	0.2045	0.1487	0.3309	0.316
MSMEG_1807	0.3043	0.2391	0.2609	0.1957
MSMEG_1812	0.2047	0.1404	0.3099	0.345
MSMEG_1821	0.3158	0.0526	0.4211	0.2105
MSMEG_1822	0.192	0.168	0.328	0.312
MSMEG_1831	0.2164	0.2388	0.3358	0.209
MSMEG_1834	0.2692	0.2692	0.1923	0.2692
MSMEG_1836	0.1898	0.2044	0.3358	0.2701
MSMEG_1838	0.3438	0.0625	0.375	0.2188
MSMEG_1839	0.2857	0.2	0.3143	0.2
MSMEG_1854	0.2727	0.0909	0.5455	0.0909
MSMEG_1861	0.2953	0.1088	0.2176	0.3782
MSMEG_1862	0.2342	0.1139	0.3101	0.3418
MSMEG_1863	0.2325	0.1754	0.3026	0.2895
MSMEG_1868	0.125	0.375	0.1875	0.3125
MSMEG_1869	0.2368	0.1842	0.1842	0.3947
MSMEG_1870	0.3125	0.2188	0.2812	0.1875
MSMEG_1872	0.1515	0.2121	0.4242	0.2121
MSMEG_1875	0.1728	0.1728	0.3821	0.2724
MSMEG_1880	0.1273	0.2727	0.2182	0.3818
MSMEG_1881	0.3167	0.1167	0.25	0.3167
MSMEG_1882	0.1765	0.1471	0.3824	0.2941
MSMEG_1883	0.3333	0	0	0.6667
MSMEG_1886	0.3125	0.125	0.4375	0.125
MSMEG_1887	0.2308	0.2308	0.3077	0.2308
MSMEG_1895	0.2593	0.4444	0.1481	0.1481
MSMEG_1902	0.2647	0.1471	0.1765	0.4118
MSMEG_1905	0.2727	0.0909	0.3636	0.2727
MSMEG_1914	0.1778	0.2111	0.4111	0.2
MSMEG_1916	0.2759	0.2414	0.2759	0.2069
MSMEG_1917	0.3077	0.0769	0.5	0.1154
MSMEG_1918	0.1773	0.1596	0.3723	0.2908
MSMEG_1919	0.2921	0.2022	0.2584	0.2472
MSMEG_1929	0.1811	0.0968	0.3052	0.4169
MSMEG_1930	0.1928	0.1839	0.3049	0.3184
MSMEG_1932	0.2903	0.129	0.3548	0.2258
MSMEG_1933	0.1311	0.161	0.3446	0.3633
MSMEG_1934	0.3556	0.0667	0.3556	0.2222
MSMEG_1935	0.2931	0.1552	0.2931	0.2586
MSMEG_1937	0.1667	0.2576	0.4242	0.1515
MSMEG_1945	0.1636	0.2	0.3273	0.3091
MSMEG_1947	0.3333	0.3333	0	0.3333
MSMEG_1949	0.1807	0.1446	0.3614	0.3133
MSMEG_1953	0.1986	0.164	0.2933	0.3441
MSMEG_1955	0.2261	0.1391	0.3391	0.2957
MSMEG_1960	0.2006	0.1847	0.3248	0.2898
MSMEG_1966	0.3571	0.1667	0.2619	0.2143
MSMEG_1969	0.2	0.1667	0.3333	0.3
MSMEG_1976	0.2143	0.1357	0.3286	0.3214
MSMEG_1981	0.2963	0.1481	0.2963	0.2593
MSMEG_1985	0.2903	0.129	0.3226	0.2581
MSMEG_1986	0.1707	0.1463	0.439	0.2439
MSMEG_1989	0.1353	0.1815	0.363	0.3201
MSMEG_1991	0.4	0.05	0.4	0.15
MSMEG_1996	0	0	0.75	0.25
MSMEG_1999	0.2857	0.0779	0.3377	0.2987
MSMEG_2000	0.3676	0.1324	0.2059	0.2941
MSMEG_2002	0.2243	0.1869	0.4206	0.1682
MSMEG_2007	0.194	0.1343	0.3134	0.3582
MSMEG_2009	0.1562	0.25	0.4375	0.1562
MSMEG_2010	0.2597	0.1558	0.2857	0.2987
MSMEG_2011	0.2308	0.1538	0.3846	0.2308
MSMEG_2017	0.2	0.24	0.28	0.28
MSMEG_2019	0.2771	0.1928	0.3012	0.2289
MSMEG_2021	0.2093	0.1395	0.2558	0.3953
MSMEG_2029	0.4286	0.0952	0.2857	0.1905
MSMEG_2033	0.3182	0.1364	0.2727	0.2727
MSMEG_2039	0.2632	0.1053	0.4737	0.1579
MSMEG_2042	0.2432	0.2162	0.3784	0.1622
MSMEG_2043	0	0.6667	0.3333	0
MSMEG_2044	0.2045	0.197	0.2727	0.3258
MSMEG_2045	0.1183	0.1834	0.3609	0.3373
MSMEG_2049	0.4737	0.0526	0.2632	0.2105
MSMEG_2072	0.2195	0.0894	0.3252	0.3659
MSMEG_2074	0.1919	0.1279	0.3372	0.343
MSMEG_2075	0.1636	0.2364	0.1818	0.4182
MSMEG_2078	0.2245	0.1701	0.3061	0.2993
MSMEG_2080	0.1702	0.1454	0.344	0.3404
MSMEG_2081	0.2762	0.0952	0.2476	0.381
MSMEG_2087	0.3297	0.1209	0.3077	0.2418
MSMEG_2091	0.2692	0.1923	0.3846	0.1538
MSMEG_2092	0.2286	0.1714	0.4	0.2
MSMEG_2103	0.2027	0.1757	0.3581	0.2635
MSMEG_2105	0.1908	0.2061	0.2824	0.3206
MSMEG_2106	0.24	0.16	0.44	0.16
MSMEG_2107	0.1739	0.1739	0.3261	0.3261
MSMEG_2108	0.2619	0.3095	0.2857	0.1429
MSMEG_2111	0.2471	0.1882	0.3412	0.2235
MSMEG_2116	0.25	0.125	0.3958	0.2292
MSMEG_2117	0.4	0.05	0.3	0.25
MSMEG_2124	0.2152	0.2152	0.2405	0.3291
MSMEG_2125	0.2222	0.1556	0.3778	0.2444
MSMEG_2128	0.6667	0	0	0.3333
MSMEG_2142	0.375	0.0417	0.4167	0.1667
MSMEG_2149	0.0882	0.1765	0.3235	0.4118
MSMEG_2157	0.2295	0.1475	0.4098	0.2131
MSMEG_2162	0.1768	0.189	0.3659	0.2683
MSMEG_2164	0.1795	0.1923	0.4103	0.2179
MSMEG_2173	0.2941	0.1765	0.4706	0.0588
MSMEG_2174	0.2283	0.1522	0.3587	0.2609
MSMEG_2179	0.6667	0	0	0.3333
MSMEG_2189	0.1975	0.1176	0.3403	0.3445
MSMEG_2191	0.24	0.08	0.4	0.28
MSMEG_2195	0.1935	0.2097	0.3226	0.2742
MSMEG_2196	0.1862	0.1655	0.3517	0.2966
MSMEG_2197	0.1468	0.1911	0.3213	0.3407
MSMEG_2198	0.1748	0.165	0.301	0.3592
MSMEG_2199	0.2083	0.1528	0.3194	0.3194
MSMEG_2201	0.1864	0.2034	0.339	0.2712
MSMEG_2202	0.3333	0.0556	0.2778	0.3333
MSMEG_2204	0.2214	0.1298	0.3282	0.3206
MSMEG_2205	0.2895	0.1842	0.2368	0.2895
MSMEG_2206	0.234	0.1277	0.4043	0.234
MSMEG_2211	0.2941	0.1176	0.3529	0.2353
MSMEG_2224	0.3684	0.2632	0.2105	0.1579
MSMEG_2225	0.1613	0.1774	0.3468	0.3145
MSMEG_2226	0.185	0.1803	0.3185	0.3162
MSMEG_2227	0.2195	0.1463	0.3902	0.2439
MSMEG_2245	0.4118	0	0.3529	0.2353
MSMEG_2259	0.3611	0.0556	0.3611	0.2222
MSMEG_2261	0.2414	0.1034	0.4138	0.2414
MSMEG_2268	0.2215	0.1477	0.3087	0.3221
MSMEG_2272	0.2759	0.069	0.3448	0.3103
MSMEG_2273	0.1667	0.0926	0.3704	0.3704
MSMEG_2280	0.1887	0.0566	0.3962	0.3585
MSMEG_2282	0.2243	0.1869	0.4206	0.1682
MSMEG_2284	0.175	0.2	0.375	0.25
MSMEG_2287	0.1818	0.0909	0.4545	0.2727
MSMEG_2288	0.1897	0.2069	0.2931	0.3103
MSMEG_2289	0.3148	0.1296	0.2407	0.3148
MSMEG_2292	0.325	0.175	0.225	0.275
MSMEG_2297	0.2039	0.1505	0.3204	0.3252
MSMEG_2303	0.1705	0.1591	0.3295	0.3409
MSMEG_2307	0.1176	0.2059	0.3382	0.3382
MSMEG_2308	0.3462	0.1154	0.2308	0.3077
MSMEG_2310	0.2698	0.1111	0.2698	0.3492
MSMEG_2313	0.2545	0.1273	0.3636	0.2545
MSMEG_2314	0	0	1.0	0
MSMEG_2317	0.2126	0.1969	0.315	0.2756
MSMEG_2331	0.1538	0.1731	0.4231	0.25
MSMEG_2332	0.3478	0.1739	0.2826	0.1957
MSMEG_2333	0.2667	0.1778	0.2	0.3556
MSMEG_2338	0.1923	0.1923	0.4231	0.1923
MSMEG_2349	0.1632	0.154	0.3172	0.3655
MSMEG_2351	0.2255	0.1667	0.3333	0.2745
MSMEG_2352	0.3056	0.1528	0.2222	0.3194
MSMEG_2357	0	0.6667	0.3333	0
MSMEG_2372	0.219	0.1667	0.3095	0.3048
MSMEG_2373	0.3	0.1333	0.3667	0.2
MSMEG_2387	0.2703	0.1982	0.2523	0.2793
MSMEG_2389	0.2051	0.2564	0.359	0.1795
MSMEG_2397	0.2195	0.122	0.439	0.2195
MSMEG_2398	0.2029	0.058	0.4058	0.3333
MSMEG_2400	0.127	0.3016	0.3175	0.254
MSMEG_2403	0.1111	0.2222	0.5556	0.1111
MSMEG_2405	0.2157	0.2157	0.3529	0.2157
MSMEG_2407	0.2368	0.1974	0.2763	0.2895
MSMEG_2409	0.2149	0.1653	0.3554	0.2645
MSMEG_2412	0.2889	0.2222	0.2667	0.2222
MSMEG_2416	0.3077	0.1923	0.2692	0.2308
MSMEG_2420	0.2174	0.1304	0.2609	0.3913
MSMEG_2425	0.2558	0.1395	0.2791	0.3256
MSMEG_2426	0.3125	0.1875	0.4375	0.0625
MSMEG_2427	0.161	0.1575	0.3904	0.2911
MSMEG_2435	0.2301	0.1504	0.3009	0.3186
MSMEG_2439	0.1923	0.1923	0.359	0.2564
MSMEG_2440	0.2295	0.1557	0.2951	0.3197
MSMEG_2442	0.1609	0.2069	0.3218	0.3103
MSMEG_2443	0.3659	0.0732	0.3049	0.2561
MSMEG_2449	0.2069	0.3103	0.2759	0.2069
MSMEG_2451	0.1614	0.1726	0.3296	0.3363
MSMEG_2453	0.3	0.15	0.35	0.2
MSMEG_2455	0.3793	0.1379	0.3103	0.1724
MSMEG_2456	0.2222	0.2222	0.2593	0.2963
MSMEG_2467	0.1351	0.1216	0.3243	0.4189
MSMEG_2469	0.2188	0.125	0.25	0.4062
MSMEG_2472	0.2121	0.2121	0.3636	0.2121
MSMEG_2475	0.3571	0.25	0.25	0.1429
MSMEG_2478	0.3103	0.2241	0.2759	0.1897
MSMEG_2486	0.2268	0.1856	0.2887	0.299
MSMEG_2487	0.4091	0.1136	0.1591	0.3182
MSMEG_2488	0.1707	0.1951	0.3902	0.2439
MSMEG_2490	0.2119	0.1788	0.2914	0.3179
MSMEG_2495	0.2045	0.1348	0.3348	0.3258
MSMEG_2497	0.25	0.1136	0.4091	0.2273
MSMEG_2506	0.2074	0.1475	0.3641	0.2811
MSMEG_2507	0.2273	0.2121	0.3333	0.2273
MSMEG_2511	0.2381	0.0635	0.4762	0.2222
MSMEG_2512	0.1854	0.1291	0.3808	0.3046
MSMEG_2517	0.1569	0.1176	0.2549	0.4706
MSMEG_2519	0.1277	0.1702	0.3475	0.3546
MSMEG_2520	0.1458	0.1562	0.2812	0.4167
MSMEG_2526	0.2125	0.15	0.275	0.3625
MSMEG_2527	0.24	0.16	0.44	0.16
MSMEG_2528	0.1967	0.1148	0.3115	0.377
MSMEG_2529	0.2917	0.0833	0.2917	0.3333
MSMEG_2531	0.16	0.14	0.34	0.36
MSMEG_2532	0.195	0.1572	0.3333	0.3145
MSMEG_2540	0.1754	0.1754	0.3684	0.2807
MSMEG_2541	0.2742	0.0968	0.371	0.2581
MSMEG_2542	0.2264	0.1887	0.3396	0.2453
MSMEG_2543	0.3099	0.1268	0.2676	0.2958
MSMEG_2545	0.3333	0.1667	0.3333	0.1667
MSMEG_2553	0.1827	0.1346	0.359	0.3237
MSMEG_2570	0.1893	0.1602	0.3252	0.3252
MSMEG_2571	0.1053	0.1053	0.4211	0.3684
MSMEG_2572	0.1804	0.1403	0.3096	0.3697
MSMEG_2574	0.1951	0.1057	0.3659	0.3333
MSMEG_2579	0.2289	0.1205	0.3253	0.3253
MSMEG_2581	0.172	0.172	0.3226	0.3333
MSMEG_2582	0.2	0.16	0.32	0.32
MSMEG_2584	1.0	0	0	0
MSMEG_2585	0	0	0.3333	0.6667
MSMEG_2594	0	0	1.0	0
MSMEG_2595	0.2391	0.163	0.3696	0.2283
MSMEG_2597	0.151	0.1611	0.3758	0.3121
MSMEG_2604	0.1586	0.1275	0.3484	0.3654
MSMEG_2611	0.2927	0.1463	0.2927	0.2683
MSMEG_2613	0.2432	0.1486	0.3649	0.2432
MSMEG_2624	0.2712	0.1525	0.3051	0.2712
MSMEG_2625	0.2083	0.1583	0.325	0.3083
MSMEG_2630	0.2553	0.0426	0.4894	0.2128
MSMEG_2635	0.2308	0.2	0.2154	0.3538
MSMEG_2639	0	0.4667	0.2	0.3333
MSMEG_2643	0.1825	0.1217	0.3384	0.3574
MSMEG_2645	0.197	0.1364	0.3636	0.303
MSMEG_2654	0.137	0.274	0.3699	0.2192
MSMEG_2655	0.1346	0.1743	0.3211	0.37
MSMEG_2656	0.2054	0.2093	0.3295	0.2558
MSMEG_2657	0.186	0.1488	0.3721	0.293
MSMEG_2659	0.2593	0.2222	0.2222	0.2963
MSMEG_2663	0.1782	0.2117	0.2704	0.3396
MSMEG_2668	0.1868	0.0989	0.3462	0.3681
MSMEG_2672	0.1481	0.1111	0.4444	0.2963
MSMEG_2673	0.2105	0.1378	0.2682	0.3835
MSMEG_2675	0.2	0.2	0.6	0
MSMEG_2679	0.2068	0.1806	0.3482	0.2644
MSMEG_2688	0.2	0.225	0.325	0.25
MSMEG_2693	0.1129	0.2419	0.371	0.2742
MSMEG_2694	0.25	0.0556	0.3056	0.3889
MSMEG_2695	0.3143	0.1143	0.2857	0.2857
MSMEG_2696	0.3191	0.1277	0.2553	0.2979
MSMEG_2720	0.1711	0.1316	0.3289	0.3684
MSMEG_2722	0.1739	0.1304	0.3478	0.3478
MSMEG_2723	0.2308	0.1648	0.2747	0.3297
MSMEG_2727	0.4	0.1667	0.2333	0.2
MSMEG_2731	0.1892	0.0811	0.4054	0.3243
MSMEG_2732	0.2647	0.0882	0.3235	0.3235
MSMEG_2736	0.5	0.25	0	0.25
MSMEG_2737	0.2414	0.1034	0.4138	0.2414
MSMEG_2739	0.1818	0.2045	0.4545	0.1591
MSMEG_2742	0.3059	0.2	0.2471	0.2471
MSMEG_2743	0.15	0.2	0.45	0.2
MSMEG_2746	0.1864	0.1017	0.4407	0.2712
MSMEG_2750	0.1304	0.1739	0.5217	0.1739
MSMEG_2751	0.1523	0.1371	0.3299	0.3807
MSMEG_2752	0.2143	0.1429	0.3571	0.2857
MSMEG_2755	0	0.3333	0.3333	0.3333
MSMEG_2756	0.26	0.1	0.36	0.28
MSMEG_2758	0.2602	0.1626	0.2764	0.3008
MSMEG_2760	0.1558	0.1299	0.2208	0.4935
MSMEG_2763	0.3462	0.0385	0.4615	0.1538
MSMEG_2768	0.2391	0.1304	0.4348	0.1957
MSMEG_2770	0.3043	0.1159	0.2899	0.2899
MSMEG_2771	0.1667	0.1875	0.3333	0.3125
MSMEG_2773	0.1724	0.1609	0.3563	0.3103
MSMEG_2774	0.2	0.24	0.36	0.2
MSMEG_2775	0.1071	0.1429	0.3929	0.3571
MSMEG_2778	0.1735	0.1429	0.3163	0.3673
MSMEG_2780	0	0	1.0	0
MSMEG_2785	0.1716	0.1368	0.3333	0.3582
MSMEG_2794	0.2857	0.2857	0.25	0.1786
MSMEG_2798	0.2727	0.0606	0.3333	0.3333
MSMEG_2799	0.2099	0.1713	0.2983	0.3204
MSMEG_2800	0.1731	0.1538	0.3077	0.3654
MSMEG_2804	0.1613	0.2258	0.4516	0.1613
MSMEG_2813	0	0	0.5	0.5
MSMEG_2820	0.2602	0.1378	0.3291	0.273
MSMEG_2822	0.2685	0.1782	0.3287	0.2245
MSMEG_2826	0.1786	0.1429	0.4286	0.25
MSMEG_2829	0.2243	0.1869	0.4206	0.1682
MSMEG_2840	0.3333	0	0.3333	0.3333
MSMEG_2843	0.1379	0.1655	0.2966	0.4
MSMEG_2881	0.4118	0.0588	0.2353	0.2941
MSMEG_2890	0.2165	0.1616	0.2957	0.3262
MSMEG_2895	0.2647	0.0588	0.4118	0.2647
MSMEG_2898	0.1667	0.1111	0.5833	0.1389
MSMEG_2899	0.3333	0.2083	0.2083	0.25
MSMEG_2900	0.2759	0.1379	0.2759	0.3103
MSMEG_2901	0.2653	0.0204	0.3469	0.3673
MSMEG_2911	0.1818	0.1364	0.2879	0.3939
MSMEG_2919	0.2097	0.1935	0.3226	0.2742
MSMEG_2931	0.1714	0.1714	0.2571	0.4
MSMEG_2932	0.1838	0.1243	0.373	0.3189
MSMEG_2934	0.2262	0.0714	0.3452	0.3571
MSMEG_2936	0.1503	0.1503	0.4335	0.2659
MSMEG_2937	0.3913	0.1739	0.3043	0.1304
MSMEG_2940	0.25	0.125	0.375	0.25
MSMEG_2941	0.1915	0.2128	0.3404	0.2553
MSMEG_2942	0.2857	0.0857	0.4	0.2286
MSMEG_2943	0.2083	0.25	0.375	0.1667
MSMEG_2947	0.2075	0.3019	0.2453	0.2453
MSMEG_2953	0.4211	0.0526	0.3158	0.2105
MSMEG_2956	0.2732	0.2131	0.2514	0.2623
MSMEG_2959	0.1111	0.2222	0.2222	0.4444
MSMEG_2960	0.194	0.1642	0.2985	0.3433
MSMEG_2961	0.3824	0.1176	0.2059	0.2941
MSMEG_2964	0.2162	0.1622	0.4054	0.2162
MSMEG_2965	0.1923	0.1538	0.4615	0.1923
MSMEG_2973	0.16	0.1143	0.3257	0.4
MSMEG_2974	0.2955	0.0227	0.3182	0.3636
MSMEG_2976	0.1897	0.1552	0.3161	0.3391
MSMEG_2982	0.2326	0.186	0.2791	0.3023
MSMEG_2989	0.2329	0.1644	0.3288	0.274
MSMEG_2994	0.2571	0.1429	0.2857	0.3143
MSMEG_3000	0.2619	0.0714	0.4048	0.2619
MSMEG_3003	0.2069	0.2414	0.1724	0.3793
MSMEG_3008	0.1852	0.1605	0.358	0.2963
MSMEG_3013	0.3158	0.2456	0.2281	0.2105
MSMEG_3015	0.1897	0.0862	0.4483	0.2759
MSMEG_3017	0	0	1.0	0
MSMEG_3019	0.175	0.225	0.375	0.225
MSMEG_3025	0.2119	0.1441	0.3305	0.3136
MSMEG_3029	0.1451	0.1161	0.3638	0.375
MSMEG_3033	0.3529	0.1176	0.1765	0.3529
MSMEG_3035	0.1896	0.1611	0.346	0.3033
MSMEG_3042	0.1589	0.1987	0.3245	0.3179
MSMEG_3045	0.1134	0.1134	0.3814	0.3918
MSMEG_3046	0.1411	0.1697	0.3538	0.3354
MSMEG_3050	0.2568	0.1757	0.3243	0.2432
MSMEG_3053	0.232	0.184	0.248	0.336
MSMEG_3055	0.2529	0.1724	0.3276	0.2471
MSMEG_3056	0.2	0.28	0.4	0.12
MSMEG_3057	0.1377	0.1648	0.3409	0.3567
MSMEG_3062	0.2	0.1455	0.3636	0.2909
MSMEG_3065	0.1481	0.1296	0.3843	0.338
MSMEG_3068	0.2778	0.1111	0.3148	0.2963
MSMEG_3072	0.2208	0.1688	0.3377	0.2727
MSMEG_3079	0.2548	0.121	0.3822	0.242
MSMEG_3080	0.1579	0.1228	0.4211	0.2982
MSMEG_3081	0.1655	0.1586	0.3414	0.3345
MSMEG_3082	0.225	0.125	0.375	0.275
MSMEG_3084	0.3939	0.1515	0.303	0.1515
MSMEG_3085	0.1859	0.1795	0.2949	0.3397
MSMEG_3086	0.1385	0.1731	0.3615	0.3269
MSMEG_3087	0.1667	0.1429	0.3333	0.3571
MSMEG_3095	0.2609	0.1413	0.2826	0.3152
MSMEG_3103	0.375	0.1667	0.3125	0.1458
MSMEG_3111	0.1936	0.1592	0.305	0.3422
MSMEG_3121	0.1892	0.1892	0.4054	0.2162
MSMEG_3122	0.25	0.1071	0.25	0.3929
MSMEG_3132	0.2102	0.1783	0.3312	0.2803
MSMEG_3138	0.2727	0.1818	0.2424	0.303
MSMEG_3140	0.2432	0.1081	0.3108	0.3378
MSMEG_3141	0.2	0.1667	0.4667	0.1667
MSMEG_3143	0.1778	0.1111	0.3778	0.3333
MSMEG_3145	0.1959	0.2371	0.3402	0.2268
MSMEG_3147	0.1545	0.1301	0.374	0.3415
MSMEG_3150	0.3704	0	0.4444	0.1852
MSMEG_3153	0.3333	0.3333	0	0.3333
MSMEG_3155	0.1862	0.1448	0.3862	0.2828
MSMEG_3159	0.2149	0.1405	0.3471	0.2975
MSMEG_3160	0.1503	0.1483	0.3707	0.3307
MSMEG_3161	0.1719	0.1433	0.3496	0.3352
MSMEG_3163	0.1859	0.1734	0.2915	0.3492
MSMEG_3165	0.2243	0.1869	0.4206	0.1682
MSMEG_3169	0.1948	0.1429	0.3463	0.316
MSMEG_3178	0	0.5	0	0.5
MSMEG_3180	0.3704	0.1481	0.2963	0.1852
MSMEG_3183	0.2128	0.2553	0.2766	0.2553
MSMEG_3186	0.1899	0.1899	0.3165	0.3038
MSMEG_3187	0.2857	0.2857	0.2857	0.1429
MSMEG_3189	0.1301	0.2195	0.3171	0.3333
MSMEG_3191	0.1892	0.1081	0.4595	0.2432
MSMEG_3194	0.2143	0.1667	0.3095	0.3095
MSMEG_3196	0.1496	0.122	0.3386	0.3898
MSMEG_3204	0.2381	0.1429	0.2619	0.3571
MSMEG_3215	0.1646	0.1646	0.3165	0.3544
MSMEG_3219	0.2653	0.0816	0.4286	0.2245
MSMEG_3225	0.1607	0.1607	0.3929	0.2857
MSMEG_3228	0.2281	0.1404	0.3684	0.2632
MSMEG_3233	0.2812	0.1562	0.3438	0.2188
MSMEG_3235	0.2295	0.1393	0.3852	0.2459
MSMEG_3236	0.2122	0.1295	0.3381	0.3201
MSMEG_3237	0.2222	0.1111	0.3131	0.3535
MSMEG_3247	0.1736	0.1653	0.3802	0.281
MSMEG_3248	0.1917	0.1409	0.3164	0.351
MSMEG_3249	0.2	0.1	0.45	0.25
MSMEG_3250	0.1875	0.0938	0.3438	0.375
MSMEG_3256	0.1592	0.1618	0.3634	0.3156
MSMEG_3259	0.1807	0.1446	0.3373	0.3373
MSMEG_3265	0.32	0.2	0.28	0.2
MSMEG_3275	0.1762	0.2095	0.3714	0.2429
MSMEG_3280	0.1683	0.1366	0.3	0.3951
MSMEG_3281	0.1875	0.25	0.3125	0.25
MSMEG_3283	0.2791	0.1163	0.3953	0.2093
MSMEG_3287	0.1556	0.0889	0.2889	0.4667
MSMEG_3292	0.2305	0.1235	0.3292	0.3169
MSMEG_3297	0.1687	0.1446	0.3855	0.3012
MSMEG_3304	0.1608	0.1462	0.3392	0.3538
MSMEG_3306	0.1691	0.2059	0.375	0.25
MSMEG_3308	0.1481	0.037	0.5185	0.2963
MSMEG_3312	0.1768	0.2374	0.3232	0.2626
MSMEG_3314	0.2	0.2667	0.3333	0.2
MSMEG_3317	0.1765	0.1765	0.2941	0.3529
MSMEG_3323	0.1818	0.25	0.3182	0.25
MSMEG_3325	0.2519	0.2061	0.2901	0.2519
MSMEG_3327	0.2293	0.1767	0.2444	0.3496
MSMEG_3332	0.1894	0.1515	0.3333	0.3258
MSMEG_3335	0	0	0	1.0
MSMEG_3336	0.2677	0.1414	0.2879	0.303
MSMEG_3337	0.2546	0.125	0.3333	0.287
MSMEG_3338	0.1688	0.2354	0.2875	0.3083
MSMEG_3341	0.1658	0.2211	0.3266	0.2864
MSMEG_3342	0.12	0.2267	0.4	0.2533
MSMEG_3344	0	0	1.0	0
MSMEG_3346	0.22	0.22	0.28	0.28
MSMEG_3352	0.2063	0.1667	0.2857	0.3413
MSMEG_3357	0.28	0.12	0.48	0.12
MSMEG_3359	0.25	0.1544	0.2353	0.3603
MSMEG_3361	0.3143	0.1143	0.2571	0.3143
MSMEG_3363	0.2593	0.1481	0.4444	0.1481
MSMEG_3365	0.1727	0.1864	0.3136	0.3273
MSMEG_3375	0.2791	0.0698	0.3023	0.3488
MSMEG_3377	0.2054	0.1717	0.3232	0.2997
MSMEG_3378	0.14	0.16	0.36	0.34
MSMEG_3380	0.2963	0.0741	0.3333	0.2963
MSMEG_3382	0.25	0.25	0.3333	0.1667
MSMEG_3383	0.1791	0.1612	0.3403	0.3194
MSMEG_3389	0.3333	0.0417	0.375	0.25
MSMEG_3395	0.232	0.1713	0.2818	0.3149
MSMEG_3407	0.0625	0.375	0.375	0.1875
MSMEG_3412	0.1667	0.2	0.3	0.3333
MSMEG_3418	0.1969	0.1417	0.3268	0.3346
MSMEG_3419	0.2927	0.0976	0.2683	0.3415
MSMEG_3421	0.2235	0.1059	0.2588	0.4118
MSMEG_3422	0.2396	0.1771	0.2812	0.3021
MSMEG_3425	0.1657	0.12	0.3771	0.3371
MSMEG_3426	0.2647	0.2941	0.2941	0.1471
MSMEG_3432	0.1935	0.2115	0.3011	0.2939
MSMEG_3435	0.2174	0.2174	0.3478	0.2174
MSMEG_3437	0.2449	0.1837	0.3469	0.2245
MSMEG_3438	0.1889	0.1429	0.3245	0.3438
MSMEG_3439	0.3673	0.2041	0.1837	0.2449
MSMEG_3440	0.2083	0.1667	0.375	0.25
MSMEG_3441	0.1939	0.1122	0.3878	0.3061
MSMEG_3443	0.2059	0.1471	0.4706	0.1765
MSMEG_3447	0.2075	0.2453	0.3962	0.1509
MSMEG_3449	0.2093	0.2093	0.314	0.2674
MSMEG_3451	0.2941	0.1765	0.2059	0.3235
