 	fprUTRlast30nt_plusStartCodon_all_StartCodon_UnpairedProb
MSMEG_1144	NA
MSMEG_1145	NA
MSMEG_1146	NA
MSMEG_1147	NA
MSMEG_1148	NA
MSMEG_1149	NA
MSMEG_1150	NA
MSMEG_1151	NA
MSMEG_1152	NA
MSMEG_1153	0.9989
MSMEG_1154	NA
MSMEG_1155	NA
MSMEG_1156	NA
MSMEG_1157	NA
MSMEG_1158	NA
MSMEG_1159	NA
MSMEG_1160	NA
MSMEG_1161	NA
MSMEG_1162	NA
MSMEG_1163	NA
MSMEG_1165	0.9855
MSMEG_1167	0.6870
MSMEG_1168	0.2652
MSMEG_1169	0.6637
MSMEG_1170	NA
MSMEG_1171	NA
MSMEG_1172	NA
MSMEG_1173	NA
MSMEG_1174	0.7055
MSMEG_1175	NA
MSMEG_1176	NA
MSMEG_1177	0.9456
MSMEG_1178	NA
MSMEG_1179	NA
MSMEG_1180	NA
MSMEG_1181	NA
MSMEG_1182	NA
MSMEG_1183	NA
MSMEG_1184	NA
MSMEG_1185	0.1846
MSMEG_1186	NA
MSMEG_1187	NA
MSMEG_1188	0.9578
MSMEG_1189	0.4903
MSMEG_1190	NA
MSMEG_1191	0.1118
MSMEG_1192	NA
MSMEG_1193	0.9522
MSMEG_1194	NA
MSMEG_1195	NA
MSMEG_1196	NA
MSMEG_1197	NA
MSMEG_1198	NA
MSMEG_1199	NA
MSMEG_1200	0.0327
MSMEG_1201	NA
MSMEG_1202	NA
MSMEG_1203	NA
MSMEG_1204	0.8155
MSMEG_1205	0.9400
MSMEG_1206	0.9593
MSMEG_1207	0.9685
MSMEG_1208	NA
MSMEG_1209	NA
MSMEG_1210	NA
MSMEG_1211	0.6647
MSMEG_1212	0.9858
MSMEG_1213	NA
MSMEG_1214	NA
MSMEG_1215	NA
MSMEG_1216	NA
MSMEG_1217	NA
MSMEG_1218	NA
MSMEG_1219	NA
MSMEG_1220	0.9999
MSMEG_1221	NA
MSMEG_1222	NA
MSMEG_1223	0.3367
MSMEG_1224	NA
MSMEG_1225	NA
MSMEG_1226	NA
MSMEG_1227	NA
MSMEG_1228	NA
MSMEG_1229	NA
MSMEG_1230	NA
MSMEG_1231	NA
MSMEG_1232	NA
MSMEG_1234	NA
MSMEG_1235	NA
MSMEG_1236	0.9446
MSMEG_1237	NA
MSMEG_1238	0.0198
MSMEG_1239	NA
MSMEG_1240	0.8911
MSMEG_1241	NA
MSMEG_1242	0.9729
MSMEG_1243	NA
MSMEG_1244	NA
MSMEG_1245	0.8567
MSMEG_1246	0.8599
MSMEG_1247	0.9893
MSMEG_1248	NA
MSMEG_1249	NA
MSMEG_1250	NA
MSMEG_1251	0.7235
MSMEG_1252	NA
MSMEG_1253	0.8742
MSMEG_1254	NA
MSMEG_1255	0.0018
MSMEG_1256	NA
MSMEG_1257	0.9541
MSMEG_1258	0.2654
MSMEG_1259	NA
MSMEG_1260	NA
MSMEG_1261	NA
MSMEG_1262	0.0737
MSMEG_1263	0.3564
MSMEG_1264	0.9985
MSMEG_1265	NA
MSMEG_1266	NA
MSMEG_1268	NA
MSMEG_1269	NA
MSMEG_1270	0.0039
MSMEG_1271	NA
MSMEG_1272	0.2983
MSMEG_1273	NA
MSMEG_1274	0.9838
MSMEG_1275	0.0238
MSMEG_1276	NA
MSMEG_1277	NA
MSMEG_1278	NA
MSMEG_1279	NA
MSMEG_1280	NA
MSMEG_1281	NA
MSMEG_1282	NA
MSMEG_1283	NA
MSMEG_1284	NA
MSMEG_1285	NA
MSMEG_1286	NA
MSMEG_1287	NA
MSMEG_1288	NA
MSMEG_1289	0.9818
MSMEG_1290	NA
MSMEG_1291	NA
MSMEG_1292	0.1421
MSMEG_1293	NA
MSMEG_1294	NA
MSMEG_1295	0.5517
MSMEG_1296	0.9971
MSMEG_1297	NA
MSMEG_1298	NA
MSMEG_1299	NA
MSMEG_1300	0.9994
MSMEG_1301	NA
MSMEG_1302	NA
MSMEG_1303	NA
MSMEG_1304	NA
MSMEG_1305	NA
MSMEG_1306	NA
MSMEG_1307	NA
MSMEG_1308	NA
MSMEG_1309	NA
MSMEG_1310	NA
MSMEG_1311	0.5539
MSMEG_1312	NA
MSMEG_1313	0.9620
MSMEG_1314	NA
MSMEG_1315	NA
MSMEG_1316	NA
MSMEG_1317	NA
MSMEG_1318	NA
MSMEG_1319	NA
MSMEG_1320	NA
MSMEG_1321	NA
MSMEG_1322	0.7304
MSMEG_1323	NA
MSMEG_1324	NA
MSMEG_1325	NA
MSMEG_1326	NA
MSMEG_1327	NA
MSMEG_1328	NA
MSMEG_1329	NA
MSMEG_1330	NA
MSMEG_1331	NA
MSMEG_1332	NA
MSMEG_1333	NA
MSMEG_1334	NA
MSMEG_1335	NA
MSMEG_1336	NA
MSMEG_1339	0.3160
MSMEG_1340	NA
MSMEG_1341	NA
MSMEG_1342	NA
MSMEG_1344	0.1157
MSMEG_1345	NA
MSMEG_1346	NA
MSMEG_1347	NA
MSMEG_1348	NA
MSMEG_1349	NA
MSMEG_1350	0.9881
MSMEG_1351	0.3427
MSMEG_1352	NA
MSMEG_1353	NA
MSMEG_1355	NA
MSMEG_1356	0.9384
MSMEG_1357	NA
MSMEG_1358	NA
MSMEG_1359	NA
MSMEG_1360	NA
MSMEG_1361	0.0248
MSMEG_1362	NA
MSMEG_1363	NA
MSMEG_1364	0.9957
MSMEG_1365	NA
MSMEG_1366	0.8530
MSMEG_1367	0.0124
MSMEG_1368	NA
MSMEG_1369	NA
MSMEG_1370	0.9440
MSMEG_1371	NA
MSMEG_1372	NA
MSMEG_1373	NA
MSMEG_1374	NA
MSMEG_1375	0.9855
MSMEG_1376	0.8730
MSMEG_1377	NA
MSMEG_1378	NA
MSMEG_1379	NA
MSMEG_1380	NA
MSMEG_1381	0.8751
MSMEG_1382	NA
MSMEG_1383	NA
MSMEG_1384	NA
MSMEG_1385	NA
MSMEG_1386	NA
MSMEG_1387	NA
MSMEG_1388	NA
MSMEG_1389	NA
MSMEG_1390	NA
MSMEG_1391	NA
MSMEG_1392	0.9318
MSMEG_1393	NA
MSMEG_1394	0.3010
MSMEG_1395	NA
MSMEG_1396	NA
MSMEG_1397	0.8109
MSMEG_1398	0.9716
MSMEG_1399	NA
MSMEG_1401	0.3537
MSMEG_1402	0.0183
MSMEG_1403	0.9766
MSMEG_1404	0.2654
MSMEG_1405	0.9541
MSMEG_1406	NA
MSMEG_1409	NA
MSMEG_1410	NA
MSMEG_1411	NA
MSMEG_1412	NA
MSMEG_1413	NA
MSMEG_1414	NA
MSMEG_1415	0.7342
MSMEG_1416	NA
MSMEG_1417	NA
MSMEG_1418	NA
MSMEG_1419	NA
MSMEG_1420	NA
MSMEG_1421	NA
MSMEG_1422	NA
MSMEG_1423	0.9958
MSMEG_1424	NA
MSMEG_1425	NA
MSMEG_1426	0.6316
MSMEG_1427	NA
MSMEG_1428	NA
MSMEG_1429	0.9950
MSMEG_1430	0.9561
MSMEG_1431	NA
MSMEG_1432	NA
MSMEG_1433	0.8641
MSMEG_1434	0.8003
MSMEG_1435	0.8875
MSMEG_1436	NA
MSMEG_1437	NA
MSMEG_1438	NA
MSMEG_1439	NA
MSMEG_1440	0.9920
MSMEG_1441	NA
MSMEG_1442	0.8011
MSMEG_1443	NA
MSMEG_1444	NA
MSMEG_1445	NA
MSMEG_1446	0.4244
MSMEG_1447	NA
MSMEG_1448	0.2194
MSMEG_1450	NA
MSMEG_1451	0.8664
MSMEG_1452	NA
MSMEG_1453	NA
MSMEG_1454	NA
MSMEG_1455	0.9870
MSMEG_1456	0.9972
MSMEG_1457	0.9930
MSMEG_1458	NA
MSMEG_1459	NA
MSMEG_1460	NA
MSMEG_1461	NA
MSMEG_1462	NA
MSMEG_1463	NA
MSMEG_1464	NA
MSMEG_1465	0.1365
MSMEG_1466	0.9376
MSMEG_1467	NA
MSMEG_1468	0.9650
MSMEG_1469	NA
MSMEG_1470	0.7035
MSMEG_1471	0.3933
MSMEG_1472	NA
MSMEG_1473	0.8697
MSMEG_1474	NA
MSMEG_1475	NA
MSMEG_1476	NA
MSMEG_1477	NA
MSMEG_1478	NA
MSMEG_1479	0.9772
MSMEG_1480	NA
MSMEG_1481	NA
MSMEG_1482	1.0000
MSMEG_1483	0.7038
MSMEG_1484	NA
MSMEG_1485	NA
MSMEG_1486	NA
MSMEG_1487	0.9870
MSMEG_1488	NA
MSMEG_1489	NA
MSMEG_1490	NA
MSMEG_1491	NA
MSMEG_1492	NA
MSMEG_1493	NA
MSMEG_1494	0.9347
MSMEG_1495	NA
MSMEG_1496	0.9736
MSMEG_1497	NA
MSMEG_1498	0.8032
MSMEG_1499	NA
MSMEG_1500	NA
MSMEG_1501	0.5521
MSMEG_1502	0.6205
MSMEG_1503	NA
MSMEG_1504	NA
MSMEG_1505	NA
MSMEG_1506	NA
MSMEG_1507	NA
MSMEG_1508	NA
MSMEG_1509	NA
MSMEG_1510	NA
MSMEG_1511	NA
MSMEG_1512	NA
MSMEG_1513	0.7804
MSMEG_1514	0.5577
MSMEG_1515	NA
MSMEG_1516	0.1134
MSMEG_1517	NA
MSMEG_1518	0.1773
MSMEG_1519	NA
MSMEG_1520	0.7478
MSMEG_1521	NA
MSMEG_1522	0.9899
MSMEG_1523	0.9872
MSMEG_1524	0.9914
MSMEG_1525	0.9825
MSMEG_1526	NA
MSMEG_1527	NA
MSMEG_1528	NA
MSMEG_1529	NA
MSMEG_1530	0.4771
MSMEG_1531	0.0145
MSMEG_1532	NA
MSMEG_1533	NA
MSMEG_1534	NA
MSMEG_1535	NA
MSMEG_1536	NA
MSMEG_1537	NA
MSMEG_1538	NA
MSMEG_1539	NA
MSMEG_1540	0.9674
MSMEG_1541	NA
MSMEG_1542	0.9510
MSMEG_1543	NA
MSMEG_1544	0.9483
MSMEG_1545	NA
MSMEG_1546	0.5050
MSMEG_1547	NA
MSMEG_1548	NA
MSMEG_1550	NA
MSMEG_1551	NA
MSMEG_1552	NA
MSMEG_1553	0.3478
MSMEG_1554	NA
MSMEG_1556	0.9555
MSMEG_1557	0.6904
MSMEG_1558	0.6184
MSMEG_1559	0.8619
MSMEG_1560	NA
MSMEG_1561	NA
MSMEG_1563	NA
MSMEG_1564	NA
MSMEG_1565	NA
MSMEG_1566	NA
MSMEG_1567	NA
MSMEG_1568	NA
MSMEG_1569	NA
MSMEG_1570	NA
MSMEG_1571	NA
MSMEG_1572	NA
MSMEG_1573	0.8917
MSMEG_1574	0.9116
MSMEG_1575	NA
MSMEG_1576	NA
MSMEG_1577	0.9914
MSMEG_1578	NA
MSMEG_1579	NA
MSMEG_1580	0.3402
MSMEG_1581	NA
MSMEG_1582	0.7514
MSMEG_1583	0.9019
MSMEG_1584	NA
MSMEG_1585	0.9920
MSMEG_1586	NA
MSMEG_1587	NA
MSMEG_1588	NA
MSMEG_1589	0.0028
MSMEG_1590	NA
MSMEG_1591	NA
MSMEG_1592	NA
MSMEG_1593	NA
MSMEG_1594	NA
MSMEG_1595	NA
MSMEG_1596	0.2623
MSMEG_1597	0.9608
MSMEG_1598	NA
MSMEG_1599	0.1547
MSMEG_1600	NA
MSMEG_1601	NA
MSMEG_1602	0.9874
MSMEG_1603	0.8963
MSMEG_1604	0.9443
MSMEG_1605	NA
MSMEG_1606	NA
MSMEG_1607	NA
MSMEG_1608	0.9599
MSMEG_1609	NA
MSMEG_1610	NA
MSMEG_1611	NA
MSMEG_1612	NA
MSMEG_1613	NA
MSMEG_1614	NA
MSMEG_1615	NA
MSMEG_1617	NA
MSMEG_1618	0.9901
MSMEG_1619	NA
MSMEG_1620	0.9003
MSMEG_1621	NA
MSMEG_1622	NA
MSMEG_1623	NA
MSMEG_1624	NA
MSMEG_1625	NA
MSMEG_1626	NA
MSMEG_1627	NA
MSMEG_1628	NA
MSMEG_1629	0.9851
MSMEG_1630	NA
MSMEG_1631	NA
MSMEG_1632	0.0003
MSMEG_1633	0.3908
MSMEG_1634	0.8923
MSMEG_1635	NA
MSMEG_1636	NA
MSMEG_1637	0.7428
MSMEG_1638	0.9863
MSMEG_1639	NA
MSMEG_1640	0.0234
MSMEG_1641	NA
MSMEG_1642	NA
MSMEG_1643	NA
MSMEG_1644	NA
MSMEG_1645	NA
MSMEG_1646	0.0619
MSMEG_1647	NA
MSMEG_1648	NA
MSMEG_1649	NA
MSMEG_1650	NA
MSMEG_1651	NA
MSMEG_1652	0.9145
MSMEG_1653	NA
MSMEG_1654	0.8526
MSMEG_1655	NA
MSMEG_1656	NA
MSMEG_1657	NA
MSMEG_1658	NA
MSMEG_1659	0.9392
MSMEG_1660	NA
MSMEG_1661	NA
MSMEG_1662	0.3272
MSMEG_1663	NA
MSMEG_1664	NA
MSMEG_1665	NA
MSMEG_1666	NA
MSMEG_1667	NA
MSMEG_1668	NA
MSMEG_1669	NA
MSMEG_1670	NA
MSMEG_1671	NA
MSMEG_1672	0.3404
MSMEG_1673	0.5086
MSMEG_1674	NA
MSMEG_1675	0.5937
MSMEG_1676	NA
MSMEG_1677	NA
MSMEG_1678	NA
MSMEG_1679	NA
MSMEG_1680	0.7240
MSMEG_1681	NA
MSMEG_1682	0.2219
MSMEG_1683	0.9910
MSMEG_1684	NA
MSMEG_1685	0.9910
MSMEG_1686	NA
MSMEG_1687	NA
MSMEG_1688	NA
MSMEG_1689	0.9121
MSMEG_1690	NA
MSMEG_1691	NA
MSMEG_1692	NA
MSMEG_1693	NA
MSMEG_1694	NA
MSMEG_1695	NA
MSMEG_1696	NA
MSMEG_1697	NA
MSMEG_1698	0.9873
MSMEG_1699	NA
MSMEG_1700	NA
MSMEG_1701	NA
MSMEG_1702	NA
MSMEG_1703	NA
MSMEG_1704	NA
MSMEG_1705	NA
MSMEG_1706	NA
MSMEG_1707	NA
MSMEG_1708	NA
MSMEG_1709	NA
MSMEG_1710	NA
MSMEG_1711	NA
MSMEG_1712	NA
MSMEG_1713	NA
MSMEG_1714	NA
MSMEG_1715	NA
MSMEG_1716	NA
MSMEG_1717	NA
MSMEG_1718	NA
MSMEG_1719	0.0000
MSMEG_1720	NA
MSMEG_1721	NA
MSMEG_1722	0.9700
MSMEG_1723	0.0419
MSMEG_1724	NA
MSMEG_1725	NA
MSMEG_1726	0.8210
MSMEG_1727	NA
MSMEG_1728	0.3461
MSMEG_1729	NA
MSMEG_1730	NA
MSMEG_1731	NA
MSMEG_1732	0.1425
MSMEG_1733	0.9992
MSMEG_1734	NA
MSMEG_1735	NA
MSMEG_1736	NA
MSMEG_1737	NA
MSMEG_1738	0.9967
MSMEG_1739	NA
MSMEG_1740	NA
MSMEG_1741	NA
MSMEG_1742	NA
MSMEG_1743	NA
MSMEG_1744	NA
MSMEG_1745	NA
MSMEG_1746	NA
MSMEG_1747	NA
MSMEG_1748	NA
MSMEG_1749	NA
MSMEG_1750	NA
MSMEG_1751	NA
MSMEG_1752	NA
MSMEG_1753	NA
MSMEG_1754	NA
MSMEG_1755	NA
MSMEG_1756	NA
MSMEG_1757	NA
MSMEG_1758	NA
MSMEG_1759	NA
MSMEG_1760	NA
MSMEG_1761	NA
MSMEG_1762	NA
MSMEG_1763	NA
MSMEG_1764	NA
MSMEG_1765	NA
MSMEG_1766	NA
MSMEG_1767	NA
MSMEG_1768	NA
MSMEG_1769	NA
MSMEG_1770	0.9829
MSMEG_1771	NA
MSMEG_1772	NA
MSMEG_1773	0.9915
MSMEG_1774	NA
MSMEG_1775	NA
MSMEG_1776	NA
MSMEG_1777	NA
MSMEG_1778	0.5066
MSMEG_1779	NA
MSMEG_1780	NA
MSMEG_1781	NA
MSMEG_1782	0.9915
MSMEG_1783	NA
MSMEG_1784	NA
MSMEG_1785	NA
MSMEG_1786	0.9089
MSMEG_1787	NA
MSMEG_1788	NA
MSMEG_1789	NA
MSMEG_1790	NA
MSMEG_1791	0.0586
MSMEG_1792	NA
MSMEG_1793	NA
MSMEG_1794	NA
MSMEG_1795	NA
MSMEG_1796	NA
MSMEG_1797	NA
MSMEG_1798	NA
MSMEG_1799	0.7110
MSMEG_1800	NA
MSMEG_1801	0.9660
MSMEG_1802	0.9782
MSMEG_1803	NA
MSMEG_1804	0.0314
MSMEG_1805	0.7669
MSMEG_1806	NA
MSMEG_1807	0.9238
MSMEG_1808	NA
MSMEG_1809	NA
MSMEG_1810	NA
MSMEG_1811	NA
MSMEG_1812	0.0919
MSMEG_1813	NA
MSMEG_1814	NA
MSMEG_1815	NA
MSMEG_1817	NA
MSMEG_1818	NA
MSMEG_1819	NA
MSMEG_1820	NA
MSMEG_1821	NA
MSMEG_1822	0.5662
MSMEG_1823	NA
MSMEG_1824	NA
MSMEG_1825	NA
MSMEG_1826	NA
MSMEG_1827	NA
MSMEG_1829	NA
MSMEG_1830	NA
MSMEG_1831	0.9856
MSMEG_1832	NA
MSMEG_1833	NA
MSMEG_1834	NA
MSMEG_1835	NA
MSMEG_1836	0.3397
MSMEG_1837	NA
MSMEG_1838	0.9714
MSMEG_1839	0.4586
MSMEG_1840	NA
MSMEG_1841	NA
MSMEG_1842	NA
MSMEG_1844	NA
MSMEG_1845	NA
MSMEG_1846	NA
MSMEG_1847	NA
MSMEG_1849	NA
MSMEG_1850	NA
MSMEG_1852	NA
MSMEG_1854	NA
MSMEG_1855	NA
MSMEG_1856	NA
MSMEG_1857	NA
MSMEG_1858	NA
MSMEG_1859	NA
MSMEG_1860	NA
MSMEG_1861	0.4215
MSMEG_1862	0.8210
MSMEG_1863	0.0275
MSMEG_1864	NA
MSMEG_1865	NA
MSMEG_1866	NA
MSMEG_1867	NA
MSMEG_1868	0.9782
MSMEG_1869	0.6969
MSMEG_1870	0.6992
MSMEG_1871	NA
MSMEG_1872	0.9484
MSMEG_1873	NA
MSMEG_1874	NA
MSMEG_1875	0.9980
MSMEG_1876	NA
MSMEG_1877	NA
MSMEG_1878	NA
MSMEG_1879	NA
MSMEG_1880	0.8002
MSMEG_1881	0.7457
MSMEG_1882	0.9937
MSMEG_1883	NA
MSMEG_1884	NA
MSMEG_1885	NA
MSMEG_1886	NA
MSMEG_1887	NA
MSMEG_1888	NA
MSMEG_1889	NA
MSMEG_1890	NA
MSMEG_1891	NA
MSMEG_1892	NA
MSMEG_1893	NA
MSMEG_1894	NA
MSMEG_1895	NA
MSMEG_1896	NA
MSMEG_1897	NA
MSMEG_1898	NA
MSMEG_1899	NA
MSMEG_1900	NA
MSMEG_1901	NA
MSMEG_1902	0.9129
MSMEG_1903	NA
MSMEG_1904	NA
MSMEG_1905	NA
MSMEG_1906	NA
MSMEG_1907	NA
MSMEG_1908	NA
MSMEG_1909	NA
MSMEG_1910	NA
MSMEG_1911	NA
MSMEG_1912	NA
MSMEG_1913	NA
MSMEG_1914	0.5325
MSMEG_1915	NA
MSMEG_1916	NA
MSMEG_1917	NA
MSMEG_1918	0.9980
MSMEG_1919	0.9633
MSMEG_1920	NA
MSMEG_1921	NA
MSMEG_1922	NA
MSMEG_1923	NA
MSMEG_1924	NA
MSMEG_1925	NA
MSMEG_1926	NA
MSMEG_1927	NA
MSMEG_1928	NA
MSMEG_1929	0.9613
MSMEG_1930	0.9626
MSMEG_1931	NA
MSMEG_1932	0.1898
MSMEG_1933	0.2094
MSMEG_1934	0.6554
MSMEG_1935	0.7759
MSMEG_1936	NA
MSMEG_1937	0.5059
MSMEG_1938	NA
MSMEG_1939	NA
MSMEG_1940	NA
MSMEG_1941	NA
MSMEG_1942	NA
MSMEG_1943	NA
MSMEG_1944	NA
MSMEG_1945	0.2031
MSMEG_1946	NA
MSMEG_1947	NA
MSMEG_1948	NA
MSMEG_1949	0.0247
MSMEG_1950	NA
MSMEG_1951	NA
MSMEG_1952	NA
MSMEG_1953	0.9937
MSMEG_1954	NA
MSMEG_1955	0.9908
MSMEG_1956	NA
MSMEG_1957	NA
MSMEG_1958	NA
MSMEG_1959	NA
MSMEG_1960	0.5978
MSMEG_1961	NA
MSMEG_1962	NA
MSMEG_1963	NA
MSMEG_1964	NA
MSMEG_1966	0.4398
MSMEG_1967	NA
MSMEG_1968	NA
MSMEG_1969	0.8726
MSMEG_1970	NA
MSMEG_1971	NA
MSMEG_1972	NA
MSMEG_1974	NA
MSMEG_1975	NA
MSMEG_1976	0.9919
MSMEG_1977	NA
MSMEG_1978	NA
MSMEG_1979	NA
MSMEG_1980	NA
MSMEG_1981	NA
MSMEG_1982	NA
MSMEG_1983	NA
MSMEG_1984	NA
MSMEG_1985	0.9897
MSMEG_1986	0.9739
MSMEG_1987	NA
MSMEG_1988	NA
MSMEG_1989	0.9928
MSMEG_1990	NA
MSMEG_1991	NA
MSMEG_1992	NA
MSMEG_1993	NA
MSMEG_1994	NA
MSMEG_1995	NA
MSMEG_1996	NA
MSMEG_1997	NA
MSMEG_1998	NA
MSMEG_1999	0.9871
MSMEG_2000	0.9565
MSMEG_2001	NA
MSMEG_2002	0.9541
MSMEG_2003	NA
MSMEG_2004	NA
MSMEG_2005	NA
MSMEG_2006	NA
MSMEG_2007	0.7937
MSMEG_2008	NA
MSMEG_2009	0.0420
MSMEG_2010	0.4575
MSMEG_2011	NA
MSMEG_2012	NA
MSMEG_2013	NA
MSMEG_2014	NA
MSMEG_2015	NA
MSMEG_2016	NA
MSMEG_2017	0.0352
MSMEG_2019	0.9924
MSMEG_2021	0.3357
MSMEG_2022	NA
MSMEG_2023	NA
MSMEG_2024	NA
MSMEG_2025	NA
MSMEG_2026	NA
MSMEG_2027	NA
MSMEG_2028	NA
MSMEG_2029	NA
MSMEG_2030	NA
MSMEG_2031	NA
MSMEG_2032	NA
MSMEG_2033	NA
MSMEG_2034	NA
MSMEG_2035	NA
MSMEG_2036	NA
MSMEG_2037	NA
MSMEG_2038	NA
MSMEG_2039	NA
MSMEG_2040	NA
MSMEG_2042	0.5782
MSMEG_2043	NA
MSMEG_2044	0.3524
MSMEG_2045	0.5497
MSMEG_2046	NA
MSMEG_2047	NA
MSMEG_2048	NA
MSMEG_2049	NA
MSMEG_2050	NA
MSMEG_2051	NA
MSMEG_2052	NA
MSMEG_2053	NA
MSMEG_2054	NA
MSMEG_2055	NA
MSMEG_2056	NA
MSMEG_2057	NA
MSMEG_2058	NA
MSMEG_2059	NA
MSMEG_2060	NA
MSMEG_2061	NA
MSMEG_2062	NA
MSMEG_2063	NA
MSMEG_2064	NA
MSMEG_2065	NA
MSMEG_2066	NA
MSMEG_2067	NA
MSMEG_2068	NA
MSMEG_2069	NA
MSMEG_2070	NA
MSMEG_2071	NA
MSMEG_2072	0.9536
MSMEG_2073	NA
MSMEG_2074	0.2986
MSMEG_2075	0.9824
MSMEG_2076	NA
MSMEG_2077	NA
MSMEG_2078	0.7889
MSMEG_2079	NA
MSMEG_2080	0.9977
MSMEG_2081	0.5389
MSMEG_2082	NA
MSMEG_2083	NA
MSMEG_2084	NA
MSMEG_2086	NA
MSMEG_2087	0.7949
MSMEG_2088	NA
MSMEG_2089	NA
MSMEG_2090	NA
MSMEG_2091	NA
MSMEG_2092	0.1397
MSMEG_2094	NA
MSMEG_2095	NA
MSMEG_2096	NA
MSMEG_2097	NA
MSMEG_2098	NA
MSMEG_2099	NA
MSMEG_2100	NA
MSMEG_2102	NA
MSMEG_2103	0.2181
MSMEG_2104	NA
MSMEG_2105	0.5981
MSMEG_2106	NA
MSMEG_2107	0.8165
MSMEG_2108	0.8138
MSMEG_2109	NA
MSMEG_2110	NA
MSMEG_2111	0.8945
MSMEG_2112	NA
MSMEG_2113	NA
MSMEG_2114	NA
MSMEG_2115	NA
MSMEG_2116	0.6650
MSMEG_2117	NA
MSMEG_2118	NA
MSMEG_2119	NA
MSMEG_2120	NA
MSMEG_2121	NA
MSMEG_2122	NA
MSMEG_2123	NA
MSMEG_2124	0.9679
MSMEG_2125	0.9999
MSMEG_2126	NA
MSMEG_2127	NA
MSMEG_2128	NA
MSMEG_2129	NA
MSMEG_2130	NA
MSMEG_2131	NA
MSMEG_2132	NA
MSMEG_2133	NA
MSMEG_2134	NA
MSMEG_2135	NA
MSMEG_2136	NA
MSMEG_2137	NA
MSMEG_2139	NA
MSMEG_2140	NA
MSMEG_2141	NA
MSMEG_2142	NA
MSMEG_2143	NA
MSMEG_2144	NA
MSMEG_2145	NA
MSMEG_2146	NA
MSMEG_2148	NA
MSMEG_2149	0.9674
MSMEG_2150	NA
MSMEG_2151	NA
MSMEG_2153	NA
MSMEG_2154	NA
MSMEG_2155	NA
MSMEG_2156	NA
MSMEG_2157	0.2428
MSMEG_2158	NA
MSMEG_2159	NA
MSMEG_2160	NA
MSMEG_2162	0.9326
MSMEG_2163	NA
MSMEG_2164	0.9992
MSMEG_2165	NA
MSMEG_2166	NA
MSMEG_2167	NA
MSMEG_2168	NA
MSMEG_2169	NA
MSMEG_2170	NA
MSMEG_2171	NA
MSMEG_2172	NA
MSMEG_2173	NA
MSMEG_2174	0.8345
MSMEG_2175	NA
MSMEG_2176	NA
MSMEG_2177	NA
MSMEG_2178	NA
MSMEG_2179	NA
MSMEG_2180	NA
MSMEG_2181	NA
MSMEG_2182	NA
MSMEG_2183	NA
MSMEG_2184	NA
MSMEG_2185	NA
MSMEG_2186	NA
MSMEG_2187	NA
MSMEG_2188	NA
MSMEG_2189	0.0806
MSMEG_2190	NA
MSMEG_2191	NA
MSMEG_2192	NA
MSMEG_2193	NA
MSMEG_2194	NA
MSMEG_2195	0.9389
MSMEG_2196	0.3170
MSMEG_2197	0.9452
MSMEG_2198	0.9613
MSMEG_2199	0.9930
MSMEG_2200	NA
MSMEG_2201	0.8744
MSMEG_2202	NA
MSMEG_2203	NA
MSMEG_2204	0.4403
MSMEG_2205	0.4393
MSMEG_2206	0.6576
MSMEG_2207	NA
MSMEG_2208	NA
MSMEG_2209	NA
MSMEG_2211	NA
MSMEG_2212	NA
MSMEG_2213	NA
MSMEG_2214	NA
MSMEG_2215	NA
MSMEG_2216	NA
MSMEG_2217	NA
MSMEG_2218	NA
MSMEG_2219	NA
MSMEG_2220	NA
MSMEG_2221	NA
MSMEG_2222	NA
MSMEG_2223	NA
MSMEG_2224	NA
MSMEG_2225	0.6252
MSMEG_2226	0.7626
MSMEG_2227	0.3535
MSMEG_2228	NA
MSMEG_2229	NA
MSMEG_2230	NA
MSMEG_2231	NA
MSMEG_2232	NA
MSMEG_2233	NA
MSMEG_2234	NA
MSMEG_2235	NA
MSMEG_2236	NA
MSMEG_2237	NA
MSMEG_2238	NA
MSMEG_2239	NA
MSMEG_2240	NA
MSMEG_2241	NA
MSMEG_2242	NA
MSMEG_2243	NA
MSMEG_2244	NA
MSMEG_2245	NA
MSMEG_2246	NA
MSMEG_2247	NA
MSMEG_2248	NA
MSMEG_2249	NA
MSMEG_2250	NA
MSMEG_2251	NA
MSMEG_2252	NA
MSMEG_2253	NA
MSMEG_2254	NA
MSMEG_2255	NA
MSMEG_2256	NA
MSMEG_2257	NA
MSMEG_2258	NA
MSMEG_2259	0.4020
MSMEG_2260	NA
MSMEG_2261	NA
MSMEG_2262	NA
MSMEG_2263	NA
MSMEG_2264	NA
MSMEG_2265	NA
MSMEG_2266	NA
MSMEG_2267	NA
MSMEG_2268	0.9562
MSMEG_2269	NA
MSMEG_2270	NA
MSMEG_2271	NA
MSMEG_2272	NA
MSMEG_2273	0.9899
MSMEG_2274	NA
MSMEG_2275	NA
MSMEG_2276	NA
MSMEG_2277	NA
MSMEG_2278	NA
MSMEG_2279	NA
MSMEG_2280	0.7270
MSMEG_2281	NA
MSMEG_2282	0.9541
MSMEG_2283	NA
MSMEG_2284	0.9111
MSMEG_2285	NA
MSMEG_2286	NA
MSMEG_2287	NA
MSMEG_2288	0.9779
MSMEG_2289	0.9726
MSMEG_2290	NA
MSMEG_2291	NA
MSMEG_2292	0.0143
MSMEG_2293	NA
MSMEG_2294	NA
MSMEG_2295	NA
MSMEG_2296	NA
