 	fprUTR_MFE_20_10nt_5pUTR	fprUTR_MFE_20_10nt_5p	fprUTR_MFE_20_10nt_mid	fprUTR_MFE_20_10nt_3p
MSMEG_1806	NA	NA	NA	NA
MSMEG_1807	-0.1667	0.0	-0.5	0.0
MSMEG_1808	NA	NA	NA	NA
MSMEG_1809	NA	NA	NA	NA
MSMEG_1810	NA	NA	NA	NA
MSMEG_1811	NA	NA	NA	NA
MSMEG_1812	-3.4333	-4.4833	-3.38	-1.925
MSMEG_1813	NA	NA	NA	NA
MSMEG_1814	NA	NA	NA	NA
MSMEG_1815	NA	NA	NA	NA
MSMEG_1817	NA	NA	NA	NA
MSMEG_1818	NA	NA	NA	NA
MSMEG_1819	NA	NA	NA	NA
MSMEG_1820	NA	NA	NA	NA
MSMEG_1821	NA	NA	NA	NA
MSMEG_1822	-4.25	-3.7	-3.675	-6.5
MSMEG_1823	NA	NA	NA	NA
MSMEG_1824	NA	NA	NA	NA
MSMEG_1825	NA	NA	NA	NA
MSMEG_1826	NA	NA	NA	NA
MSMEG_1827	NA	NA	NA	NA
MSMEG_1829	NA	NA	NA	NA
MSMEG_1830	NA	NA	NA	NA
MSMEG_1831	-2.5	-3.3	-0.9	-3.5667
MSMEG_1832	NA	NA	NA	NA
MSMEG_1833	NA	NA	NA	NA
MSMEG_1834	NA	NA	NA	NA
MSMEG_1835	NA	NA	NA	NA
MSMEG_1836	-1.525	-1.625	-1.74	-1.0333
MSMEG_1837	NA	NA	NA	NA
MSMEG_1838	NA	NA	NA	NA
MSMEG_1839	-2.2	-2.2	-2.2	-2.2
MSMEG_1840	NA	NA	NA	NA
MSMEG_1841	NA	NA	NA	NA
MSMEG_1842	NA	NA	NA	NA
MSMEG_1844	NA	NA	NA	NA
MSMEG_1845	NA	NA	NA	NA
MSMEG_1846	NA	NA	NA	NA
MSMEG_1847	NA	NA	NA	NA
MSMEG_1849	NA	NA	NA	NA
MSMEG_1850	NA	NA	NA	NA
MSMEG_1852	NA	NA	NA	NA
MSMEG_1854	NA	NA	NA	NA
MSMEG_1855	NA	NA	NA	NA
MSMEG_1856	NA	NA	NA	NA
MSMEG_1857	NA	NA	NA	NA
MSMEG_1858	NA	NA	NA	NA
MSMEG_1859	NA	NA	NA	NA
MSMEG_1860	NA	NA	NA	NA
MSMEG_1861	-1.3765	-2.8	-0.5833	-0.62
MSMEG_1862	-2.8643	-2.14	-3.72	-2.7
MSMEG_1863	-1.7333	-1.4714	-2.3	-1.2833
MSMEG_1864	NA	NA	NA	NA
MSMEG_1865	NA	NA	NA	NA
MSMEG_1866	NA	NA	NA	NA
MSMEG_1867	NA	NA	NA	NA
MSMEG_1868	NA	NA	NA	NA
MSMEG_1869	-0.6	-0.25	-1.35	-0.2
MSMEG_1870	NA	NA	NA	NA
MSMEG_1871	NA	NA	NA	NA
MSMEG_1872	NA	NA	NA	NA
MSMEG_1873	NA	NA	NA	NA
MSMEG_1874	NA	NA	NA	NA
MSMEG_1875	-2.7321	-2.41	-2.4667	-3.3556
MSMEG_1876	NA	NA	NA	NA
MSMEG_1877	NA	NA	NA	NA
MSMEG_1878	NA	NA	NA	NA
MSMEG_1879	NA	NA	NA	NA
MSMEG_1880	-2.2333	-2.65	-1.4	-1.4
MSMEG_1881	-1.925	-2.7	-2.3	0.0
MSMEG_1882	NA	NA	NA	NA
MSMEG_1883	NA	NA	NA	NA
MSMEG_1884	NA	NA	NA	NA
MSMEG_1885	NA	NA	NA	NA
MSMEG_1886	NA	NA	NA	NA
MSMEG_1887	NA	NA	NA	NA
MSMEG_1888	NA	NA	NA	NA
MSMEG_1889	NA	NA	NA	NA
MSMEG_1890	NA	NA	NA	NA
MSMEG_1891	NA	NA	NA	NA
MSMEG_1892	NA	NA	NA	NA
MSMEG_1893	NA	NA	NA	NA
MSMEG_1894	NA	NA	NA	NA
MSMEG_1895	NA	NA	NA	NA
MSMEG_1896	NA	NA	NA	NA
MSMEG_1897	NA	NA	NA	NA
MSMEG_1898	NA	NA	NA	NA
MSMEG_1899	NA	NA	NA	NA
MSMEG_1900	NA	NA	NA	NA
MSMEG_1901	NA	NA	NA	NA
MSMEG_1902	NA	NA	NA	NA
MSMEG_1903	NA	NA	NA	NA
MSMEG_1904	NA	NA	NA	NA
MSMEG_1905	NA	NA	NA	NA
MSMEG_1906	NA	NA	NA	NA
MSMEG_1907	NA	NA	NA	NA
MSMEG_1908	NA	NA	NA	NA
MSMEG_1909	NA	NA	NA	NA
MSMEG_1910	NA	NA	NA	NA
MSMEG_1911	NA	NA	NA	NA
MSMEG_1912	NA	NA	NA	NA
MSMEG_1913	NA	NA	NA	NA
MSMEG_1914	-4.0857	-2.5	-8.0	-2.55
MSMEG_1915	NA	NA	NA	NA
MSMEG_1916	NA	NA	NA	NA
MSMEG_1917	NA	NA	NA	NA
MSMEG_1918	-3.1846	-2.6556	-2.8778	-4.125
MSMEG_1919	-2.1	-0.8667	0.0	-6.05
MSMEG_1920	NA	NA	NA	NA
MSMEG_1921	NA	NA	NA	NA
MSMEG_1922	NA	NA	NA	NA
MSMEG_1923	NA	NA	NA	NA
MSMEG_1924	NA	NA	NA	NA
MSMEG_1925	NA	NA	NA	NA
MSMEG_1926	NA	NA	NA	NA
MSMEG_1927	NA	NA	NA	NA
MSMEG_1928	NA	NA	NA	NA
MSMEG_1929	-3.3184	-2.7308	-3.2692	-4.0083
MSMEG_1930	-2.29	-2.1429	-3.4	-1.1667
MSMEG_1931	NA	NA	NA	NA
MSMEG_1932	NA	NA	NA	NA
MSMEG_1933	-3.804	-3.3778	-3.975	-4.1125
MSMEG_1934	-2.8	-5.2	-0.4	-0.4
MSMEG_1935	-3.3	-5.4	-2.1	-0.3
MSMEG_1936	NA	NA	NA	NA
MSMEG_1937	-2.96	-5.05	-2.35	0.0
MSMEG_1938	NA	NA	NA	NA
MSMEG_1939	NA	NA	NA	NA
MSMEG_1940	NA	NA	NA	NA
MSMEG_1941	NA	NA	NA	NA
MSMEG_1942	NA	NA	NA	NA
MSMEG_1943	NA	NA	NA	NA
MSMEG_1944	NA	NA	NA	NA
MSMEG_1945	-2.8	-1.75	-4.9	-4.9
MSMEG_1946	NA	NA	NA	NA
MSMEG_1947	NA	NA	NA	NA
MSMEG_1948	NA	NA	NA	NA
MSMEG_1949	-3.6387	-3.0182	-3.4091	-4.6778
MSMEG_1950	NA	NA	NA	NA
MSMEG_1951	NA	NA	NA	NA
MSMEG_1952	NA	NA	NA	NA
MSMEG_1953	-2.3122	-1.9929	-3.1929	-1.7077
MSMEG_1954	NA	NA	NA	NA
MSMEG_1955	-2.8444	-3.425	-2.3	-2.5
MSMEG_1956	NA	NA	NA	NA
MSMEG_1957	NA	NA	NA	NA
MSMEG_1958	NA	NA	NA	NA
MSMEG_1959	NA	NA	NA	NA
MSMEG_1960	-3.0655	-4.36	-1.48	-3.3889
MSMEG_1961	NA	NA	NA	NA
MSMEG_1962	NA	NA	NA	NA
MSMEG_1963	NA	NA	NA	NA
MSMEG_1964	NA	NA	NA	NA
MSMEG_1966	-1.7	-2.9	-0.5	-0.5
MSMEG_1967	NA	NA	NA	NA
MSMEG_1968	NA	NA	NA	NA
MSMEG_1969	-2.175	-1.25	-6.2	0.0
MSMEG_1970	NA	NA	NA	NA
MSMEG_1971	NA	NA	NA	NA
MSMEG_1972	NA	NA	NA	NA
MSMEG_1974	NA	NA	NA	NA
MSMEG_1975	NA	NA	NA	NA
MSMEG_1976	-3.1167	-1.78	-3.425	-4.9333
MSMEG_1977	NA	NA	NA	NA
MSMEG_1978	NA	NA	NA	NA
MSMEG_1979	NA	NA	NA	NA
MSMEG_1980	NA	NA	NA	NA
MSMEG_1981	NA	NA	NA	NA
MSMEG_1982	NA	NA	NA	NA
MSMEG_1983	NA	NA	NA	NA
MSMEG_1984	NA	NA	NA	NA
MSMEG_1985	-1.9	-3.25	-0.55	0.0
MSMEG_1986	-4.6	-7.3	-1.9	-1.9
MSMEG_1987	NA	NA	NA	NA
MSMEG_1988	NA	NA	NA	NA
MSMEG_1989	-3.4607	-3.91	-3.03	-3.4375
MSMEG_1990	NA	NA	NA	NA
MSMEG_1991	NA	NA	NA	NA
MSMEG_1992	NA	NA	NA	NA
MSMEG_1993	NA	NA	NA	NA
MSMEG_1994	NA	NA	NA	NA
MSMEG_1995	NA	NA	NA	NA
MSMEG_1996	NA	NA	NA	NA
MSMEG_1997	NA	NA	NA	NA
MSMEG_1998	NA	NA	NA	NA
MSMEG_1999	-3.1	-4.95	-2.9	0.0
MSMEG_2000	-1.66	-1.1	-3.05	0.0
MSMEG_2001	NA	NA	NA	NA
MSMEG_2002	-2.7333	-3.1667	-2.95	-1.65
MSMEG_2003	NA	NA	NA	NA
MSMEG_2004	NA	NA	NA	NA
MSMEG_2005	NA	NA	NA	NA
MSMEG_2006	NA	NA	NA	NA
MSMEG_2007	-5.36	-7.85	-5.55	0.0
MSMEG_2008	NA	NA	NA	NA
MSMEG_2009	NA	NA	NA	NA
MSMEG_2010	-0.3833	-1.1	-0.0333	0.0
MSMEG_2011	NA	NA	NA	NA
MSMEG_2012	NA	NA	NA	NA
MSMEG_2013	NA	NA	NA	NA
MSMEG_2014	NA	NA	NA	NA
MSMEG_2015	NA	NA	NA	NA
MSMEG_2016	NA	NA	NA	NA
MSMEG_2017	-4.5333	-5.75	-2.1	-2.1
MSMEG_2019	-1.0	-0.8	-0.35	-2.9
MSMEG_2021	-3.6	-4.4	-2.8	-2.8
MSMEG_2022	NA	NA	NA	NA
MSMEG_2023	NA	NA	NA	NA
MSMEG_2024	NA	NA	NA	NA
MSMEG_2025	NA	NA	NA	NA
MSMEG_2026	NA	NA	NA	NA
MSMEG_2027	NA	NA	NA	NA
MSMEG_2028	NA	NA	NA	NA
MSMEG_2029	NA	NA	NA	NA
MSMEG_2030	NA	NA	NA	NA
MSMEG_2031	NA	NA	NA	NA
MSMEG_2032	NA	NA	NA	NA
MSMEG_2033	NA	NA	NA	NA
MSMEG_2034	NA	NA	NA	NA
MSMEG_2035	NA	NA	NA	NA
MSMEG_2036	NA	NA	NA	NA
MSMEG_2037	NA	NA	NA	NA
MSMEG_2038	NA	NA	NA	NA
MSMEG_2039	NA	NA	NA	NA
MSMEG_2040	NA	NA	NA	NA
MSMEG_2042	-0.6	-1.2	0.0	0.0
MSMEG_2043	NA	NA	NA	NA
MSMEG_2044	-1.3182	-2.0	-1.625	0.0
MSMEG_2045	-4.7533	-6.15	-6.06	-1.025
MSMEG_2046	NA	NA	NA	NA
MSMEG_2047	NA	NA	NA	NA
MSMEG_2048	NA	NA	NA	NA
MSMEG_2049	NA	NA	NA	NA
MSMEG_2050	NA	NA	NA	NA
MSMEG_2051	NA	NA	NA	NA
MSMEG_2052	NA	NA	NA	NA
MSMEG_2053	NA	NA	NA	NA
MSMEG_2054	NA	NA	NA	NA
MSMEG_2055	NA	NA	NA	NA
MSMEG_2056	NA	NA	NA	NA
MSMEG_2057	NA	NA	NA	NA
MSMEG_2058	NA	NA	NA	NA
MSMEG_2059	NA	NA	NA	NA
MSMEG_2060	NA	NA	NA	NA
MSMEG_2061	NA	NA	NA	NA
MSMEG_2062	NA	NA	NA	NA
MSMEG_2063	NA	NA	NA	NA
MSMEG_2064	NA	NA	NA	NA
MSMEG_2065	NA	NA	NA	NA
MSMEG_2066	NA	NA	NA	NA
MSMEG_2067	NA	NA	NA	NA
MSMEG_2068	NA	NA	NA	NA
MSMEG_2069	NA	NA	NA	NA
MSMEG_2070	NA	NA	NA	NA
MSMEG_2071	NA	NA	NA	NA
MSMEG_2072	-2.71	-4.075	-1.5	-2.4
MSMEG_2073	NA	NA	NA	NA
MSMEG_2074	-2.28	-4.1833	-1.2	-0.775
MSMEG_2075	-0.9	-0.85	-1.0	-1.0
MSMEG_2076	NA	NA	NA	NA
MSMEG_2077	NA	NA	NA	NA
MSMEG_2078	-2.5077	-1.16	-5.5	-1.2
MSMEG_2079	NA	NA	NA	NA
MSMEG_2080	-3.5269	-5.2444	-2.5667	-2.675
MSMEG_2081	-1.7625	-1.4333	-2.4333	-1.25
MSMEG_2082	NA	NA	NA	NA
MSMEG_2083	NA	NA	NA	NA
MSMEG_2084	NA	NA	NA	NA
MSMEG_2086	NA	NA	NA	NA
MSMEG_2087	-2.6857	-2.1667	-2.55	-3.6
MSMEG_2088	NA	NA	NA	NA
MSMEG_2089	NA	NA	NA	NA
MSMEG_2090	NA	NA	NA	NA
MSMEG_2091	NA	NA	NA	NA
MSMEG_2092	-3.4	-3.4	-3.4	-3.4
MSMEG_2094	NA	NA	NA	NA
MSMEG_2095	NA	NA	NA	NA
MSMEG_2096	NA	NA	NA	NA
MSMEG_2097	NA	NA	NA	NA
MSMEG_2098	NA	NA	NA	NA
MSMEG_2099	NA	NA	NA	NA
MSMEG_2100	NA	NA	NA	NA
MSMEG_2102	NA	NA	NA	NA
MSMEG_2103	-2.6692	-1.54	-3.0	-3.75
MSMEG_2104	NA	NA	NA	NA
MSMEG_2105	-0.6909	-1.625	-0.175	-0.1333
MSMEG_2106	NA	NA	NA	NA
MSMEG_2107	-3.2333	-0.3	-9.4	0.0
MSMEG_2108	-0.45	-0.9	0.0	0.0
MSMEG_2109	NA	NA	NA	NA
MSMEG_2110	NA	NA	NA	NA
MSMEG_2111	-2.1	-1.8	-1.55	-4.1
MSMEG_2112	NA	NA	NA	NA
MSMEG_2113	NA	NA	NA	NA
MSMEG_2114	NA	NA	NA	NA
MSMEG_2115	NA	NA	NA	NA
MSMEG_2116	-1.4333	-1.6	-1.35	0.0
MSMEG_2117	NA	NA	NA	NA
MSMEG_2118	NA	NA	NA	NA
MSMEG_2119	NA	NA	NA	NA
MSMEG_2120	NA	NA	NA	NA
MSMEG_2121	NA	NA	NA	NA
MSMEG_2122	NA	NA	NA	NA
MSMEG_2123	NA	NA	NA	NA
MSMEG_2124	-1.9	-2.8667	-1.4	0.0
MSMEG_2125	-0.7	-1.2	-0.2	-0.2
MSMEG_2126	NA	NA	NA	NA
MSMEG_2127	NA	NA	NA	NA
MSMEG_2128	NA	NA	NA	NA
MSMEG_2129	NA	NA	NA	NA
MSMEG_2130	NA	NA	NA	NA
MSMEG_2131	NA	NA	NA	NA
MSMEG_2132	NA	NA	NA	NA
MSMEG_2133	NA	NA	NA	NA
MSMEG_2134	NA	NA	NA	NA
MSMEG_2135	NA	NA	NA	NA
MSMEG_2136	NA	NA	NA	NA
MSMEG_2137	NA	NA	NA	NA
MSMEG_2139	NA	NA	NA	NA
MSMEG_2140	NA	NA	NA	NA
MSMEG_2141	NA	NA	NA	NA
MSMEG_2142	NA	NA	NA	NA
MSMEG_2143	NA	NA	NA	NA
MSMEG_2144	NA	NA	NA	NA
MSMEG_2145	NA	NA	NA	NA
MSMEG_2146	NA	NA	NA	NA
MSMEG_2148	NA	NA	NA	NA
MSMEG_2149	NA	NA	NA	NA
MSMEG_2150	NA	NA	NA	NA
MSMEG_2151	NA	NA	NA	NA
MSMEG_2153	NA	NA	NA	NA
MSMEG_2154	NA	NA	NA	NA
MSMEG_2155	NA	NA	NA	NA
MSMEG_2156	NA	NA	NA	NA
MSMEG_2157	-2.525	-1.4	-5.5	-1.8
MSMEG_2158	NA	NA	NA	NA
MSMEG_2159	NA	NA	NA	NA
MSMEG_2160	NA	NA	NA	NA
MSMEG_2162	-3.9714	-3.8	-4.42	-3.625
MSMEG_2163	NA	NA	NA	NA
MSMEG_2164	-1.35	-1.05	-2.0	0.0
MSMEG_2165	NA	NA	NA	NA
MSMEG_2166	NA	NA	NA	NA
MSMEG_2167	NA	NA	NA	NA
MSMEG_2168	NA	NA	NA	NA
MSMEG_2169	NA	NA	NA	NA
MSMEG_2170	NA	NA	NA	NA
MSMEG_2171	NA	NA	NA	NA
MSMEG_2172	NA	NA	NA	NA
MSMEG_2173	NA	NA	NA	NA
MSMEG_2174	-3.9714	-5.2333	-4.0333	0.0
MSMEG_2175	NA	NA	NA	NA
MSMEG_2176	NA	NA	NA	NA
MSMEG_2177	NA	NA	NA	NA
MSMEG_2178	NA	NA	NA	NA
MSMEG_2179	NA	NA	NA	NA
MSMEG_2180	NA	NA	NA	NA
MSMEG_2181	NA	NA	NA	NA
MSMEG_2182	NA	NA	NA	NA
MSMEG_2183	NA	NA	NA	NA
MSMEG_2184	NA	NA	NA	NA
MSMEG_2185	NA	NA	NA	NA
MSMEG_2186	NA	NA	NA	NA
MSMEG_2187	NA	NA	NA	NA
MSMEG_2188	NA	NA	NA	NA
MSMEG_2189	-3.4182	-4.0	-3.6	-2.5714
MSMEG_2190	NA	NA	NA	NA
MSMEG_2191	NA	NA	NA	NA
MSMEG_2192	NA	NA	NA	NA
MSMEG_2193	NA	NA	NA	NA
MSMEG_2194	NA	NA	NA	NA
MSMEG_2195	-1.225	-0.3	-2.15	-2.1
MSMEG_2196	-2.75	-2.36	-3.5	-2.4
MSMEG_2197	-3.4029	-3.9417	-2.2091	-4.0091
MSMEG_2198	-3.3375	-4.1	-3.4667	-2.0
MSMEG_2199	-1.22	-1.75	-0.2	-2.2
MSMEG_2200	NA	NA	NA	NA
MSMEG_2201	-2.35	-2.5	-4.4	0.0
MSMEG_2202	NA	NA	NA	NA
MSMEG_2203	NA	NA	NA	NA
MSMEG_2204	-2.1	-2.275	-3.3	-0.2667
MSMEG_2205	-2.5	-5.0	0.0	0.0
MSMEG_2206	-2.5	-5.5	-1.0	0.0
MSMEG_2207	NA	NA	NA	NA
MSMEG_2208	NA	NA	NA	NA
MSMEG_2209	NA	NA	NA	NA
MSMEG_2211	NA	NA	NA	NA
MSMEG_2212	NA	NA	NA	NA
MSMEG_2213	NA	NA	NA	NA
MSMEG_2214	NA	NA	NA	NA
MSMEG_2215	NA	NA	NA	NA
MSMEG_2216	NA	NA	NA	NA
MSMEG_2217	NA	NA	NA	NA
MSMEG_2218	NA	NA	NA	NA
MSMEG_2219	NA	NA	NA	NA
MSMEG_2220	NA	NA	NA	NA
MSMEG_2221	NA	NA	NA	NA
MSMEG_2222	NA	NA	NA	NA
MSMEG_2223	NA	NA	NA	NA
MSMEG_2224	NA	NA	NA	NA
MSMEG_2225	-4.03	-4.025	-4.95	-2.2
MSMEG_2226	-2.5878	-3.35	-1.4571	-2.9846
MSMEG_2227	-1.0	0.0	-2.0	-2.0
MSMEG_2228	NA	NA	NA	NA
MSMEG_2229	NA	NA	NA	NA
MSMEG_2230	NA	NA	NA	NA
MSMEG_2231	NA	NA	NA	NA
MSMEG_2232	NA	NA	NA	NA
MSMEG_2233	NA	NA	NA	NA
MSMEG_2234	NA	NA	NA	NA
MSMEG_2235	NA	NA	NA	NA
MSMEG_2236	NA	NA	NA	NA
MSMEG_2237	NA	NA	NA	NA
MSMEG_2238	NA	NA	NA	NA
MSMEG_2239	NA	NA	NA	NA
MSMEG_2240	NA	NA	NA	NA
MSMEG_2241	NA	NA	NA	NA
MSMEG_2242	NA	NA	NA	NA
MSMEG_2243	NA	NA	NA	NA
MSMEG_2244	NA	NA	NA	NA
MSMEG_2245	NA	NA	NA	NA
MSMEG_2246	NA	NA	NA	NA
MSMEG_2247	NA	NA	NA	NA
MSMEG_2248	NA	NA	NA	NA
MSMEG_2249	NA	NA	NA	NA
MSMEG_2250	NA	NA	NA	NA
MSMEG_2251	NA	NA	NA	NA
MSMEG_2252	NA	NA	NA	NA
MSMEG_2253	NA	NA	NA	NA
MSMEG_2254	NA	NA	NA	NA
MSMEG_2255	NA	NA	NA	NA
MSMEG_2256	NA	NA	NA	NA
MSMEG_2257	NA	NA	NA	NA
MSMEG_2258	NA	NA	NA	NA
MSMEG_2259	0.0	0.0	0.0	0.0
MSMEG_2260	NA	NA	NA	NA
MSMEG_2261	NA	NA	NA	NA
MSMEG_2262	NA	NA	NA	NA
MSMEG_2263	NA	NA	NA	NA
MSMEG_2264	NA	NA	NA	NA
MSMEG_2265	NA	NA	NA	NA
MSMEG_2266	NA	NA	NA	NA
MSMEG_2267	NA	NA	NA	NA
MSMEG_2268	-2.2385	-2.32	-4.0	-0.375
MSMEG_2269	NA	NA	NA	NA
MSMEG_2270	NA	NA	NA	NA
MSMEG_2271	NA	NA	NA	NA
MSMEG_2272	NA	NA	NA	NA
MSMEG_2273	-2.2667	-1.75	-3.3	-3.3
MSMEG_2274	NA	NA	NA	NA
MSMEG_2275	NA	NA	NA	NA
MSMEG_2276	NA	NA	NA	NA
MSMEG_2277	NA	NA	NA	NA
MSMEG_2278	NA	NA	NA	NA
MSMEG_2279	NA	NA	NA	NA
MSMEG_2280	-4.1667	-4.75	-3.0	-3.0
MSMEG_2281	NA	NA	NA	NA
MSMEG_2282	-2.7333	-3.1667	-2.95	-1.65
MSMEG_2283	NA	NA	NA	NA
MSMEG_2284	-3.75	-7.5	0.0	0.0
MSMEG_2285	NA	NA	NA	NA
MSMEG_2286	NA	NA	NA	NA
MSMEG_2287	NA	NA	NA	NA
MSMEG_2288	-2.71	-3.95	-3.6667	-0.1
MSMEG_2289	-1.3	-0.9	-2.1	-2.1
MSMEG_2290	NA	NA	NA	NA
MSMEG_2291	NA	NA	NA	NA
MSMEG_2292	-0.4	-0.8	0.0	0.0
MSMEG_2293	NA	NA	NA	NA
MSMEG_2294	NA	NA	NA	NA
MSMEG_2295	NA	NA	NA	NA
MSMEG_2296	NA	NA	NA	NA
MSMEG_2297	-2.8632	-3.3857	-5.1167	0.0
MSMEG_2299	NA	NA	NA	NA
MSMEG_2301	NA	NA	NA	NA
MSMEG_2302	NA	NA	NA	NA
MSMEG_2303	-3.7429	-4.1333	-5.7	-1.2
MSMEG_2304	NA	NA	NA	NA
MSMEG_2305	NA	NA	NA	NA
MSMEG_2306	NA	NA	NA	NA
MSMEG_2307	-2.66	-1.1	-5.35	-0.4
MSMEG_2308	NA	NA	NA	NA
MSMEG_2309	NA	NA	NA	NA
MSMEG_2310	-1.5	-1.6	-1.4	-0.7
MSMEG_2311	NA	NA	NA	NA
MSMEG_2312	NA	NA	NA	NA
MSMEG_2313	-2.2	-2.3	-2.0	-2.0
MSMEG_2314	NA	NA	NA	NA
MSMEG_2315	NA	NA	NA	NA
MSMEG_2317	-2.5545	-2.0	-4.675	-0.4667
MSMEG_2318	NA	NA	NA	NA
MSMEG_2319	NA	NA	NA	NA
MSMEG_2321	NA	NA	NA	NA
MSMEG_2322	NA	NA	NA	NA
MSMEG_2323	NA	NA	NA	NA
MSMEG_2324	NA	NA	NA	NA
MSMEG_2325	NA	NA	NA	NA
MSMEG_2326	NA	NA	NA	NA
MSMEG_2327	NA	NA	NA	NA
MSMEG_2328	NA	NA	NA	NA
MSMEG_2329	NA	NA	NA	NA
MSMEG_2330	NA	NA	NA	NA
MSMEG_2331	-3.9667	-5.45	-1.0	-1.0
MSMEG_2332	-0.5333	-1.6	0.0	0.0
MSMEG_2333	-1.2	0.0	-2.4	-2.4
MSMEG_2334	NA	NA	NA	NA
MSMEG_2335	NA	NA	NA	NA
MSMEG_2337	NA	NA	NA	NA
MSMEG_2338	-2.725	-2.6	-2.8667	-2.7
MSMEG_2339	NA	NA	NA	NA
MSMEG_2340	NA	NA	NA	NA
MSMEG_2341	NA	NA	NA	NA
MSMEG_2342	NA	NA	NA	NA
MSMEG_2343	NA	NA	NA	NA
MSMEG_2344	NA	NA	NA	NA
MSMEG_2346	NA	NA	NA	NA
MSMEG_2347	NA	NA	NA	NA
MSMEG_2349	-3.2366	-2.6286	-3.6714	-3.4231
MSMEG_2350	NA	NA	NA	NA
MSMEG_2351	-3.15	-2.7	-0.3	-8.1
MSMEG_2352	-1.22	-1.15	-1.9	0.0
MSMEG_2353	NA	NA	NA	NA
MSMEG_2354	NA	NA	NA	NA
MSMEG_2355	NA	NA	NA	NA
MSMEG_2356	NA	NA	NA	NA
MSMEG_2357	NA	NA	NA	NA
MSMEG_2358	NA	NA	NA	NA
MSMEG_2359	NA	NA	NA	NA
MSMEG_2360	NA	NA	NA	NA
MSMEG_2361	NA	NA	NA	NA
MSMEG_2362	NA	NA	NA	NA
MSMEG_2363	NA	NA	NA	NA
MSMEG_2364	NA	NA	NA	NA
MSMEG_2365	NA	NA	NA	NA
MSMEG_2367	NA	NA	NA	NA
MSMEG_2368	NA	NA	NA	NA
MSMEG_2369	NA	NA	NA	NA
MSMEG_2370	NA	NA	NA	NA
MSMEG_2371	NA	NA	NA	NA
MSMEG_2372	-2.0579	-3.2714	-1.4	-1.3
MSMEG_2373	NA	NA	NA	NA
MSMEG_2374	NA	NA	NA	NA
MSMEG_2375	NA	NA	NA	NA
MSMEG_2376	NA	NA	NA	NA
MSMEG_2377	NA	NA	NA	NA
MSMEG_2378	NA	NA	NA	NA
MSMEG_2379	NA	NA	NA	NA
MSMEG_2380	NA	NA	NA	NA
MSMEG_2381	NA	NA	NA	NA
MSMEG_2382	NA	NA	NA	NA
MSMEG_2383	NA	NA	NA	NA
MSMEG_2386	NA	NA	NA	NA
MSMEG_2387	-1.1667	-1.975	-0.5	-0.55
MSMEG_2388	NA	NA	NA	NA
MSMEG_2389	-4.25	-8.5	0.0	0.0
MSMEG_2390	NA	NA	NA	NA
MSMEG_2391	NA	NA	NA	NA
MSMEG_2392	NA	NA	NA	NA
MSMEG_2393	NA	NA	NA	NA
MSMEG_2394	NA	NA	NA	NA
MSMEG_2395	NA	NA	NA	NA
MSMEG_2396	NA	NA	NA	NA
MSMEG_2397	-1.3	-2.6	0.0	0.0
MSMEG_2398	-5.42	-3.9	-6.15	-7.0
MSMEG_2399	NA	NA	NA	NA
MSMEG_2400	-3.0	-4.5	-1.5	0.0
MSMEG_2401	NA	NA	NA	NA
MSMEG_2402	NA	NA	NA	NA
MSMEG_2403	NA	NA	NA	NA
MSMEG_2404	NA	NA	NA	NA
MSMEG_2405	-1.2667	-1.0	-1.8	-1.8
MSMEG_2406	NA	NA	NA	NA
MSMEG_2407	-1.9	-2.5	-1.38	-1.7667
MSMEG_2408	NA	NA	NA	NA
MSMEG_2409	-2.25	-1.2	-1.3333	-4.5667
MSMEG_2410	NA	NA	NA	NA
MSMEG_2411	NA	NA	NA	NA
MSMEG_2412	0.0	0.0	0.0	0.0
MSMEG_2413	NA	NA	NA	NA
MSMEG_2414	NA	NA	NA	NA
MSMEG_2415	NA	NA	NA	NA
MSMEG_2416	NA	NA	NA	NA
MSMEG_2417	NA	NA	NA	NA
MSMEG_2418	NA	NA	NA	NA
MSMEG_2419	NA	NA	NA	NA
MSMEG_2420	NA	NA	NA	NA
MSMEG_2421	NA	NA	NA	NA
MSMEG_2422	NA	NA	NA	NA
MSMEG_2423	NA	NA	NA	NA
MSMEG_2424	NA	NA	NA	NA
MSMEG_2425	-3.8	-7.6	0.0	0.0
MSMEG_2426	NA	NA	NA	NA
MSMEG_2427	-4.0519	-4.44	-3.9333	-3.7
MSMEG_2428	NA	NA	NA	NA
MSMEG_2429	NA	NA	NA	NA
MSMEG_2430	NA	NA	NA	NA
MSMEG_2431	NA	NA	NA	NA
MSMEG_2432	NA	NA	NA	NA
MSMEG_2433	NA	NA	NA	NA
MSMEG_2434	NA	NA	NA	NA
MSMEG_2435	-2.9111	-2.875	-2.8	-3.15
MSMEG_2436	NA	NA	NA	NA
MSMEG_2437	NA	NA	NA	NA
MSMEG_2438	NA	NA	NA	NA
MSMEG_2439	-1.7333	-0.2	-3.3333	0.0
MSMEG_2440	-2.4	-1.8	-1.875	-4.65
MSMEG_2441	NA	NA	NA	NA
MSMEG_2442	-2.7143	-4.4667	-2.15	-0.65
MSMEG_2443	-0.2333	-0.3333	-0.2	0.0
MSMEG_2444	NA	NA	NA	NA
MSMEG_2445	NA	NA	NA	NA
MSMEG_2446	NA	NA	NA	NA
MSMEG_2447	NA	NA	NA	NA
MSMEG_2448	NA	NA	NA	NA
MSMEG_2449	NA	NA	NA	NA
