 	CDS_length
MSMEG_1256	420
MSMEG_1257	702
MSMEG_1258	1323
MSMEG_1259	417
MSMEG_1260	1368
MSMEG_1261	1083
MSMEG_1262	366
MSMEG_1263	525
MSMEG_1264	399
MSMEG_1265	1539
MSMEG_1266	690
MSMEG_1268	669
MSMEG_1269	999
MSMEG_1270	294
MSMEG_1271	363
MSMEG_1272	1479
MSMEG_1273	342
MSMEG_1274	1128
MSMEG_1275	1080
MSMEG_1276	297
MSMEG_1277	198
MSMEG_1278	393
MSMEG_1279	1431
MSMEG_1280	723
MSMEG_1281	3246
MSMEG_1282	1170
MSMEG_1283	255
MSMEG_1284	390
MSMEG_1285	2397
MSMEG_1286	1761
MSMEG_1287	438
MSMEG_1288	1650
MSMEG_1289	804
MSMEG_1290	1869
MSMEG_1291	2682
MSMEG_1292	885
MSMEG_1293	1905
MSMEG_1294	507
MSMEG_1295	318
MSMEG_1296	900
MSMEG_1297	1359
MSMEG_1298	1335
MSMEG_1299	1059
MSMEG_1300	393
MSMEG_1301	261
MSMEG_1302	168
MSMEG_1303	819
MSMEG_1304	1044
MSMEG_1305	609
MSMEG_1306	1524
MSMEG_1307	303
MSMEG_1308	1704
MSMEG_1309	117
MSMEG_1310	1404
MSMEG_1311	1992
MSMEG_1312	597
MSMEG_1313	2343
MSMEG_1314	750
MSMEG_1315	915
MSMEG_1316	1617
MSMEG_1317	690
MSMEG_1318	912
MSMEG_1319	1155
MSMEG_1320	1302
MSMEG_1321	621
MSMEG_1322	1263
MSMEG_1323	288
MSMEG_1324	117
MSMEG_1325	1665
MSMEG_1326	150
MSMEG_1327	3252
MSMEG_1328	3258
MSMEG_1329	1245
MSMEG_1330	459
MSMEG_1331	708
MSMEG_1332	858
MSMEG_1333	993
MSMEG_1334	738
MSMEG_1335	462
MSMEG_1336	1236
MSMEG_1339	168
MSMEG_1340	477
MSMEG_1341	429
MSMEG_1342	510
MSMEG_1344	435
MSMEG_1345	843
MSMEG_1346	429
MSMEG_1347	708
MSMEG_1348	1230
MSMEG_1349	696
MSMEG_1350	861
MSMEG_1351	873
MSMEG_1352	918
MSMEG_1353	1422
MSMEG_1355	600
MSMEG_1356	612
MSMEG_1357	528
MSMEG_1358	561
MSMEG_1359	963
MSMEG_1360	750
MSMEG_1361	4143
MSMEG_1362	600
MSMEG_1363	906
MSMEG_1364	528
MSMEG_1365	393
MSMEG_1366	1083
MSMEG_1367	3510
MSMEG_1368	3954
MSMEG_1369	1050
MSMEG_1370	1026
MSMEG_1371	1002
MSMEG_1372	759
MSMEG_1373	1119
MSMEG_1374	1047
MSMEG_1375	843
MSMEG_1376	1248
MSMEG_1377	789
MSMEG_1378	918
MSMEG_1379	1188
MSMEG_1380	705
MSMEG_1381	417
MSMEG_1382	2904
MSMEG_1383	753
MSMEG_1384	336
MSMEG_1385	1212
MSMEG_1386	1167
MSMEG_1387	1656
MSMEG_1388	939
MSMEG_1389	738
MSMEG_1390	765
MSMEG_1391	900
MSMEG_1392	1158
MSMEG_1393	411
MSMEG_1394	378
MSMEG_1395	582
MSMEG_1396	522
MSMEG_1397	576
MSMEG_1398	375
MSMEG_1399	471
MSMEG_1401	1191
MSMEG_1402	918
MSMEG_1403	918
MSMEG_1404	1323
MSMEG_1405	702
MSMEG_1406	852
MSMEG_1409	1278
MSMEG_1410	852
MSMEG_1411	882
MSMEG_1412	1506
MSMEG_1413	1269
MSMEG_1414	888
MSMEG_1415	447
MSMEG_1416	1188
MSMEG_1417	1284
MSMEG_1418	525
MSMEG_1419	711
MSMEG_1420	603
MSMEG_1421	159
MSMEG_1422	309
MSMEG_1423	1179
MSMEG_1424	1200
MSMEG_1425	720
MSMEG_1426	1413
MSMEG_1427	1575
MSMEG_1428	1407
MSMEG_1429	1251
MSMEG_1430	636
MSMEG_1431	1296
MSMEG_1432	1587
MSMEG_1433	816
MSMEG_1434	366
MSMEG_1435	306
MSMEG_1436	579
MSMEG_1437	648
MSMEG_1438	303
MSMEG_1439	648
MSMEG_1440	282
MSMEG_1441	462
MSMEG_1442	828
MSMEG_1443	417
MSMEG_1444	234
MSMEG_1445	297
MSMEG_1446	522
MSMEG_1447	402
MSMEG_1448	1500
MSMEG_1450	141
MSMEG_1451	2352
MSMEG_1452	891
MSMEG_1453	1629
MSMEG_1454	117
MSMEG_1455	1377
MSMEG_1456	1686
MSMEG_1457	447
MSMEG_1458	720
MSMEG_1459	351
MSMEG_1460	1227
MSMEG_1461	1443
MSMEG_1462	354
MSMEG_1463	1605
MSMEG_1464	495
MSMEG_1465	369
MSMEG_1466	318
MSMEG_1467	564
MSMEG_1468	186
MSMEG_1469	399
MSMEG_1470	540
MSMEG_1471	384
MSMEG_1472	645
MSMEG_1473	186
MSMEG_1474	444
MSMEG_1475	927
MSMEG_1476	1785
MSMEG_1477	1428
MSMEG_1478	651
MSMEG_1479	912
MSMEG_1480	897
MSMEG_1481	915
MSMEG_1482	915
MSMEG_1483	1326
MSMEG_1484	546
MSMEG_1485	798
MSMEG_1486	543
MSMEG_1487	732
MSMEG_1488	1731
MSMEG_1489	681
MSMEG_1490	1023
MSMEG_1491	1014
MSMEG_1492	522
MSMEG_1493	1242
MSMEG_1494	663
MSMEG_1495	825
MSMEG_1496	873
MSMEG_1497	1188
MSMEG_1498	1521
MSMEG_1499	1506
MSMEG_1500	600
MSMEG_1501	855
MSMEG_1502	876
MSMEG_1503	714
MSMEG_1504	759
MSMEG_1505	879
MSMEG_1506	612
MSMEG_1507	1110
MSMEG_1508	1425
MSMEG_1509	597
MSMEG_1510	606
MSMEG_1511	699
MSMEG_1512	996
MSMEG_1513	852
MSMEG_1514	897
MSMEG_1515	1473
MSMEG_1516	1659
MSMEG_1517	1581
MSMEG_1518	498
MSMEG_1519	222
MSMEG_1520	114
MSMEG_1521	375
MSMEG_1522	417
MSMEG_1523	606
MSMEG_1524	1053
MSMEG_1525	600
MSMEG_1526	693
MSMEG_1527	876
MSMEG_1528	609
MSMEG_1529	663
MSMEG_1530	1080
MSMEG_1531	561
MSMEG_1532	321
MSMEG_1533	1329
MSMEG_1534	1377
MSMEG_1535	1314
MSMEG_1536	3636
MSMEG_1537	1107
MSMEG_1538	312
MSMEG_1539	297
MSMEG_1540	1383
MSMEG_1541	126
MSMEG_1542	1272
MSMEG_1543	1545
MSMEG_1544	399
MSMEG_1545	699
MSMEG_1546	429
MSMEG_1547	1713
MSMEG_1548	603
MSMEG_1550	342
MSMEG_1551	195
MSMEG_1552	1413
MSMEG_1553	1416
MSMEG_1554	777
MSMEG_1556	444
MSMEG_1557	453
MSMEG_1558	465
MSMEG_1559	1362
MSMEG_1560	309
MSMEG_1561	891
MSMEG_1563	798
MSMEG_1564	1476
MSMEG_1565	624
MSMEG_1566	1044
MSMEG_1567	852
MSMEG_1568	1839
MSMEG_1569	210
MSMEG_1570	939
MSMEG_1571	984
MSMEG_1572	1404
MSMEG_1573	1413
MSMEG_1574	1380
MSMEG_1575	1170
MSMEG_1576	1059
MSMEG_1577	468
MSMEG_1578	645
MSMEG_1579	477
MSMEG_1580	1023
MSMEG_1581	450
MSMEG_1582	303
MSMEG_1583	1623
MSMEG_1584	471
MSMEG_1585	564
MSMEG_1586	1107
MSMEG_1587	981
MSMEG_1588	336
MSMEG_1589	1044
MSMEG_1590	312
MSMEG_1591	1404
MSMEG_1592	804
MSMEG_1593	165
MSMEG_1594	798
MSMEG_1595	732
MSMEG_1596	570
MSMEG_1597	291
MSMEG_1598	807
MSMEG_1599	579
MSMEG_1600	1200
MSMEG_1601	411
MSMEG_1602	1542
MSMEG_1603	1128
MSMEG_1604	1737
MSMEG_1605	660
MSMEG_1606	1614
MSMEG_1607	420
MSMEG_1608	2364
MSMEG_1609	774
MSMEG_1610	1563
MSMEG_1611	678
MSMEG_1612	858
MSMEG_1613	792
MSMEG_1614	798
MSMEG_1615	1575
MSMEG_1617	1653
MSMEG_1618	291
MSMEG_1619	126
MSMEG_1620	708
MSMEG_1621	1062
MSMEG_1622	1578
MSMEG_1623	2037
MSMEG_1624	888
MSMEG_1625	1569
MSMEG_1626	882
MSMEG_1627	159
MSMEG_1628	852
MSMEG_1629	1170
MSMEG_1630	792
MSMEG_1631	855
MSMEG_1632	891
MSMEG_1633	3288
MSMEG_1634	600
MSMEG_1635	642
MSMEG_1636	465
MSMEG_1637	2784
MSMEG_1638	408
MSMEG_1639	366
MSMEG_1640	582
MSMEG_1641	576
MSMEG_1642	2700
MSMEG_1643	1770
MSMEG_1644	906
MSMEG_1645	1221
MSMEG_1646	1161
MSMEG_1647	852
MSMEG_1648	618
MSMEG_1649	1545
MSMEG_1650	738
MSMEG_1651	1143
MSMEG_1652	1332
MSMEG_1653	120
MSMEG_1654	2232
MSMEG_1655	840
MSMEG_1656	822
MSMEG_1657	1017
MSMEG_1658	1038
MSMEG_1659	318
MSMEG_1660	870
MSMEG_1661	1194
MSMEG_1662	1386
MSMEG_1663	519
MSMEG_1664	291
MSMEG_1665	1488
MSMEG_1666	915
MSMEG_1667	588
MSMEG_1668	522
MSMEG_1669	786
MSMEG_1670	1755
MSMEG_1671	471
MSMEG_1672	417
MSMEG_1673	387
MSMEG_1674	96
MSMEG_1675	1242
MSMEG_1676	1089
MSMEG_1677	1422
MSMEG_1678	936
MSMEG_1679	1158
MSMEG_1680	675
MSMEG_1681	444
MSMEG_1682	1266
MSMEG_1683	1452
MSMEG_1684	1296
MSMEG_1685	168
MSMEG_1686	1068
MSMEG_1687	291
MSMEG_1688	411
MSMEG_1689	723
MSMEG_1690	633
MSMEG_1691	2694
MSMEG_1692	915
MSMEG_1693	1737
MSMEG_1694	624
MSMEG_1695	1617
MSMEG_1696	477
MSMEG_1697	765
MSMEG_1698	1110
MSMEG_1699	1149
MSMEG_1700	546
MSMEG_1701	795
MSMEG_1702	1185
MSMEG_1703	1173
MSMEG_1704	1098
MSMEG_1705	1530
MSMEG_1706	1260
MSMEG_1707	660
MSMEG_1708	1005
MSMEG_1709	1026
MSMEG_1710	1074
MSMEG_1711	1509
MSMEG_1712	987
MSMEG_1713	1692
MSMEG_1714	696
MSMEG_1715	1506
MSMEG_1716	345
MSMEG_1717	1401
MSMEG_1718	540
MSMEG_1719	348
MSMEG_1720	327
MSMEG_1721	954
MSMEG_1722	672
MSMEG_1723	324
MSMEG_1724	408
MSMEG_1725	390
MSMEG_1726	1014
MSMEG_1727	240
MSMEG_1728	336
MSMEG_1729	861
MSMEG_1730	930
MSMEG_1731	1320
MSMEG_1732	1152
MSMEG_1733	900
MSMEG_1734	468
MSMEG_1735	1416
MSMEG_1736	1746
MSMEG_1737	876
MSMEG_1738	588
MSMEG_1739	789
MSMEG_1740	771
MSMEG_1741	675
MSMEG_1742	1092
MSMEG_1743	1149
MSMEG_1744	918
MSMEG_1745	615
MSMEG_1746	1371
MSMEG_1747	615
MSMEG_1748	438
MSMEG_1749	882
MSMEG_1750	279
MSMEG_1751	1029
MSMEG_1752	111
MSMEG_1753	753
MSMEG_1754	381
MSMEG_1755	369
MSMEG_1756	759
MSMEG_1757	4524
MSMEG_1758	174
MSMEG_1759	279
MSMEG_1760	816
MSMEG_1761	1317
MSMEG_1762	1584
MSMEG_1763	465
MSMEG_1764	1365
MSMEG_1765	531
MSMEG_1766	246
MSMEG_1767	390
MSMEG_1768	618
MSMEG_1769	300
MSMEG_1770	243
MSMEG_1771	669
MSMEG_1772	216
MSMEG_1773	1023
MSMEG_1774	495
MSMEG_1775	1374
MSMEG_1776	930
MSMEG_1777	306
MSMEG_1778	342
MSMEG_1779	402
MSMEG_1780	1230
MSMEG_1781	462
MSMEG_1782	888
MSMEG_1783	231
MSMEG_1784	1017
MSMEG_1785	1131
MSMEG_1786	429
MSMEG_1787	585
MSMEG_1788	255
MSMEG_1789	156
MSMEG_1790	258
MSMEG_1791	309
MSMEG_1792	351
MSMEG_1793	564
MSMEG_1794	1008
MSMEG_1795	1083
MSMEG_1796	1434
MSMEG_1797	717
MSMEG_1798	1287
MSMEG_1799	909
MSMEG_1800	132
MSMEG_1801	132
MSMEG_1802	420
MSMEG_1803	417
MSMEG_1804	753
MSMEG_1805	357
MSMEG_1806	549
MSMEG_1807	1797
MSMEG_1808	411
MSMEG_1809	888
MSMEG_1810	210
MSMEG_1811	636
MSMEG_1812	285
MSMEG_1813	1629
MSMEG_1814	213
MSMEG_1815	174
MSMEG_1817	672
MSMEG_1818	519
MSMEG_1819	1227
MSMEG_1820	480
MSMEG_1821	1170
MSMEG_1822	813
MSMEG_1823	705
MSMEG_1824	1494
MSMEG_1825	891
MSMEG_1826	897
MSMEG_1827	549
MSMEG_1829	1365
MSMEG_1830	984
MSMEG_1831	390
MSMEG_1832	465
MSMEG_1833	420
MSMEG_1834	1419
MSMEG_1835	1083
MSMEG_1836	1140
MSMEG_1837	1386
MSMEG_1838	1485
MSMEG_1839	1233
MSMEG_1840	174
MSMEG_1841	183
MSMEG_1842	624
MSMEG_1844	525
MSMEG_1845	627
MSMEG_1846	1023
MSMEG_1847	915
MSMEG_1849	1713
MSMEG_1850	1281
MSMEG_1852	993
MSMEG_1854	1206
MSMEG_1855	1023
MSMEG_1856	699
MSMEG_1857	1362
MSMEG_1858	855
MSMEG_1859	291
MSMEG_1860	189
MSMEG_1861	813
MSMEG_1862	1014
MSMEG_1863	390
MSMEG_1864	210
MSMEG_1865	1512
MSMEG_1866	834
MSMEG_1867	282
MSMEG_1868	294
MSMEG_1869	750
MSMEG_1870	3798
MSMEG_1871	279
MSMEG_1872	870
MSMEG_1873	633
MSMEG_1874	687
MSMEG_1875	1587
MSMEG_1876	1758
MSMEG_1877	654
MSMEG_1878	693
MSMEG_1879	126
MSMEG_1880	543
MSMEG_1881	2862
MSMEG_1882	1410
MSMEG_1883	1857
MSMEG_1884	498
MSMEG_1885	1152
MSMEG_1886	1257
MSMEG_1887	429
MSMEG_1888	933
MSMEG_1889	1008
MSMEG_1890	1332
MSMEG_1891	789
MSMEG_1892	1500
MSMEG_1893	807
MSMEG_1894	858
MSMEG_1895	915
MSMEG_1896	1233
MSMEG_1897	777
MSMEG_1898	798
MSMEG_1899	651
MSMEG_1900	573
MSMEG_1901	2667
MSMEG_1902	954
MSMEG_1903	2400
MSMEG_1904	1194
MSMEG_1905	1116
MSMEG_1906	2763
MSMEG_1907	516
MSMEG_1908	1365
MSMEG_1909	927
MSMEG_1910	912
MSMEG_1911	894
MSMEG_1912	285
MSMEG_1913	492
MSMEG_1914	660
MSMEG_1915	306
MSMEG_1916	75
MSMEG_1917	222
MSMEG_1918	1500
MSMEG_1919	255
MSMEG_1920	963
MSMEG_1921	390
MSMEG_1922	438
MSMEG_1923	381
MSMEG_1924	480
MSMEG_1925	1092
MSMEG_1926	612
MSMEG_1927	798
MSMEG_1928	702
MSMEG_1929	1218
MSMEG_1930	1509
MSMEG_1931	699
MSMEG_1932	825
MSMEG_1933	183
MSMEG_1934	240
MSMEG_1935	660
MSMEG_1936	1035
MSMEG_1937	1191
MSMEG_1938	855
MSMEG_1939	297
MSMEG_1940	774
MSMEG_1941	3138
MSMEG_1942	714
MSMEG_1943	3264
MSMEG_1944	390
MSMEG_1945	1095
MSMEG_1946	936
MSMEG_1947	249
MSMEG_1948	192
MSMEG_1949	144
MSMEG_1950	570
MSMEG_1951	663
MSMEG_1952	2151
MSMEG_1953	312
MSMEG_1954	1320
MSMEG_1955	840
MSMEG_1956	243
MSMEG_1957	1410
MSMEG_1958	1029
MSMEG_1959	3012
MSMEG_1960	522
MSMEG_1961	1176
MSMEG_1962	546
MSMEG_1963	3399
MSMEG_1964	1401
MSMEG_1966	411
MSMEG_1967	615
MSMEG_1968	711
MSMEG_1969	366
MSMEG_1970	1752
MSMEG_1971	1629
MSMEG_1972	1047
MSMEG_1974	345
MSMEG_1975	1044
MSMEG_1976	744
MSMEG_1977	1026
MSMEG_1978	1650
MSMEG_1979	342
MSMEG_1980	1176
MSMEG_1981	489
MSMEG_1982	1548
MSMEG_1983	1353
MSMEG_1984	891
MSMEG_1985	933
MSMEG_1986	1101
MSMEG_1987	381
MSMEG_1988	537
MSMEG_1989	999
MSMEG_1990	1074
MSMEG_1991	1155
MSMEG_1992	1167
MSMEG_1993	834
MSMEG_1994	132
MSMEG_1995	684
MSMEG_1996	864
MSMEG_1997	1761
MSMEG_1998	894
MSMEG_1999	144
MSMEG_2000	450
MSMEG_2001	663
MSMEG_2002	702
MSMEG_2003	1323
MSMEG_2004	765
MSMEG_2005	927
MSMEG_2006	924
MSMEG_2007	864
MSMEG_2008	267
MSMEG_2009	681
MSMEG_2010	318
MSMEG_2011	1005
MSMEG_2012	1320
MSMEG_2013	756
MSMEG_2014	1086
MSMEG_2015	813
MSMEG_2016	744
MSMEG_2017	405
MSMEG_2019	747
MSMEG_2021	2031
MSMEG_2022	1455
MSMEG_2023	1239
MSMEG_2024	945
MSMEG_2025	783
MSMEG_2026	831
MSMEG_2027	423
MSMEG_2028	1188
MSMEG_2029	762
MSMEG_2030	594
MSMEG_2031	183
MSMEG_2032	759
MSMEG_2033	972
MSMEG_2034	1089
MSMEG_2035	1368
MSMEG_2036	927
MSMEG_2037	990
MSMEG_2038	1587
MSMEG_2039	756
MSMEG_2040	351
MSMEG_2042	1137
MSMEG_2043	609
MSMEG_2044	1314
MSMEG_2045	1365
MSMEG_2046	675
MSMEG_2047	768
MSMEG_2048	1035
MSMEG_2049	582
MSMEG_2050	1566
MSMEG_2051	1590
MSMEG_2052	1890
MSMEG_2053	300
MSMEG_2054	759
MSMEG_2055	543
MSMEG_2056	1227
MSMEG_2057	2385
MSMEG_2058	1332
MSMEG_2059	738
MSMEG_2060	1329
MSMEG_2061	717
MSMEG_2062	555
MSMEG_2063	369
MSMEG_2064	399
MSMEG_2065	519
MSMEG_2066	402
MSMEG_2067	636
MSMEG_2068	357
MSMEG_2069	990
MSMEG_2070	1245
MSMEG_2071	612
MSMEG_2072	903
MSMEG_2073	1203
MSMEG_2074	1230
MSMEG_2075	1104
MSMEG_2076	588
MSMEG_2077	1182
MSMEG_2078	978
MSMEG_2079	999
MSMEG_2080	1221
MSMEG_2081	1329
MSMEG_2082	120
MSMEG_2083	783
MSMEG_2084	381
MSMEG_2086	1107
MSMEG_2087	981
MSMEG_2088	441
MSMEG_2089	693
MSMEG_2090	897
MSMEG_2091	486
MSMEG_2092	1104
MSMEG_2094	1410
MSMEG_2095	924
MSMEG_2096	744
MSMEG_2097	1101
MSMEG_2098	876
MSMEG_2099	966
MSMEG_2100	1332
MSMEG_2102	822
MSMEG_2103	900
MSMEG_2104	1350
MSMEG_2105	966
MSMEG_2106	633
MSMEG_2107	1461
MSMEG_2108	939
MSMEG_2109	1158
MSMEG_2110	981
MSMEG_2111	546
MSMEG_2112	585
MSMEG_2113	258
MSMEG_2114	165
MSMEG_2115	534
MSMEG_2116	1584
MSMEG_2117	471
MSMEG_2118	786
MSMEG_2119	1158
MSMEG_2120	2619
MSMEG_2121	2427
MSMEG_2122	633
MSMEG_2123	999
MSMEG_2124	768
MSMEG_2125	747
MSMEG_2126	399
MSMEG_2127	360
MSMEG_2128	648
MSMEG_2129	129
MSMEG_2130	1185
MSMEG_2131	1581
MSMEG_2132	270
MSMEG_2133	1071
MSMEG_2134	366
MSMEG_2135	399
MSMEG_2136	1635
MSMEG_2137	1269
MSMEG_2139	102
MSMEG_2140	1209
MSMEG_2141	252
MSMEG_2142	699
MSMEG_2143	441
MSMEG_2144	597
MSMEG_2145	411
MSMEG_2146	3105
MSMEG_2148	1635
MSMEG_2149	456
MSMEG_2150	855
MSMEG_2151	1362
MSMEG_2153	594
MSMEG_2154	825
MSMEG_2155	984
MSMEG_2156	936
MSMEG_2157	909
MSMEG_2158	423
MSMEG_2159	855
MSMEG_2160	156
MSMEG_2162	840
MSMEG_2163	1056
MSMEG_2164	735
MSMEG_2165	864
MSMEG_2166	1035
MSMEG_2167	1302
MSMEG_2168	198
MSMEG_2169	1509
MSMEG_2170	981
MSMEG_2171	1221
MSMEG_2172	1401
MSMEG_2173	693
MSMEG_2174	2211
MSMEG_2175	1377
MSMEG_2176	327
MSMEG_2177	1179
MSMEG_2178	198
MSMEG_2179	1305
MSMEG_2180	525
MSMEG_2181	816
MSMEG_2182	600
MSMEG_2183	984
MSMEG_2184	1542
MSMEG_2185	837
MSMEG_2186	624
MSMEG_2187	2022
MSMEG_2188	993
MSMEG_2189	1671
MSMEG_2190	1143
MSMEG_2191	1233
MSMEG_2192	402
MSMEG_2193	654
MSMEG_2194	774
MSMEG_2195	702
MSMEG_2196	1848
MSMEG_2197	828
MSMEG_2198	2172
MSMEG_2199	765
MSMEG_2200	894
MSMEG_2201	453
MSMEG_2202	1365
MSMEG_2203	897
MSMEG_2204	822
MSMEG_2205	1194
MSMEG_2206	735
MSMEG_2207	1224
MSMEG_2208	1194
MSMEG_2209	669
MSMEG_2211	840
MSMEG_2212	945
MSMEG_2213	1194
MSMEG_2214	141
MSMEG_2215	1503
MSMEG_2216	1485
MSMEG_2217	1452
MSMEG_2218	783
MSMEG_2219	807
MSMEG_2220	822
MSMEG_2221	165
MSMEG_2222	147
MSMEG_2223	870
MSMEG_2224	1185
MSMEG_2225	738
MSMEG_2226	171
MSMEG_2227	765
MSMEG_2228	798
MSMEG_2229	822
MSMEG_2230	1251
MSMEG_2231	1629
MSMEG_2232	855
MSMEG_2233	1050
MSMEG_2234	1191
MSMEG_2235	1236
MSMEG_2236	1149
MSMEG_2237	2283
MSMEG_2238	1527
MSMEG_2239	741
MSMEG_2240	1209
MSMEG_2241	1653
MSMEG_2242	1488
MSMEG_2243	606
MSMEG_2244	1017
MSMEG_2245	447
MSMEG_2246	663
MSMEG_2247	1020
MSMEG_2248	2250
MSMEG_2249	1044
MSMEG_2250	144
MSMEG_2251	351
MSMEG_2252	1485
MSMEG_2253	282
MSMEG_2254	1047
MSMEG_2255	1554
MSMEG_2256	1053
MSMEG_2257	1236
MSMEG_2258	204
MSMEG_2259	2307
MSMEG_2260	1062
MSMEG_2261	570
MSMEG_2262	972
MSMEG_2263	1215
MSMEG_2264	798
MSMEG_2265	1368
MSMEG_2266	264
MSMEG_2267	1251
MSMEG_2268	888
MSMEG_2269	1176
MSMEG_2270	822
MSMEG_2271	780
MSMEG_2272	336
MSMEG_2273	2289
MSMEG_2274	261
MSMEG_2275	1104
MSMEG_2276	1074
MSMEG_2277	1533
MSMEG_2278	1593
MSMEG_2279	768
MSMEG_2280	1731
MSMEG_2281	549
MSMEG_2282	702
MSMEG_2283	1323
MSMEG_2284	162
MSMEG_2285	816
MSMEG_2286	1062
MSMEG_2287	762
MSMEG_2288	492
MSMEG_2289	1485
MSMEG_2290	660
MSMEG_2291	864
MSMEG_2292	1536
MSMEG_2293	1185
MSMEG_2294	1071
MSMEG_2295	615
MSMEG_2296	564
MSMEG_2297	240
MSMEG_2299	2121
MSMEG_2301	420
MSMEG_2302	228
MSMEG_2303	1410
MSMEG_2304	144
MSMEG_2305	576
MSMEG_2306	852
MSMEG_2307	879
MSMEG_2308	1188
MSMEG_2309	738
MSMEG_2310	1500
MSMEG_2311	516
MSMEG_2312	150
MSMEG_2313	975
MSMEG_2314	1383
MSMEG_2315	1254
MSMEG_2317	1050
MSMEG_2318	276
MSMEG_2319	1074
MSMEG_2321	1242
MSMEG_2322	294
MSMEG_2323	1440
MSMEG_2324	147
MSMEG_2325	696
MSMEG_2326	849
MSMEG_2327	822
MSMEG_2328	708
MSMEG_2329	981
MSMEG_2330	1164
MSMEG_2331	702
MSMEG_2332	1545
MSMEG_2333	1284
MSMEG_2334	123
MSMEG_2335	744
MSMEG_2337	1026
MSMEG_2338	627
MSMEG_2339	1323
MSMEG_2340	510
MSMEG_2341	411
MSMEG_2342	1242
MSMEG_2343	1017
MSMEG_2344	1518
MSMEG_2346	948
MSMEG_2347	1554
MSMEG_2349	1545
MSMEG_2350	774
MSMEG_2351	792
MSMEG_2352	942
MSMEG_2353	744
MSMEG_2354	648
MSMEG_2355	849
MSMEG_2356	831
MSMEG_2357	1209
MSMEG_2358	1071
MSMEG_2359	1011
MSMEG_2360	1575
MSMEG_2361	417
MSMEG_2362	2106
MSMEG_2363	660
MSMEG_2364	300
MSMEG_2365	1485
MSMEG_2367	1512
MSMEG_2368	639
MSMEG_2369	1095
MSMEG_2370	843
MSMEG_2371	390
MSMEG_2372	1857
MSMEG_2373	513
MSMEG_2374	1014
MSMEG_2375	612
MSMEG_2376	462
MSMEG_2377	1425
MSMEG_2378	1587
MSMEG_2379	1023
MSMEG_2380	1236
MSMEG_2381	1194
MSMEG_2382	780
MSMEG_2383	1461
MSMEG_2386	702
MSMEG_2387	1455
MSMEG_2388	594
MSMEG_2389	627
MSMEG_2390	969
MSMEG_2391	2199
MSMEG_2392	666
MSMEG_2393	999
MSMEG_2394	1110
MSMEG_2395	1122
MSMEG_2396	588
MSMEG_2397	237
MSMEG_2398	1014
MSMEG_2399	684
MSMEG_2400	195
MSMEG_2401	630
MSMEG_2402	1665
MSMEG_2403	2262
MSMEG_2404	705
MSMEG_2405	495
MSMEG_2406	579
MSMEG_2407	852
MSMEG_2408	843
MSMEG_2409	1053
MSMEG_2410	729
MSMEG_2411	633
MSMEG_2412	3384
MSMEG_2413	510
MSMEG_2414	477
MSMEG_2415	579
MSMEG_2416	738
MSMEG_2417	612
MSMEG_2418	693
MSMEG_2419	858
MSMEG_2420	777
MSMEG_2421	420
MSMEG_2422	297
MSMEG_2423	3588
MSMEG_2424	1491
MSMEG_2425	1350
MSMEG_2426	339
MSMEG_2427	2475
MSMEG_2428	846
MSMEG_2429	1005
MSMEG_2430	1569
MSMEG_2431	1077
MSMEG_2432	828
MSMEG_2433	891
MSMEG_2434	435
MSMEG_2435	471
MSMEG_2436	231
MSMEG_2437	522
MSMEG_2438	678
MSMEG_2439	945
MSMEG_2440	342
MSMEG_2441	870
MSMEG_2442	819
MSMEG_2443	306
MSMEG_2444	711
MSMEG_2445	1455
MSMEG_2446	423
MSMEG_2447	1617
MSMEG_2448	135
MSMEG_2449	1494
MSMEG_2450	1386
MSMEG_2451	777
MSMEG_2452	210
MSMEG_2453	735
MSMEG_2454	462
MSMEG_2455	597
MSMEG_2456	999
MSMEG_2457	318
MSMEG_2458	981
MSMEG_2459	801
MSMEG_2460	849
MSMEG_2461	789
MSMEG_2462	2334
MSMEG_2463	882
MSMEG_2464	507
MSMEG_2465	1221
MSMEG_2466	1200
MSMEG_2467	2160
MSMEG_2468	1236
MSMEG_2469	2580
MSMEG_2470	810
MSMEG_2471	2430
MSMEG_2472	477
MSMEG_2474	780
MSMEG_2475	855
MSMEG_2476	432
MSMEG_2477	1068
MSMEG_2478	858
MSMEG_2479	162
MSMEG_2480	741
MSMEG_2481	1245
MSMEG_2482	369
MSMEG_2483	723
MSMEG_2484	690
MSMEG_2485	1608
MSMEG_2486	1407
MSMEG_2487	1254
MSMEG_2488	1461
MSMEG_2489	723
MSMEG_2490	630
MSMEG_2491	1173
MSMEG_2492	2859
MSMEG_2493	1200
MSMEG_2494	1167
MSMEG_2495	705
MSMEG_2496	1029
MSMEG_2497	1404
MSMEG_2498	501
MSMEG_2499	783
MSMEG_2500	1224
MSMEG_2501	867
MSMEG_2502	795
MSMEG_2503	1020
MSMEG_2504	528
MSMEG_2505	1242
MSMEG_2506	870
MSMEG_2507	777
MSMEG_2508	375
MSMEG_2509	1455
MSMEG_2511	873
MSMEG_2512	1164
MSMEG_2513	837
MSMEG_2515	903
MSMEG_2516	960
MSMEG_2517	882
MSMEG_2518	519
MSMEG_2519	876
MSMEG_2520	828
MSMEG_2521	1461
MSMEG_2522	1185
MSMEG_2523	567
MSMEG_2524	723
MSMEG_2525	1461
MSMEG_2526	1974
MSMEG_2527	105
MSMEG_2528	1125
MSMEG_2529	954
MSMEG_2530	429
