 	fpr_UTR_length
MSMEG_1239	NA
MSMEG_1240	182
MSMEG_1241	NA
MSMEG_1242	247
MSMEG_1243	NA
MSMEG_1244	NA
MSMEG_1245	65
MSMEG_1246	484
MSMEG_1247	334
MSMEG_1248	NA
MSMEG_1249	NA
MSMEG_1250	0
MSMEG_1251	40
MSMEG_1252	NA
MSMEG_1253	317
MSMEG_1254	NA
MSMEG_1255	75
MSMEG_1256	NA
MSMEG_1257	107
MSMEG_1258	356
MSMEG_1259	NA
MSMEG_1260	21
MSMEG_1261	0
MSMEG_1262	301
MSMEG_1263	243
MSMEG_1264	252
MSMEG_1265	0
MSMEG_1266	NA
MSMEG_1268	3
MSMEG_1269	NA
MSMEG_1270	71
MSMEG_1271	NA
MSMEG_1272	147
MSMEG_1273	NA
MSMEG_1274	41
MSMEG_1275	37
MSMEG_1276	NA
MSMEG_1277	0
MSMEG_1278	NA
MSMEG_1279	0
MSMEG_1280	NA
MSMEG_1281	NA
MSMEG_1282	NA
MSMEG_1283	0
MSMEG_1284	NA
MSMEG_1285	NA
MSMEG_1286	NA
MSMEG_1287	NA
MSMEG_1288	NA
MSMEG_1289	74
MSMEG_1290	NA
MSMEG_1291	NA
MSMEG_1292	39
MSMEG_1293	0
MSMEG_1294	NA
MSMEG_1295	83
MSMEG_1296	95
MSMEG_1297	NA
MSMEG_1298	NA
MSMEG_1299	NA
MSMEG_1300	47
MSMEG_1301	NA
MSMEG_1302	NA
MSMEG_1303	NA
MSMEG_1304	NA
MSMEG_1305	0
MSMEG_1306	NA
MSMEG_1307	NA
MSMEG_1308	NA
MSMEG_1309	NA
MSMEG_1310	NA
MSMEG_1311	54
MSMEG_1312	NA
MSMEG_1313	194
MSMEG_1314	29
MSMEG_1315	NA
MSMEG_1316	3
MSMEG_1317	3
MSMEG_1318	NA
MSMEG_1319	NA
MSMEG_1320	NA
MSMEG_1321	NA
MSMEG_1322	58
MSMEG_1323	NA
MSMEG_1324	NA
MSMEG_1325	NA
MSMEG_1326	NA
MSMEG_1327	NA
MSMEG_1328	NA
MSMEG_1329	NA
MSMEG_1330	NA
MSMEG_1331	0
MSMEG_1332	0
MSMEG_1333	NA
MSMEG_1334	0
MSMEG_1335	NA
MSMEG_1336	NA
MSMEG_1339	64
MSMEG_1340	NA
MSMEG_1341	NA
MSMEG_1342	NA
MSMEG_1344	62
MSMEG_1345	NA
MSMEG_1346	17
MSMEG_1347	NA
MSMEG_1348	NA
MSMEG_1349	NA
MSMEG_1350	37
MSMEG_1351	73
MSMEG_1352	NA
MSMEG_1353	0
MSMEG_1355	NA
MSMEG_1356	159
MSMEG_1357	NA
MSMEG_1358	NA
MSMEG_1359	NA
MSMEG_1360	NA
MSMEG_1361	319
MSMEG_1362	NA
MSMEG_1363	0
MSMEG_1364	240
MSMEG_1365	NA
MSMEG_1366	112
MSMEG_1367	182
MSMEG_1368	NA
MSMEG_1369	21
MSMEG_1370	50
MSMEG_1371	NA
MSMEG_1372	NA
MSMEG_1373	NA
MSMEG_1374	NA
MSMEG_1375	34
MSMEG_1376	33
MSMEG_1377	NA
MSMEG_1378	NA
MSMEG_1379	22
MSMEG_1380	0
MSMEG_1381	106
MSMEG_1382	NA
MSMEG_1383	0
MSMEG_1384	NA
MSMEG_1385	0
MSMEG_1386	NA
MSMEG_1387	0
MSMEG_1388	NA
MSMEG_1389	NA
MSMEG_1390	NA
MSMEG_1391	0
MSMEG_1392	32
MSMEG_1393	NA
MSMEG_1394	37
MSMEG_1395	NA
MSMEG_1396	NA
MSMEG_1397	112
MSMEG_1398	199
MSMEG_1399	NA
MSMEG_1401	79
MSMEG_1402	30
MSMEG_1403	43
MSMEG_1404	161
MSMEG_1405	107
MSMEG_1406	NA
MSMEG_1409	NA
MSMEG_1410	20
MSMEG_1411	NA
MSMEG_1412	NA
MSMEG_1413	NA
MSMEG_1414	0
MSMEG_1415	38
MSMEG_1416	0
MSMEG_1417	NA
MSMEG_1418	0
MSMEG_1419	1
MSMEG_1420	NA
MSMEG_1421	NA
MSMEG_1422	NA
MSMEG_1423	301
MSMEG_1424	NA
MSMEG_1425	0
MSMEG_1426	63
MSMEG_1427	NA
MSMEG_1428	NA
MSMEG_1429	36
MSMEG_1430	110
MSMEG_1431	NA
MSMEG_1432	0
MSMEG_1433	377
MSMEG_1434	180
MSMEG_1435	277
MSMEG_1436	NA
MSMEG_1437	NA
MSMEG_1438	NA
MSMEG_1439	NA
MSMEG_1440	301
MSMEG_1441	NA
MSMEG_1442	159
MSMEG_1443	NA
MSMEG_1444	NA
MSMEG_1445	NA
MSMEG_1446	304
MSMEG_1447	NA
MSMEG_1448	92
MSMEG_1450	NA
MSMEG_1451	43
MSMEG_1452	NA
MSMEG_1453	NA
MSMEG_1454	NA
MSMEG_1455	186
MSMEG_1456	112
MSMEG_1457	34
MSMEG_1458	NA
MSMEG_1459	NA
MSMEG_1460	NA
MSMEG_1461	NA
MSMEG_1462	NA
MSMEG_1463	NA
MSMEG_1464	NA
MSMEG_1465	135
MSMEG_1466	57
MSMEG_1467	NA
MSMEG_1468	65
MSMEG_1469	NA
MSMEG_1470	351
MSMEG_1471	97
MSMEG_1472	15
MSMEG_1473	58
MSMEG_1474	NA
MSMEG_1475	NA
MSMEG_1476	0
MSMEG_1477	NA
MSMEG_1478	NA
MSMEG_1479	80
MSMEG_1480	NA
MSMEG_1481	NA
MSMEG_1482	81
MSMEG_1483	126
MSMEG_1484	NA
MSMEG_1485	NA
MSMEG_1486	NA
MSMEG_1487	293
MSMEG_1488	NA
MSMEG_1489	NA
MSMEG_1490	NA
MSMEG_1491	NA
MSMEG_1492	0
MSMEG_1493	NA
MSMEG_1494	461
MSMEG_1495	NA
MSMEG_1496	89
MSMEG_1497	NA
MSMEG_1498	55
MSMEG_1499	NA
MSMEG_1500	NA
MSMEG_1501	68
MSMEG_1502	161
MSMEG_1503	NA
MSMEG_1504	NA
MSMEG_1505	NA
MSMEG_1506	NA
MSMEG_1507	NA
MSMEG_1508	NA
MSMEG_1509	NA
MSMEG_1510	NA
MSMEG_1511	NA
MSMEG_1512	0
MSMEG_1513	155
MSMEG_1514	105
MSMEG_1515	NA
MSMEG_1516	34
MSMEG_1517	NA
MSMEG_1518	95
MSMEG_1519	NA
MSMEG_1520	92
MSMEG_1521	5
MSMEG_1522	144
MSMEG_1523	400
MSMEG_1524	292
MSMEG_1525	257
MSMEG_1526	0
MSMEG_1527	NA
MSMEG_1528	NA
MSMEG_1529	0
MSMEG_1530	43
MSMEG_1531	95
MSMEG_1532	NA
MSMEG_1533	NA
MSMEG_1534	NA
MSMEG_1535	NA
MSMEG_1536	NA
MSMEG_1537	NA
MSMEG_1538	NA
MSMEG_1539	NA
MSMEG_1540	108
MSMEG_1541	NA
MSMEG_1542	79
MSMEG_1543	15
MSMEG_1544	282
MSMEG_1545	NA
MSMEG_1546	54
MSMEG_1547	NA
MSMEG_1548	NA
MSMEG_1550	NA
MSMEG_1551	NA
MSMEG_1552	NA
MSMEG_1553	65
MSMEG_1554	NA
MSMEG_1556	121
MSMEG_1557	352
MSMEG_1558	416
MSMEG_1559	430
MSMEG_1560	NA
MSMEG_1561	0
MSMEG_1563	NA
MSMEG_1564	NA
MSMEG_1565	0
MSMEG_1566	NA
MSMEG_1567	0
MSMEG_1568	NA
MSMEG_1569	NA
MSMEG_1570	NA
MSMEG_1571	NA
MSMEG_1572	NA
MSMEG_1573	30
MSMEG_1574	47
MSMEG_1575	13
MSMEG_1576	NA
MSMEG_1577	175
MSMEG_1578	NA
MSMEG_1579	NA
MSMEG_1580	335
MSMEG_1581	NA
MSMEG_1582	130
MSMEG_1583	148
MSMEG_1584	NA
MSMEG_1585	201
MSMEG_1586	NA
MSMEG_1587	NA
MSMEG_1588	NA
MSMEG_1589	489
MSMEG_1590	NA
MSMEG_1591	NA
MSMEG_1592	0
MSMEG_1593	NA
MSMEG_1594	NA
MSMEG_1595	NA
MSMEG_1596	65
MSMEG_1597	95
MSMEG_1598	NA
MSMEG_1599	116
MSMEG_1600	NA
MSMEG_1601	0
MSMEG_1602	40
MSMEG_1603	122
MSMEG_1604	102
MSMEG_1605	NA
MSMEG_1606	NA
MSMEG_1607	NA
MSMEG_1608	422
MSMEG_1609	28
MSMEG_1610	0
MSMEG_1611	NA
MSMEG_1612	NA
MSMEG_1613	NA
MSMEG_1614	NA
MSMEG_1615	NA
MSMEG_1617	NA
MSMEG_1618	132
MSMEG_1619	NA
MSMEG_1620	53
MSMEG_1621	0
MSMEG_1622	NA
MSMEG_1623	0
MSMEG_1624	NA
MSMEG_1625	NA
MSMEG_1626	NA
MSMEG_1627	NA
MSMEG_1628	NA
MSMEG_1629	30
MSMEG_1630	NA
MSMEG_1631	0
MSMEG_1632	104
MSMEG_1633	488
MSMEG_1634	78
MSMEG_1635	0
MSMEG_1636	1
MSMEG_1637	224
MSMEG_1638	134
MSMEG_1639	NA
MSMEG_1640	166
MSMEG_1641	NA
MSMEG_1642	1
MSMEG_1643	0
MSMEG_1644	0
MSMEG_1645	0
MSMEG_1646	122
MSMEG_1647	0
MSMEG_1648	0
MSMEG_1649	NA
MSMEG_1650	NA
MSMEG_1651	NA
MSMEG_1652	320
MSMEG_1653	NA
MSMEG_1654	38
MSMEG_1655	0
MSMEG_1656	0
MSMEG_1657	3
MSMEG_1658	NA
MSMEG_1659	73
MSMEG_1660	0
MSMEG_1661	19
MSMEG_1662	457
MSMEG_1663	0
MSMEG_1664	NA
MSMEG_1665	0
MSMEG_1666	0
MSMEG_1667	NA
MSMEG_1668	NA
MSMEG_1669	NA
MSMEG_1670	NA
MSMEG_1671	NA
MSMEG_1672	63
MSMEG_1673	116
MSMEG_1674	NA
MSMEG_1675	42
MSMEG_1676	NA
MSMEG_1677	NA
MSMEG_1678	NA
MSMEG_1679	NA
MSMEG_1680	367
MSMEG_1681	NA
MSMEG_1682	30
MSMEG_1683	53
MSMEG_1684	0
MSMEG_1685	226
MSMEG_1686	NA
MSMEG_1687	NA
MSMEG_1688	NA
MSMEG_1689	487
MSMEG_1690	NA
MSMEG_1691	NA
MSMEG_1692	0
MSMEG_1693	NA
MSMEG_1694	NA
MSMEG_1695	NA
MSMEG_1696	NA
MSMEG_1697	NA
MSMEG_1698	82
MSMEG_1699	NA
MSMEG_1700	NA
MSMEG_1701	0
MSMEG_1702	0
MSMEG_1703	NA
MSMEG_1704	NA
MSMEG_1705	NA
MSMEG_1706	NA
MSMEG_1707	NA
MSMEG_1708	0
MSMEG_1709	NA
MSMEG_1710	NA
MSMEG_1711	NA
MSMEG_1712	NA
MSMEG_1713	NA
MSMEG_1714	NA
MSMEG_1715	NA
MSMEG_1716	0
MSMEG_1717	5
MSMEG_1718	NA
MSMEG_1719	399
MSMEG_1720	0
MSMEG_1721	NA
MSMEG_1722	54
MSMEG_1723	110
MSMEG_1724	NA
MSMEG_1725	0
MSMEG_1726	158
MSMEG_1727	NA
MSMEG_1728	380
MSMEG_1729	8
MSMEG_1730	NA
MSMEG_1731	NA
MSMEG_1732	68
MSMEG_1733	281
MSMEG_1734	0
MSMEG_1735	0
MSMEG_1736	0
MSMEG_1737	NA
MSMEG_1738	181
MSMEG_1739	0
MSMEG_1740	0
MSMEG_1741	1
MSMEG_1742	0
MSMEG_1743	NA
MSMEG_1744	9
MSMEG_1745	0
MSMEG_1746	NA
MSMEG_1747	NA
MSMEG_1748	NA
MSMEG_1749	NA
MSMEG_1750	NA
MSMEG_1751	1
MSMEG_1752	NA
MSMEG_1753	0
MSMEG_1754	NA
MSMEG_1755	NA
MSMEG_1756	NA
MSMEG_1757	0
MSMEG_1758	NA
MSMEG_1759	NA
MSMEG_1760	NA
MSMEG_1761	NA
MSMEG_1762	NA
MSMEG_1763	NA
MSMEG_1764	NA
MSMEG_1765	NA
MSMEG_1766	NA
MSMEG_1767	NA
MSMEG_1768	NA
MSMEG_1769	NA
MSMEG_1770	56
MSMEG_1771	NA
MSMEG_1772	NA
MSMEG_1773	179
MSMEG_1774	NA
MSMEG_1775	NA
MSMEG_1776	NA
MSMEG_1777	NA
MSMEG_1778	268
MSMEG_1779	NA
MSMEG_1780	NA
MSMEG_1781	NA
MSMEG_1782	212
MSMEG_1783	NA
MSMEG_1784	NA
MSMEG_1785	NA
MSMEG_1786	134
MSMEG_1787	NA
MSMEG_1788	NA
MSMEG_1789	NA
MSMEG_1790	NA
MSMEG_1791	42
MSMEG_1792	NA
MSMEG_1793	NA
MSMEG_1794	NA
MSMEG_1795	NA
MSMEG_1796	NA
MSMEG_1797	NA
MSMEG_1798	NA
MSMEG_1799	53
MSMEG_1800	NA
MSMEG_1801	471
MSMEG_1802	54
MSMEG_1803	18
MSMEG_1804	134
MSMEG_1805	269
MSMEG_1806	NA
MSMEG_1807	46
MSMEG_1808	NA
MSMEG_1809	0
MSMEG_1810	NA
MSMEG_1811	NA
MSMEG_1812	171
MSMEG_1813	0
MSMEG_1814	NA
MSMEG_1815	NA
MSMEG_1817	0
MSMEG_1818	0
MSMEG_1819	0
MSMEG_1820	NA
MSMEG_1821	19
MSMEG_1822	125
MSMEG_1823	NA
MSMEG_1824	0
MSMEG_1825	NA
MSMEG_1826	0
MSMEG_1827	NA
MSMEG_1829	NA
MSMEG_1830	0
MSMEG_1831	134
MSMEG_1832	0
MSMEG_1833	0
MSMEG_1834	26
MSMEG_1835	NA
MSMEG_1836	137
MSMEG_1837	NA
MSMEG_1838	32
MSMEG_1839	35
MSMEG_1840	NA
MSMEG_1841	NA
MSMEG_1842	NA
MSMEG_1844	NA
MSMEG_1845	0
MSMEG_1846	NA
MSMEG_1847	NA
MSMEG_1849	NA
MSMEG_1850	NA
MSMEG_1852	0
MSMEG_1854	11
MSMEG_1855	NA
MSMEG_1856	NA
MSMEG_1857	NA
MSMEG_1858	NA
MSMEG_1859	NA
MSMEG_1860	NA
MSMEG_1861	193
MSMEG_1862	158
MSMEG_1863	228
MSMEG_1864	NA
MSMEG_1865	0
MSMEG_1866	NA
MSMEG_1867	0
MSMEG_1868	32
MSMEG_1869	76
MSMEG_1870	32
MSMEG_1871	NA
MSMEG_1872	33
MSMEG_1873	0
MSMEG_1874	NA
MSMEG_1875	301
MSMEG_1876	NA
MSMEG_1877	NA
MSMEG_1878	NA
MSMEG_1879	NA
MSMEG_1880	55
MSMEG_1881	60
MSMEG_1882	34
MSMEG_1883	3
MSMEG_1884	0
MSMEG_1885	0
MSMEG_1886	16
MSMEG_1887	26
MSMEG_1888	NA
MSMEG_1889	NA
MSMEG_1890	0
MSMEG_1891	NA
MSMEG_1892	NA
MSMEG_1893	0
MSMEG_1894	NA
MSMEG_1895	27
MSMEG_1896	NA
MSMEG_1897	NA
MSMEG_1898	NA
MSMEG_1899	NA
MSMEG_1900	0
MSMEG_1901	0
MSMEG_1902	34
MSMEG_1903	NA
MSMEG_1904	NA
MSMEG_1905	22
MSMEG_1906	NA
MSMEG_1907	NA
MSMEG_1908	NA
MSMEG_1909	NA
MSMEG_1910	NA
MSMEG_1911	NA
MSMEG_1912	NA
MSMEG_1913	0
MSMEG_1914	90
MSMEG_1915	NA
MSMEG_1916	29
MSMEG_1917	26
MSMEG_1918	282
MSMEG_1919	89
MSMEG_1920	0
MSMEG_1921	0
MSMEG_1922	0
MSMEG_1923	NA
MSMEG_1924	NA
MSMEG_1925	NA
MSMEG_1926	0
MSMEG_1927	0
MSMEG_1928	NA
MSMEG_1929	403
MSMEG_1930	223
MSMEG_1931	0
MSMEG_1932	31
MSMEG_1933	267
MSMEG_1934	45
MSMEG_1935	58
MSMEG_1936	0
MSMEG_1937	66
MSMEG_1938	0
MSMEG_1939	NA
MSMEG_1940	0
MSMEG_1941	NA
MSMEG_1942	0
MSMEG_1943	0
MSMEG_1944	0
MSMEG_1945	55
MSMEG_1946	NA
MSMEG_1947	3
MSMEG_1948	NA
MSMEG_1949	332
MSMEG_1950	NA
MSMEG_1951	NA
MSMEG_1952	NA
MSMEG_1953	433
MSMEG_1954	0
MSMEG_1955	115
MSMEG_1956	NA
MSMEG_1957	0
MSMEG_1958	NA
MSMEG_1959	NA
MSMEG_1960	314
MSMEG_1961	NA
MSMEG_1962	NA
MSMEG_1963	NA
MSMEG_1964	NA
MSMEG_1966	42
MSMEG_1967	NA
MSMEG_1968	NA
MSMEG_1969	60
MSMEG_1970	NA
MSMEG_1971	NA
MSMEG_1972	NA
MSMEG_1974	NA
MSMEG_1975	NA
MSMEG_1976	140
MSMEG_1977	NA
MSMEG_1978	NA
MSMEG_1979	NA
MSMEG_1980	NA
MSMEG_1981	27
MSMEG_1982	0
MSMEG_1983	NA
MSMEG_1984	NA
MSMEG_1985	62
MSMEG_1986	41
MSMEG_1987	NA
MSMEG_1988	NA
MSMEG_1989	303
MSMEG_1990	NA
MSMEG_1991	20
MSMEG_1992	NA
MSMEG_1993	NA
MSMEG_1994	NA
MSMEG_1995	0
MSMEG_1996	8
MSMEG_1997	NA
MSMEG_1998	NA
MSMEG_1999	77
MSMEG_2000	68
MSMEG_2001	NA
MSMEG_2002	107
MSMEG_2003	NA
MSMEG_2004	NA
MSMEG_2005	NA
MSMEG_2006	NA
MSMEG_2007	67
MSMEG_2008	NA
MSMEG_2009	32
MSMEG_2010	77
MSMEG_2011	26
MSMEG_2012	NA
MSMEG_2013	NA
MSMEG_2014	NA
MSMEG_2015	NA
MSMEG_2016	NA
MSMEG_2017	50
MSMEG_2019	83
MSMEG_2021	43
MSMEG_2022	NA
MSMEG_2023	NA
MSMEG_2024	NA
MSMEG_2025	NA
MSMEG_2026	0
MSMEG_2027	0
MSMEG_2028	NA
MSMEG_2029	21
MSMEG_2030	NA
MSMEG_2031	NA
MSMEG_2032	0
MSMEG_2033	22
MSMEG_2034	NA
MSMEG_2035	NA
MSMEG_2036	NA
MSMEG_2037	0
MSMEG_2038	0
MSMEG_2039	19
MSMEG_2040	NA
MSMEG_2042	37
MSMEG_2043	3
MSMEG_2044	132
MSMEG_2045	169
MSMEG_2046	0
MSMEG_2047	NA
MSMEG_2048	0
MSMEG_2049	19
MSMEG_2050	NA
MSMEG_2051	NA
MSMEG_2052	NA
MSMEG_2053	NA
MSMEG_2054	NA
MSMEG_2055	NA
MSMEG_2056	NA
MSMEG_2057	NA
MSMEG_2058	NA
MSMEG_2059	NA
MSMEG_2060	NA
MSMEG_2061	NA
MSMEG_2062	NA
MSMEG_2063	NA
MSMEG_2064	0
MSMEG_2065	NA
MSMEG_2066	NA
MSMEG_2067	NA
MSMEG_2068	NA
MSMEG_2069	NA
MSMEG_2070	NA
MSMEG_2071	NA
MSMEG_2072	123
MSMEG_2073	NA
MSMEG_2074	172
MSMEG_2075	55
MSMEG_2076	NA
MSMEG_2077	NA
MSMEG_2078	147
MSMEG_2079	NA
MSMEG_2080	282
MSMEG_2081	105
MSMEG_2082	NA
MSMEG_2083	0
MSMEG_2084	0
MSMEG_2086	0
MSMEG_2087	91
MSMEG_2088	NA
MSMEG_2089	0
MSMEG_2090	NA
MSMEG_2091	26
MSMEG_2092	35
MSMEG_2094	NA
MSMEG_2095	NA
MSMEG_2096	NA
MSMEG_2097	NA
MSMEG_2098	NA
MSMEG_2099	NA
MSMEG_2100	NA
MSMEG_2102	NA
MSMEG_2103	148
MSMEG_2104	NA
MSMEG_2105	131
MSMEG_2106	25
MSMEG_2107	46
MSMEG_2108	42
MSMEG_2109	NA
MSMEG_2110	NA
MSMEG_2111	85
MSMEG_2112	NA
MSMEG_2113	NA
MSMEG_2114	NA
MSMEG_2115	NA
MSMEG_2116	48
MSMEG_2117	20
MSMEG_2118	NA
MSMEG_2119	NA
MSMEG_2120	NA
MSMEG_2121	NA
MSMEG_2122	NA
MSMEG_2123	NA
MSMEG_2124	79
MSMEG_2125	45
MSMEG_2126	NA
MSMEG_2127	0
MSMEG_2128	3
MSMEG_2129	NA
MSMEG_2130	NA
MSMEG_2131	NA
MSMEG_2132	0
MSMEG_2133	NA
MSMEG_2134	NA
MSMEG_2135	NA
MSMEG_2136	0
MSMEG_2137	0
MSMEG_2139	NA
MSMEG_2140	0
MSMEG_2141	NA
MSMEG_2142	24
MSMEG_2143	NA
MSMEG_2144	0
MSMEG_2145	NA
MSMEG_2146	NA
MSMEG_2148	NA
MSMEG_2149	34
MSMEG_2150	NA
MSMEG_2151	NA
MSMEG_2153	0
MSMEG_2154	NA
MSMEG_2155	NA
MSMEG_2156	NA
MSMEG_2157	61
MSMEG_2158	NA
MSMEG_2159	NA
MSMEG_2160	NA
MSMEG_2162	164
MSMEG_2163	NA
MSMEG_2164	78
MSMEG_2165	NA
MSMEG_2166	NA
MSMEG_2167	NA
MSMEG_2168	NA
MSMEG_2169	NA
MSMEG_2170	NA
MSMEG_2171	NA
MSMEG_2172	NA
MSMEG_2173	17
MSMEG_2174	92
MSMEG_2175	NA
MSMEG_2176	0
MSMEG_2177	NA
MSMEG_2178	NA
MSMEG_2179	3
MSMEG_2180	NA
MSMEG_2181	NA
MSMEG_2182	0
MSMEG_2183	NA
MSMEG_2184	NA
MSMEG_2185	NA
MSMEG_2186	NA
MSMEG_2187	NA
MSMEG_2188	0
MSMEG_2189	238
MSMEG_2190	NA
MSMEG_2191	25
MSMEG_2192	0
MSMEG_2193	NA
MSMEG_2194	NA
MSMEG_2195	62
MSMEG_2196	145
MSMEG_2197	361
MSMEG_2198	103
MSMEG_2199	72
MSMEG_2200	0
MSMEG_2201	59
MSMEG_2202	18
MSMEG_2203	NA
MSMEG_2204	131
MSMEG_2205	38
MSMEG_2206	47
MSMEG_2207	NA
MSMEG_2208	NA
MSMEG_2209	NA
MSMEG_2211	17
MSMEG_2212	NA
MSMEG_2213	NA
MSMEG_2214	NA
MSMEG_2215	NA
MSMEG_2216	NA
MSMEG_2217	NA
MSMEG_2218	NA
MSMEG_2219	NA
MSMEG_2220	NA
MSMEG_2221	NA
MSMEG_2222	NA
MSMEG_2223	NA
MSMEG_2224	19
MSMEG_2225	124
MSMEG_2226	427
MSMEG_2227	41
MSMEG_2228	NA
MSMEG_2229	NA
MSMEG_2230	NA
MSMEG_2231	NA
MSMEG_2232	NA
MSMEG_2233	NA
MSMEG_2234	NA
MSMEG_2235	NA
MSMEG_2236	NA
MSMEG_2237	NA
MSMEG_2238	NA
MSMEG_2239	NA
MSMEG_2240	NA
MSMEG_2241	NA
MSMEG_2242	NA
MSMEG_2243	NA
MSMEG_2244	NA
MSMEG_2245	17
MSMEG_2246	0
MSMEG_2247	NA
MSMEG_2248	0
MSMEG_2249	NA
MSMEG_2250	NA
MSMEG_2251	NA
MSMEG_2252	NA
MSMEG_2253	NA
MSMEG_2254	NA
MSMEG_2255	NA
MSMEG_2256	NA
MSMEG_2257	NA
MSMEG_2258	NA
MSMEG_2259	36
MSMEG_2260	NA
MSMEG_2261	29
MSMEG_2262	NA
MSMEG_2263	NA
MSMEG_2264	NA
MSMEG_2265	NA
MSMEG_2266	NA
MSMEG_2267	NA
MSMEG_2268	149
MSMEG_2269	NA
MSMEG_2270	NA
MSMEG_2271	NA
MSMEG_2272	29
MSMEG_2273	54
MSMEG_2274	NA
MSMEG_2275	NA
MSMEG_2276	NA
MSMEG_2277	0
MSMEG_2278	NA
MSMEG_2279	NA
MSMEG_2280	53
MSMEG_2281	NA
MSMEG_2282	107
MSMEG_2283	NA
MSMEG_2284	40
MSMEG_2285	NA
MSMEG_2286	NA
MSMEG_2287	11
MSMEG_2288	116
MSMEG_2289	54
MSMEG_2290	0
MSMEG_2291	NA
MSMEG_2292	40
MSMEG_2293	NA
MSMEG_2294	NA
MSMEG_2295	NA
MSMEG_2296	NA
MSMEG_2297	206
MSMEG_2299	NA
MSMEG_2301	NA
MSMEG_2302	NA
MSMEG_2303	88
MSMEG_2304	NA
MSMEG_2305	NA
MSMEG_2306	0
MSMEG_2307	68
MSMEG_2308	26
MSMEG_2309	0
MSMEG_2310	63
MSMEG_2311	NA
MSMEG_2312	NA
MSMEG_2313	55
MSMEG_2314	1
MSMEG_2315	NA
MSMEG_2317	127
MSMEG_2318	0
MSMEG_2319	0
MSMEG_2321	NA
MSMEG_2322	0
MSMEG_2323	NA
MSMEG_2324	0
MSMEG_2325	NA
MSMEG_2326	0
MSMEG_2327	NA
MSMEG_2328	NA
MSMEG_2329	0
MSMEG_2330	NA
MSMEG_2331	52
MSMEG_2332	46
MSMEG_2333	45
MSMEG_2334	NA
MSMEG_2335	NA
MSMEG_2337	NA
MSMEG_2338	182
MSMEG_2339	NA
MSMEG_2340	NA
MSMEG_2341	NA
MSMEG_2342	NA
MSMEG_2343	NA
MSMEG_2344	NA
MSMEG_2346	NA
MSMEG_2347	NA
MSMEG_2349	435
MSMEG_2350	NA
MSMEG_2351	102
MSMEG_2352	72
MSMEG_2353	NA
MSMEG_2354	NA
MSMEG_2355	NA
MSMEG_2356	NA
MSMEG_2357	3
MSMEG_2358	NA
MSMEG_2359	0
MSMEG_2360	NA
MSMEG_2361	0
MSMEG_2362	0
MSMEG_2363	0
MSMEG_2364	NA
MSMEG_2365	NA
MSMEG_2367	NA
MSMEG_2368	0
MSMEG_2369	NA
MSMEG_2370	0
MSMEG_2371	0
MSMEG_2372	210
MSMEG_2373	30
MSMEG_2374	NA
MSMEG_2375	0
MSMEG_2376	NA
MSMEG_2377	0
MSMEG_2378	0
MSMEG_2379	NA
MSMEG_2380	NA
MSMEG_2381	0
MSMEG_2382	0
MSMEG_2383	NA
MSMEG_2386	0
MSMEG_2387	111
MSMEG_2388	NA
MSMEG_2389	39
MSMEG_2390	NA
MSMEG_2391	NA
MSMEG_2392	0
MSMEG_2393	0
MSMEG_2394	NA
MSMEG_2395	0
MSMEG_2396	0
MSMEG_2397	41
MSMEG_2398	69
MSMEG_2399	0
MSMEG_2400	63
MSMEG_2401	NA
MSMEG_2402	NA
MSMEG_2403	9
MSMEG_2404	NA
MSMEG_2405	51
MSMEG_2406	NA
MSMEG_2407	152
MSMEG_2408	0
MSMEG_2409	121
MSMEG_2410	0
MSMEG_2411	NA
MSMEG_2412	45
MSMEG_2413	NA
MSMEG_2414	NA
MSMEG_2415	NA
MSMEG_2416	26
MSMEG_2417	0
MSMEG_2418	NA
MSMEG_2419	NA
MSMEG_2420	23
MSMEG_2421	0
MSMEG_2422	NA
MSMEG_2423	0
MSMEG_2424	0
MSMEG_2425	43
MSMEG_2426	16
MSMEG_2427	292
MSMEG_2428	0
MSMEG_2429	NA
MSMEG_2430	0
MSMEG_2431	NA
MSMEG_2432	0
MSMEG_2433	NA
MSMEG_2434	0
MSMEG_2435	113
MSMEG_2436	NA
MSMEG_2437	NA
MSMEG_2438	NA
MSMEG_2439	78
MSMEG_2440	122
MSMEG_2441	NA
MSMEG_2442	87
MSMEG_2443	82
MSMEG_2444	0
MSMEG_2445	0
MSMEG_2446	0
MSMEG_2447	NA
MSMEG_2448	NA
MSMEG_2449	29
MSMEG_2450	0
MSMEG_2451	446
MSMEG_2452	NA
MSMEG_2453	20
MSMEG_2454	NA
MSMEG_2455	58
MSMEG_2456	27
MSMEG_2457	NA
MSMEG_2458	NA
MSMEG_2459	NA
MSMEG_2460	NA
MSMEG_2461	NA
MSMEG_2462	NA
MSMEG_2463	NA
MSMEG_2464	NA
MSMEG_2465	NA
MSMEG_2466	NA
MSMEG_2467	74
MSMEG_2468	0
MSMEG_2469	32
MSMEG_2470	NA
MSMEG_2471	NA
MSMEG_2472	33
MSMEG_2474	NA
MSMEG_2475	28
MSMEG_2476	NA
MSMEG_2477	NA
MSMEG_2478	58
MSMEG_2479	NA
MSMEG_2480	NA
MSMEG_2481	NA
MSMEG_2482	NA
MSMEG_2483	NA
MSMEG_2484	NA
MSMEG_2485	NA
MSMEG_2486	97
MSMEG_2487	44
MSMEG_2488	41
MSMEG_2489	NA
MSMEG_2490	151
MSMEG_2491	NA
