 	CDS_5pUnpairedNt
MSMEG_1300	8
MSMEG_1301	2
MSMEG_1302	7
MSMEG_1303	0
MSMEG_1304	2
MSMEG_1305	5
MSMEG_1306	3
MSMEG_1307	1
MSMEG_1308	0
MSMEG_1309	4
MSMEG_1310	14
MSMEG_1311	0
MSMEG_1312	6
MSMEG_1313	3
MSMEG_1314	2
MSMEG_1315	3
MSMEG_1316	14
MSMEG_1317	13
MSMEG_1318	0
MSMEG_1319	0
MSMEG_1320	2
MSMEG_1321	1
MSMEG_1322	5
MSMEG_1323	0
MSMEG_1324	1
MSMEG_1325	1
MSMEG_1326	0
MSMEG_1327	5
MSMEG_1328	4
MSMEG_1329	7
MSMEG_1330	1
MSMEG_1331	2
MSMEG_1332	0
MSMEG_1333	11
MSMEG_1334	3
MSMEG_1335	7
MSMEG_1336	17
MSMEG_1339	0
MSMEG_1340	4
MSMEG_1341	0
MSMEG_1342	4
MSMEG_1344	0
MSMEG_1345	0
MSMEG_1346	2
MSMEG_1347	4
MSMEG_1348	2
MSMEG_1349	2
MSMEG_1350	1
MSMEG_1351	1
MSMEG_1352	7
MSMEG_1353	12
MSMEG_1355	0
MSMEG_1356	0
MSMEG_1357	1
MSMEG_1358	0
MSMEG_1359	2
MSMEG_1360	0
MSMEG_1361	1
MSMEG_1362	3
MSMEG_1363	3
MSMEG_1364	1
MSMEG_1365	2
MSMEG_1366	1
MSMEG_1367	2
MSMEG_1368	0
MSMEG_1369	2
MSMEG_1370	2
MSMEG_1371	0
MSMEG_1372	11
MSMEG_1373	0
MSMEG_1374	0
MSMEG_1375	8
MSMEG_1376	3
MSMEG_1377	10
MSMEG_1378	13
MSMEG_1379	3
MSMEG_1380	2
MSMEG_1381	0
MSMEG_1382	2
MSMEG_1383	0
MSMEG_1384	0
MSMEG_1385	7
MSMEG_1386	2
MSMEG_1387	2
MSMEG_1388	5
MSMEG_1389	5
MSMEG_1390	10
MSMEG_1391	3
MSMEG_1392	2
MSMEG_1393	1
MSMEG_1394	2
MSMEG_1395	2
MSMEG_1396	1
MSMEG_1397	0
MSMEG_1398	6
MSMEG_1399	5
MSMEG_1401	0
MSMEG_1402	0
MSMEG_1403	3
MSMEG_1404	0
MSMEG_1405	0
MSMEG_1406	0
MSMEG_1409	2
MSMEG_1410	3
MSMEG_1411	4
MSMEG_1412	2
MSMEG_1413	8
MSMEG_1414	1
MSMEG_1415	5
MSMEG_1416	12
MSMEG_1417	0
MSMEG_1418	0
MSMEG_1419	2
MSMEG_1420	2
MSMEG_1421	15
MSMEG_1422	0
MSMEG_1423	2
MSMEG_1424	10
MSMEG_1425	0
MSMEG_1426	5
MSMEG_1427	6
MSMEG_1428	0
MSMEG_1429	4
MSMEG_1430	2
MSMEG_1431	5
MSMEG_1432	2
MSMEG_1433	0
MSMEG_1434	2
MSMEG_1435	0
MSMEG_1436	5
MSMEG_1437	2
MSMEG_1438	2
MSMEG_1439	0
MSMEG_1440	2
MSMEG_1441	2
MSMEG_1442	0
MSMEG_1443	2
MSMEG_1444	3
MSMEG_1445	2
MSMEG_1446	1
MSMEG_1447	2
MSMEG_1448	0
MSMEG_1450	1
MSMEG_1451	2
MSMEG_1452	4
MSMEG_1453	8
MSMEG_1454	0
MSMEG_1455	2
MSMEG_1456	4
MSMEG_1457	15
MSMEG_1458	4
MSMEG_1459	4
MSMEG_1460	8
MSMEG_1461	0
MSMEG_1462	10
MSMEG_1463	0
MSMEG_1464	0
MSMEG_1465	0
MSMEG_1466	5
MSMEG_1467	4
MSMEG_1468	2
MSMEG_1469	2
MSMEG_1470	1
MSMEG_1471	0
MSMEG_1472	3
MSMEG_1473	6
MSMEG_1474	0
MSMEG_1475	0
MSMEG_1476	5
MSMEG_1477	0
MSMEG_1478	0
MSMEG_1479	3
MSMEG_1480	4
MSMEG_1481	2
MSMEG_1482	3
MSMEG_1483	1
MSMEG_1484	0
MSMEG_1485	0
MSMEG_1486	10
MSMEG_1487	15
MSMEG_1488	0
MSMEG_1489	2
MSMEG_1490	11
MSMEG_1491	2
MSMEG_1492	8
MSMEG_1493	5
MSMEG_1494	5
MSMEG_1495	2
MSMEG_1496	0
MSMEG_1497	0
MSMEG_1498	19
MSMEG_1499	2
MSMEG_1500	2
MSMEG_1501	0
MSMEG_1502	2
MSMEG_1503	0
MSMEG_1504	4
MSMEG_1505	0
MSMEG_1506	1
MSMEG_1507	0
MSMEG_1508	2
MSMEG_1509	7
MSMEG_1510	2
MSMEG_1511	3
MSMEG_1512	7
MSMEG_1513	1
MSMEG_1514	2
MSMEG_1515	0
MSMEG_1516	12
MSMEG_1517	0
MSMEG_1518	0
MSMEG_1519	5
MSMEG_1520	0
MSMEG_1521	1
MSMEG_1522	2
MSMEG_1523	3
MSMEG_1524	2
MSMEG_1525	2
MSMEG_1526	0
MSMEG_1527	0
MSMEG_1528	1
MSMEG_1529	5
MSMEG_1530	2
MSMEG_1531	2
MSMEG_1532	2
MSMEG_1533	0
MSMEG_1534	1
MSMEG_1535	3
MSMEG_1536	0
MSMEG_1537	0
MSMEG_1538	2
MSMEG_1539	1
MSMEG_1540	2
MSMEG_1541	4
MSMEG_1542	0
MSMEG_1543	9
MSMEG_1544	2
MSMEG_1545	2
MSMEG_1546	11
MSMEG_1547	0
MSMEG_1548	10
MSMEG_1550	6
MSMEG_1551	0
MSMEG_1552	0
MSMEG_1553	9
MSMEG_1554	0
MSMEG_1556	0
MSMEG_1557	0
MSMEG_1558	0
MSMEG_1559	1
MSMEG_1560	4
MSMEG_1561	3
MSMEG_1563	7
MSMEG_1564	0
MSMEG_1565	0
MSMEG_1566	6
MSMEG_1567	2
MSMEG_1568	3
MSMEG_1569	0
MSMEG_1570	3
MSMEG_1571	2
MSMEG_1572	2
MSMEG_1573	3
MSMEG_1574	0
MSMEG_1575	0
MSMEG_1576	3
MSMEG_1577	3
MSMEG_1578	4
MSMEG_1579	4
MSMEG_1580	0
MSMEG_1581	2
MSMEG_1582	1
MSMEG_1583	1
MSMEG_1584	3
MSMEG_1585	10
MSMEG_1586	1
MSMEG_1587	1
MSMEG_1588	0
MSMEG_1589	0
MSMEG_1590	3
MSMEG_1591	14
MSMEG_1592	4
MSMEG_1593	2
MSMEG_1594	10
MSMEG_1595	4
MSMEG_1596	0
MSMEG_1597	1
MSMEG_1598	14
MSMEG_1599	9
MSMEG_1600	1
MSMEG_1601	0
MSMEG_1602	1
MSMEG_1603	3
MSMEG_1604	5
MSMEG_1605	4
MSMEG_1606	8
MSMEG_1607	11
MSMEG_1608	9
MSMEG_1609	1
MSMEG_1610	13
MSMEG_1611	0
MSMEG_1612	8
MSMEG_1613	6
MSMEG_1614	0
MSMEG_1615	0
MSMEG_1617	1
MSMEG_1618	8
MSMEG_1619	2
MSMEG_1620	4
MSMEG_1621	0
MSMEG_1622	2
MSMEG_1623	1
MSMEG_1624	5
MSMEG_1625	4
MSMEG_1626	1
MSMEG_1627	6
MSMEG_1628	23
MSMEG_1629	2
MSMEG_1630	11
MSMEG_1631	0
MSMEG_1632	4
MSMEG_1633	0
MSMEG_1634	1
MSMEG_1635	2
MSMEG_1636	7
MSMEG_1637	2
MSMEG_1638	5
MSMEG_1639	5
MSMEG_1640	0
MSMEG_1641	0
MSMEG_1642	3
MSMEG_1643	0
MSMEG_1644	5
MSMEG_1645	1
MSMEG_1646	0
MSMEG_1647	0
MSMEG_1648	5
MSMEG_1649	5
MSMEG_1650	5
MSMEG_1651	0
MSMEG_1652	11
MSMEG_1653	0
MSMEG_1654	1
MSMEG_1655	2
MSMEG_1656	0
MSMEG_1657	7
MSMEG_1658	1
MSMEG_1659	0
MSMEG_1660	1
MSMEG_1661	5
MSMEG_1662	8
MSMEG_1663	8
MSMEG_1664	2
MSMEG_1665	1
MSMEG_1666	7
MSMEG_1667	1
MSMEG_1668	5
MSMEG_1669	1
MSMEG_1670	5
MSMEG_1671	0
MSMEG_1672	7
MSMEG_1673	0
MSMEG_1674	2
MSMEG_1675	0
MSMEG_1676	8
MSMEG_1677	4
MSMEG_1678	1
MSMEG_1679	5
MSMEG_1680	3
MSMEG_1681	0
MSMEG_1682	6
MSMEG_1683	2
MSMEG_1684	5
MSMEG_1685	5
MSMEG_1686	0
MSMEG_1687	15
MSMEG_1688	5
MSMEG_1689	3
MSMEG_1690	13
MSMEG_1691	0
MSMEG_1692	1
MSMEG_1693	12
MSMEG_1694	3
MSMEG_1695	4
MSMEG_1696	0
MSMEG_1697	7
MSMEG_1698	2
MSMEG_1699	2
MSMEG_1700	7
MSMEG_1701	6
MSMEG_1702	5
MSMEG_1703	1
MSMEG_1704	8
MSMEG_1705	1
MSMEG_1706	0
MSMEG_1707	14
MSMEG_1708	5
MSMEG_1709	6
MSMEG_1710	2
MSMEG_1711	0
MSMEG_1712	0
MSMEG_1713	1
MSMEG_1714	7
MSMEG_1715	0
MSMEG_1716	3
MSMEG_1717	1
MSMEG_1718	1
MSMEG_1719	0
MSMEG_1720	3
MSMEG_1721	3
MSMEG_1722	0
MSMEG_1723	0
MSMEG_1724	4
MSMEG_1725	0
MSMEG_1726	1
MSMEG_1727	19
MSMEG_1728	0
MSMEG_1729	2
MSMEG_1730	0
MSMEG_1731	1
MSMEG_1732	0
MSMEG_1733	2
MSMEG_1734	0
MSMEG_1735	0
MSMEG_1736	1
MSMEG_1737	0
MSMEG_1738	0
MSMEG_1739	0
MSMEG_1740	1
MSMEG_1741	5
MSMEG_1742	4
MSMEG_1743	23
MSMEG_1744	6
MSMEG_1745	2
MSMEG_1746	1
MSMEG_1747	11
MSMEG_1748	2
MSMEG_1749	0
MSMEG_1750	0
MSMEG_1751	16
MSMEG_1752	0
MSMEG_1753	7
MSMEG_1754	0
MSMEG_1755	5
MSMEG_1756	2
MSMEG_1757	2
MSMEG_1758	2
MSMEG_1759	2
MSMEG_1760	10
MSMEG_1761	2
MSMEG_1762	4
MSMEG_1763	3
MSMEG_1764	5
MSMEG_1765	0
MSMEG_1766	0
MSMEG_1767	2
MSMEG_1768	5
MSMEG_1769	1
MSMEG_1770	4
MSMEG_1771	6
MSMEG_1772	2
MSMEG_1773	13
MSMEG_1774	3
MSMEG_1775	2
MSMEG_1776	6
MSMEG_1777	2
MSMEG_1778	3
MSMEG_1779	4
MSMEG_1780	2
MSMEG_1781	0
MSMEG_1782	2
MSMEG_1783	4
MSMEG_1784	3
MSMEG_1785	2
MSMEG_1786	2
MSMEG_1787	2
MSMEG_1788	5
MSMEG_1789	13
MSMEG_1790	2
MSMEG_1791	6
MSMEG_1792	7
MSMEG_1793	4
MSMEG_1794	0
MSMEG_1795	2
MSMEG_1796	4
MSMEG_1797	4
MSMEG_1798	0
MSMEG_1799	2
MSMEG_1800	2
MSMEG_1801	2
MSMEG_1802	0
MSMEG_1803	0
MSMEG_1804	2
MSMEG_1805	6
MSMEG_1806	5
MSMEG_1807	0
MSMEG_1808	1
MSMEG_1809	2
MSMEG_1810	2
MSMEG_1811	2
MSMEG_1812	4
MSMEG_1813	2
MSMEG_1814	5
MSMEG_1815	0
MSMEG_1817	0
MSMEG_1818	0
MSMEG_1819	0
MSMEG_1820	5
MSMEG_1821	1
MSMEG_1822	5
MSMEG_1823	11
MSMEG_1824	0
MSMEG_1825	0
MSMEG_1826	4
MSMEG_1827	4
MSMEG_1829	0
MSMEG_1830	0
MSMEG_1831	0
MSMEG_1832	3
MSMEG_1833	0
MSMEG_1834	2
MSMEG_1835	5
MSMEG_1836	2
MSMEG_1837	2
MSMEG_1838	13
MSMEG_1839	0
MSMEG_1840	12
MSMEG_1841	4
MSMEG_1842	0
MSMEG_1844	13
MSMEG_1845	0
MSMEG_1846	3
MSMEG_1847	3
MSMEG_1849	1
MSMEG_1850	0
MSMEG_1852	6
MSMEG_1854	0
MSMEG_1855	4
MSMEG_1856	0
MSMEG_1857	2
MSMEG_1858	11
MSMEG_1859	5
MSMEG_1860	8
MSMEG_1861	0
MSMEG_1862	1
MSMEG_1863	0
MSMEG_1864	1
MSMEG_1865	0
MSMEG_1866	2
MSMEG_1867	1
MSMEG_1868	7
MSMEG_1869	15
MSMEG_1870	0
MSMEG_1871	1
MSMEG_1872	3
MSMEG_1873	2
MSMEG_1874	2
MSMEG_1875	5
MSMEG_1876	0
MSMEG_1877	6
MSMEG_1878	3
MSMEG_1879	0
MSMEG_1880	0
MSMEG_1881	0
MSMEG_1882	2
MSMEG_1883	2
MSMEG_1884	0
MSMEG_1885	1
MSMEG_1886	2
MSMEG_1887	12
MSMEG_1888	1
MSMEG_1889	0
MSMEG_1890	8
MSMEG_1891	2
MSMEG_1892	1
MSMEG_1893	0
MSMEG_1894	5
MSMEG_1895	2
MSMEG_1896	0
MSMEG_1897	2
MSMEG_1898	5
MSMEG_1899	2
MSMEG_1900	0
MSMEG_1901	5
MSMEG_1902	3
MSMEG_1903	8
MSMEG_1904	26
MSMEG_1905	7
MSMEG_1906	2
MSMEG_1907	0
MSMEG_1908	7
MSMEG_1909	5
MSMEG_1910	0
MSMEG_1911	14
MSMEG_1912	10
MSMEG_1913	2
MSMEG_1914	0
MSMEG_1915	1
MSMEG_1916	2
MSMEG_1917	0
MSMEG_1918	7
MSMEG_1919	3
MSMEG_1920	0
MSMEG_1921	3
MSMEG_1922	0
MSMEG_1923	8
MSMEG_1924	10
MSMEG_1925	0
MSMEG_1926	0
MSMEG_1927	0
MSMEG_1928	1
MSMEG_1929	2
MSMEG_1930	1
MSMEG_1931	11
MSMEG_1932	5
MSMEG_1933	1
MSMEG_1934	1
MSMEG_1935	2
MSMEG_1936	0
MSMEG_1937	4
MSMEG_1938	3
MSMEG_1939	1
MSMEG_1940	1
MSMEG_1941	0
MSMEG_1942	0
MSMEG_1943	6
MSMEG_1944	4
MSMEG_1945	0
MSMEG_1946	4
MSMEG_1947	1
MSMEG_1948	2
MSMEG_1949	0
MSMEG_1950	20
MSMEG_1951	0
MSMEG_1952	2
MSMEG_1953	2
MSMEG_1954	1
MSMEG_1955	1
MSMEG_1956	0
MSMEG_1957	2
MSMEG_1958	4
MSMEG_1959	0
MSMEG_1960	4
MSMEG_1961	2
MSMEG_1962	0
MSMEG_1963	1
MSMEG_1964	2
MSMEG_1966	1
MSMEG_1967	0
MSMEG_1968	0
MSMEG_1969	8
MSMEG_1970	9
MSMEG_1971	0
MSMEG_1972	1
MSMEG_1974	2
MSMEG_1975	2
MSMEG_1976	5
MSMEG_1977	0
MSMEG_1978	1
MSMEG_1979	0
MSMEG_1980	2
MSMEG_1981	0
MSMEG_1982	9
MSMEG_1983	10
MSMEG_1984	1
MSMEG_1985	2
MSMEG_1986	0
MSMEG_1987	5
MSMEG_1988	5
MSMEG_1989	4
MSMEG_1990	11
MSMEG_1991	2
MSMEG_1992	1
MSMEG_1993	8
MSMEG_1994	6
MSMEG_1995	10
MSMEG_1996	1
MSMEG_1997	7
MSMEG_1998	4
MSMEG_1999	1
MSMEG_2000	3
MSMEG_2001	13
MSMEG_2002	0
MSMEG_2003	0
MSMEG_2004	0
MSMEG_2005	7
MSMEG_2006	2
MSMEG_2007	2
MSMEG_2008	3
MSMEG_2009	2
MSMEG_2010	2
MSMEG_2011	1
MSMEG_2012	10
MSMEG_2013	4
MSMEG_2014	6
MSMEG_2015	4
MSMEG_2016	7
MSMEG_2017	1
MSMEG_2019	3
MSMEG_2021	0
MSMEG_2022	3
MSMEG_2023	0
MSMEG_2024	8
MSMEG_2025	2
MSMEG_2026	9
MSMEG_2027	2
MSMEG_2028	2
MSMEG_2029	1
MSMEG_2030	2
MSMEG_2031	1
MSMEG_2032	6
MSMEG_2033	2
MSMEG_2034	2
MSMEG_2035	5
MSMEG_2036	14
MSMEG_2037	0
MSMEG_2038	2
MSMEG_2039	2
MSMEG_2040	0
MSMEG_2042	2
MSMEG_2043	10
MSMEG_2044	3
MSMEG_2045	1
MSMEG_2046	3
MSMEG_2047	3
MSMEG_2048	2
MSMEG_2049	1
MSMEG_2050	11
MSMEG_2051	2
MSMEG_2052	14
MSMEG_2053	27
MSMEG_2054	9
MSMEG_2055	2
MSMEG_2056	6
MSMEG_2057	2
MSMEG_2058	5
MSMEG_2059	0
MSMEG_2060	9
MSMEG_2061	0
MSMEG_2062	3
MSMEG_2063	1
MSMEG_2064	0
MSMEG_2065	3
MSMEG_2066	5
MSMEG_2067	2
MSMEG_2068	0
MSMEG_2069	4
MSMEG_2070	7
MSMEG_2071	0
MSMEG_2072	2
MSMEG_2073	0
MSMEG_2074	1
MSMEG_2075	1
MSMEG_2076	0
MSMEG_2077	5
MSMEG_2078	3
MSMEG_2079	1
MSMEG_2080	1
MSMEG_2081	3
MSMEG_2082	0
MSMEG_2083	1
MSMEG_2084	0
MSMEG_2086	2
MSMEG_2087	11
MSMEG_2088	0
MSMEG_2089	2
MSMEG_2090	0
MSMEG_2091	11
MSMEG_2092	3
MSMEG_2094	26
MSMEG_2095	10
MSMEG_2096	8
MSMEG_2097	1
MSMEG_2098	7
MSMEG_2099	2
MSMEG_2100	0
MSMEG_2102	11
MSMEG_2103	1
MSMEG_2104	2
MSMEG_2105	1
MSMEG_2106	4
MSMEG_2107	2
MSMEG_2108	4
MSMEG_2109	3
MSMEG_2110	0
MSMEG_2111	0
MSMEG_2112	0
MSMEG_2113	3
MSMEG_2114	0
MSMEG_2115	19
MSMEG_2116	11
MSMEG_2117	0
MSMEG_2118	2
MSMEG_2119	2
MSMEG_2120	2
MSMEG_2121	2
MSMEG_2122	0
MSMEG_2123	13
MSMEG_2124	1
MSMEG_2125	2
MSMEG_2126	4
MSMEG_2127	2
MSMEG_2128	17
MSMEG_2129	0
MSMEG_2130	3
MSMEG_2131	5
MSMEG_2132	1
MSMEG_2133	0
MSMEG_2134	4
MSMEG_2135	3
MSMEG_2136	3
MSMEG_2137	0
MSMEG_2139	6
MSMEG_2140	0
MSMEG_2141	1
MSMEG_2142	4
MSMEG_2143	2
MSMEG_2144	1
MSMEG_2145	1
MSMEG_2146	0
MSMEG_2148	0
MSMEG_2149	2
MSMEG_2150	11
MSMEG_2151	2
MSMEG_2153	11
MSMEG_2154	12
MSMEG_2155	8
MSMEG_2156	33
MSMEG_2157	0
MSMEG_2158	3
MSMEG_2159	8
MSMEG_2160	2
MSMEG_2162	2
MSMEG_2163	0
MSMEG_2164	3
MSMEG_2165	0
MSMEG_2166	3
MSMEG_2167	2
MSMEG_2168	3
MSMEG_2169	4
MSMEG_2170	3
MSMEG_2171	4
MSMEG_2172	2
MSMEG_2173	1
MSMEG_2174	2
MSMEG_2175	7
MSMEG_2176	2
MSMEG_2177	0
MSMEG_2178	7
MSMEG_2179	2
MSMEG_2180	2
MSMEG_2181	0
MSMEG_2182	3
MSMEG_2183	6
MSMEG_2184	10
MSMEG_2185	0
MSMEG_2186	1
MSMEG_2187	0
MSMEG_2188	0
MSMEG_2189	1
MSMEG_2190	0
MSMEG_2191	2
MSMEG_2192	1
MSMEG_2193	0
MSMEG_2194	0
MSMEG_2195	11
MSMEG_2196	0
MSMEG_2197	2
MSMEG_2198	6
MSMEG_2199	11
MSMEG_2200	1
MSMEG_2201	2
MSMEG_2202	9
MSMEG_2203	1
MSMEG_2204	2
MSMEG_2205	0
MSMEG_2206	1
MSMEG_2207	4
MSMEG_2208	11
MSMEG_2209	6
MSMEG_2211	6
MSMEG_2212	12
MSMEG_2213	2
MSMEG_2214	12
MSMEG_2215	2
MSMEG_2216	0
MSMEG_2217	2
MSMEG_2218	1
MSMEG_2219	17
MSMEG_2220	0
MSMEG_2221	7
MSMEG_2222	1
MSMEG_2223	0
MSMEG_2224	10
MSMEG_2225	0
MSMEG_2226	2
MSMEG_2227	3
MSMEG_2228	7
MSMEG_2229	0
MSMEG_2230	4
MSMEG_2231	0
MSMEG_2232	11
MSMEG_2233	1
MSMEG_2234	2
MSMEG_2235	4
MSMEG_2236	0
MSMEG_2237	0
MSMEG_2238	4
MSMEG_2239	1
MSMEG_2240	0
MSMEG_2241	10
MSMEG_2242	2
MSMEG_2243	7
MSMEG_2244	2
MSMEG_2245	1
MSMEG_2246	0
MSMEG_2247	2
MSMEG_2248	2
MSMEG_2249	4
MSMEG_2250	8
MSMEG_2251	6
MSMEG_2252	0
MSMEG_2253	0
MSMEG_2254	0
MSMEG_2255	8
MSMEG_2256	0
MSMEG_2257	1
MSMEG_2258	0
MSMEG_2259	0
MSMEG_2260	0
MSMEG_2261	1
MSMEG_2262	0
MSMEG_2263	0
MSMEG_2264	1
MSMEG_2265	0
MSMEG_2266	2
MSMEG_2267	8
MSMEG_2268	6
MSMEG_2269	0
MSMEG_2270	0
MSMEG_2271	0
MSMEG_2272	0
MSMEG_2273	6
MSMEG_2274	3
MSMEG_2275	0
MSMEG_2276	2
MSMEG_2277	9
MSMEG_2278	1
MSMEG_2279	1
MSMEG_2280	2
MSMEG_2281	2
MSMEG_2282	0
MSMEG_2283	0
MSMEG_2284	1
MSMEG_2285	4
MSMEG_2286	1
MSMEG_2287	3
MSMEG_2288	6
MSMEG_2289	1
MSMEG_2290	6
MSMEG_2291	1
MSMEG_2292	0
MSMEG_2293	1
MSMEG_2294	4
MSMEG_2295	0
MSMEG_2296	3
MSMEG_2297	1
MSMEG_2299	0
MSMEG_2301	3
MSMEG_2302	2
MSMEG_2303	2
MSMEG_2304	5
MSMEG_2305	2
MSMEG_2306	3
MSMEG_2307	1
MSMEG_2308	0
MSMEG_2309	0
MSMEG_2310	5
MSMEG_2311	2
MSMEG_2312	6
MSMEG_2313	0
MSMEG_2314	2
MSMEG_2315	1
MSMEG_2317	1
MSMEG_2318	0
MSMEG_2319	0
MSMEG_2321	0
MSMEG_2322	8
MSMEG_2323	0
MSMEG_2324	2
MSMEG_2325	0
MSMEG_2326	11
MSMEG_2327	9
MSMEG_2328	4
MSMEG_2329	0
MSMEG_2330	0
MSMEG_2331	2
MSMEG_2332	0
MSMEG_2333	2
MSMEG_2334	27
MSMEG_2335	1
MSMEG_2337	3
MSMEG_2338	1
MSMEG_2339	0
MSMEG_2340	8
MSMEG_2341	9
MSMEG_2342	0
MSMEG_2343	7
MSMEG_2344	0
MSMEG_2346	1
MSMEG_2347	5
MSMEG_2349	4
MSMEG_2350	0
MSMEG_2351	3
MSMEG_2352	0
MSMEG_2353	16
MSMEG_2354	1
MSMEG_2355	7
MSMEG_2356	1
MSMEG_2357	4
MSMEG_2358	0
MSMEG_2359	0
MSMEG_2360	2
MSMEG_2361	1
MSMEG_2362	0
MSMEG_2363	0
MSMEG_2364	0
MSMEG_2365	2
MSMEG_2367	1
MSMEG_2368	0
MSMEG_2369	0
MSMEG_2370	0
MSMEG_2371	0
MSMEG_2372	0
MSMEG_2373	8
MSMEG_2374	2
MSMEG_2375	0
MSMEG_2376	2
MSMEG_2377	0
MSMEG_2378	0
MSMEG_2379	2
MSMEG_2380	0
MSMEG_2381	8
MSMEG_2382	0
MSMEG_2383	6
MSMEG_2386	0
MSMEG_2387	1
MSMEG_2388	0
MSMEG_2389	9
MSMEG_2390	7
MSMEG_2391	1
MSMEG_2392	3
MSMEG_2393	1
MSMEG_2394	1
MSMEG_2395	5
MSMEG_2396	0
MSMEG_2397	0
MSMEG_2398	0
MSMEG_2399	4
MSMEG_2400	9
MSMEG_2401	2
MSMEG_2402	2
MSMEG_2403	0
MSMEG_2404	4
MSMEG_2405	5
MSMEG_2406	0
MSMEG_2407	2
MSMEG_2408	11
MSMEG_2409	0
MSMEG_2410	0
MSMEG_2411	1
MSMEG_2412	1
MSMEG_2413	0
MSMEG_2414	1
MSMEG_2415	2
MSMEG_2416	15
MSMEG_2417	6
MSMEG_2418	5
MSMEG_2419	5
MSMEG_2420	0
MSMEG_2421	2
MSMEG_2422	3
MSMEG_2423	1
MSMEG_2424	11
MSMEG_2425	7
MSMEG_2426	11
MSMEG_2427	1
MSMEG_2428	3
MSMEG_2429	15
MSMEG_2430	0
MSMEG_2431	0
MSMEG_2432	0
MSMEG_2433	4
MSMEG_2434	0
MSMEG_2435	2
MSMEG_2436	0
MSMEG_2437	2
MSMEG_2438	0
MSMEG_2439	6
MSMEG_2440	5
MSMEG_2441	0
MSMEG_2442	1
MSMEG_2443	2
MSMEG_2444	0
MSMEG_2445	0
MSMEG_2446	2
MSMEG_2447	6
MSMEG_2448	2
MSMEG_2449	1
MSMEG_2450	2
MSMEG_2451	1
MSMEG_2452	4
MSMEG_2453	3
MSMEG_2454	2
MSMEG_2455	0
MSMEG_2456	1
MSMEG_2457	1
MSMEG_2458	6
MSMEG_2459	1
MSMEG_2460	0
MSMEG_2461	4
MSMEG_2462	7
MSMEG_2463	7
MSMEG_2464	8
MSMEG_2465	0
MSMEG_2466	7
MSMEG_2467	2
MSMEG_2468	1
MSMEG_2469	2
MSMEG_2470	9
MSMEG_2471	1
MSMEG_2472	2
MSMEG_2474	8
MSMEG_2475	2
MSMEG_2476	0
MSMEG_2477	2
MSMEG_2478	1
MSMEG_2479	0
MSMEG_2480	4
MSMEG_2481	14
MSMEG_2482	2
MSMEG_2483	0
MSMEG_2484	1
MSMEG_2485	5
MSMEG_2486	0
MSMEG_2487	0
MSMEG_2488	9
MSMEG_2489	2
MSMEG_2490	0
MSMEG_2491	3
MSMEG_2492	6
MSMEG_2493	0
MSMEG_2494	1
MSMEG_2495	10
MSMEG_2496	4
MSMEG_2497	7
MSMEG_2498	1
MSMEG_2499	11
MSMEG_2500	5
MSMEG_2501	2
MSMEG_2502	2
MSMEG_2503	13
MSMEG_2504	4
MSMEG_2505	0
MSMEG_2506	0
MSMEG_2507	1
MSMEG_2508	0
MSMEG_2509	0
MSMEG_2511	2
MSMEG_2512	9
MSMEG_2513	4
MSMEG_2515	2
MSMEG_2516	0
MSMEG_2517	2
MSMEG_2518	4
MSMEG_2519	1
MSMEG_2520	2
MSMEG_2521	2
MSMEG_2522	7
MSMEG_2523	5
MSMEG_2524	5
MSMEG_2525	5
MSMEG_2526	3
MSMEG_2527	5
MSMEG_2528	8
MSMEG_2529	0
MSMEG_2530	0
MSMEG_2531	2
MSMEG_2532	0
MSMEG_2533	0
MSMEG_2534	3
MSMEG_2535	0
MSMEG_2536	0
MSMEG_2537	2
MSMEG_2538	1
MSMEG_2539	10
MSMEG_2540	2
MSMEG_2541	0
MSMEG_2542	5
MSMEG_2543	4
MSMEG_2544	1
MSMEG_2545	9
MSMEG_2546	1
MSMEG_2547	0
MSMEG_2548	1
MSMEG_2549	4
MSMEG_2550	3
MSMEG_2551	4
MSMEG_2552	9
MSMEG_2553	0
MSMEG_2554	10
MSMEG_2555	2
MSMEG_2556	3
MSMEG_2557	0
MSMEG_2558	6
MSMEG_2559	4
MSMEG_2560	0
MSMEG_2561	0
MSMEG_2562	8
MSMEG_2563	5
MSMEG_2564	0
MSMEG_2565	2
MSMEG_2566	0
MSMEG_2567	2
MSMEG_2568	10
MSMEG_2569	13
MSMEG_2570	3
MSMEG_2571	0
MSMEG_2572	0
MSMEG_2573	2
MSMEG_2574	7
MSMEG_2575	0
MSMEG_2576	7
MSMEG_2577	4
MSMEG_2578	0
MSMEG_2579	2
MSMEG_2580	0
MSMEG_2581	0
MSMEG_2582	2
MSMEG_2583	2
MSMEG_2584	2
MSMEG_2585	2
MSMEG_2586	2
MSMEG_2587	7
MSMEG_2588	0
MSMEG_2589	6
MSMEG_2590	0
MSMEG_2591	6
MSMEG_2592	1
MSMEG_2593	7
MSMEG_2594	2
MSMEG_2595	2
MSMEG_2596	2
MSMEG_2597	7
MSMEG_2598	2
MSMEG_2599	4
MSMEG_2600	2
MSMEG_2601	2
MSMEG_2602	4
MSMEG_2603	1
MSMEG_2604	0
MSMEG_2605	4
MSMEG_2606	1
MSMEG_2607	10
MSMEG_2608	0
MSMEG_2609	3
MSMEG_2610	4
MSMEG_2611	0
MSMEG_2612	0
MSMEG_2613	5
MSMEG_2614	1
